date,annualCurrentAssets,annualBeginningCashPosition,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualInterestExpense,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualGrossPPE,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualCurrentDebt,annualTaxProvision,annualGrossProfit,annualInventory,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualFreeCashFlow,annualNetIncome,annualBasicAverageShares,annualOperatingExpense,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualCashDividendsPaid,annualBasicEPS,annualPretaxIncome,annualTotalAssets,annualNonCurrentDeferredRevenue,annualOtherNonCashItems,annualStockholdersEquity,annualDepreciationAndAmortization,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,annualStockBasedCompensation,annualInvestingCashFlow,annualRetainedEarnings,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOperatingIncome,annualOtherIncomeExpense,annualCurrentLiabilities,annualAccountsPayable,annualOperatingCashFlow,annualNetPPE,annualEbitda,annualDilutedAverageShares,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualCurrentDeferredRevenue
1989-12-31,723900000,235600000,,-100000,7500000,198100000,-208600000,,445100000,9200000,138600000,91800000,5900000,,53400000,-33400000,,,14100000,433000000,18500000,84500000,436500000,254100000,245700000,,-16000000,138600000,,204700000,16800000,-11300000,113400000,138600000,113606557,222400000,,,,-72900000,1.22,223100000,969600000,,,764900000,24300000,,5000000,,,-33400000,565000000,869500000,64600000,,0,-62000000,,,214100000,16500000,140100000,29800000,146800000,236500000,238400000,113606557,47800000,289000000,0,,,1.22,289000000,,
1990-12-31,852900000,289000000,,200000,22100000,220700000,-249800000,,516700000,9600000,156700000,113500000,0,,-160500000,-41400000,,,267600000,474600000,12200000,95400000,488200000,278500000,276500000,,7300000,156700000,,231200000,20400000,-10600000,151000000,156700000,114379562,248900000,,,,-82300000,1.37,252100000,1129400000,,,898200000,28200000,,3300000,,,-277700000,637000000,962800000,73300000,,0,-86800000,,,239300000,34800000,157900000,32200000,192400000,266900000,267500000,114379562,52900000,128500000,-236300000,,,1.37,128500000,,
1991-12-31,917700000,128500000,,-2900000,9500000,234800000,-273400000,-9000000,563000000,10100000,168700000,128800000,0,,5500000,-53300000,,,306200000,498500000,15300000,100800000,518500000,290300000,299700000,,-10900000,168700000,,257300000,21900000,-13100000,131000000,168700000,114761905,264200000,-31000000,,,-91700000,1.47,269500000,1217400000,,,960100000,29400000,,3900000,,,-84300000,710900000,1017000000,76500000,,0,-94200000,,,254300000,24800000,180800000,36700000,184300000,289600000,283700000,114761905,54600000,134000000,0,,,1.47,134000000,,
1992-12-31,965100000,134000000,,4900000,12400000,280800000,-267500000,-17900000,553900000,16100000,170600000,143400000,0,,76800000,-49400000,,,40700000,548000000,13500000,104800000,578400000,297700000,302500000,,-32000000,176700000,,290500000,6500000,-18700000,154200000,170600000,115270270,314800000,,,,-104500000,1.48,281500000,1267600000,,,977100000,34000000,49900000,5200000,,,500000,774100000,1126400000,95800000,,0,-118300000,,,263600000,30300000,194700000,37800000,203600000,286400000,297600000,115270270,89300000,210800000,0,,,1.48,210800000,,
1993-12-31,879000000,210800000,,600000,17400000,268900000,-287200000,-125700000,610600000,22900000,202500000,171100000,100000,,-23600000,-81100000,,,167200000,578700000,11700000,121300000,609900000,302900000,346300000,,-31800000,202500000,,333400000,11100000,-17100000,125200000,202500000,113764045,304000000,,,,-114600000,1.78,323800000,1225300000,,-100000,891900000,35100000,89800000,21700000,,,8700000,860600000,1188600000,106800000,,0,-218500000,,,305900000,35100000,226600000,43800000,206300000,323400000,341000000,114406780,95700000,187200000,0,,,1.77,187200000,,
1994-12-31,964500000,187200000,,-3800000,13500000,288800000,-331200000,-32400000,736900000,29500000,226000000,193100000,0,,43400000,-101100000,,,122500000,641400000,9700000,134300000,673800000,362100000,435200000,,-19000000,226000000,,391600000,14400000,-46000000,138400000,226000000,111330049,325200000,-111800000,,14300000,-120500000,2.03,360300000,1399700000,,-100000,1008100000,36400000,165400000,5600000,,,-47500000,961800000,1315200000,131900000,,0,-158700000,,,348600000,25200000,259700000,56900000,239500000,405700000,385000000,111463415,103200000,230600000,0,,,2.03,230600000,,
1995-12-31,1036000000,230600000,,6400000,3200000,308500000,-370600000,-41400000,839200000,29700000,248800000,200900000,0,,20800000,-94500000,,,95900000,706300000,12200000,144900000,733200000,414500000,498300000,,-51700000,248800000,,417700000,13400000,-43500000,149800000,248800000,111071429,349200000,-130800000,,11600000,-138000000,2.24,393700000,1534300000,,100000,1116600000,40700000,160100000,8600000,,,-65100000,1069400000,1439500000,141300000,,0,-171200000,,,384000000,12900000,276400000,63300000,244300000,468600000,424700000,111170213,116300000,251400000,100000,,,2.24,251400000,,
1996-12-31,1006400000,251400000,,-2300000,2700000,317000000,-410400000,-59800000,878200000,32700000,189900000,203900000,100000,,9900000,-79400000,,,106500000,731000000,18900000,109200000,705100000,369100000,500500000,,23000000,189900000,,430400000,16900000,30200000,228600000,189900000,111052632,364800000,-57300000,,8300000,-150900000,1.71,299100000,1506900000,,-100000,1076500000,47800000,44600000,9600000,,,-92100000,1106600000,1436100000,149900000,,0,-196100000,,,340300000,-38300000,280500000,57700000,308000000,467800000,388100000,112030075,124700000,261400000,0,,,1.71,261400000,,
1997-12-31,935500000,261400000,,8200000,2400000,227100000,-364400000,-71000000,810900000,40300000,218200000,196600000,0,,-44400000,-58200000,,,89900000,722900000,10500000,122000000,703900000,360100000,486800000,94400000,-41900000,218200000,,421800000,23100000,-20500000,180900000,218200000,109100000,371800000,-9900000,,5100000,-157700000,2,340200000,1422300000,,4300000,1000500000,50300000,23100000,15400000,,,-45000000,1166300000,1426800000,156900000,,0,-223000000,,,332100000,10400000,264900000,57800000,239100000,446500000,382400000,109648241,128700000,217000000,0,,,1.99,217000000,,
1998-12-31,848000000,217000000,,15900000,2000000,238700000,-414600000,-134400000,913400000,41300000,203800000,183500000,-100000,,-102000000,-89700000,,,45500000,714500000,29100000,107300000,692800000,404000000,540100000,98400000,-52300000,203800000,,443000000,30700000,-31400000,126700000,203800000,107263158,386100000,,,4300000,-159600000,1.9,311100000,1388100000,,,945100000,49000000,41800000,4600000,,,-48000000,1210600000,1407300000,170100000,,0,-274300000,,,306700000,6400000,272900000,60300000,216400000,498800000,355700000,107263158,135100000,115000000,-100000,,,1.9,115000000,,
1999-12-31,835400000,115000000,,-4200000,5200000,262600000,-425000000,-46300000,948900000,42200000,162000000,205200000,0,,-52800000,-101900000,,14500000,53800000,735400000,92500000,81500000,704100000,415300000,566100000,103800000,-18500000,162000000,,543000000,32800000,-34000000,93900000,162000000,105882353,422800000,-1000000,,3800000,-161200000,1.53,243500000,1401500000,,100000,858500000,56400000,1100000,4300000,,,-101800000,1211800000,1439500000,173300000,,62100000,-139300000,800000,,281300000,-32600000,369700000,72000000,195800000,523900000,337700000,105882353,136700000,62100000,0,,,1.53,62900000,-57100000,
2000-12-31,1018940000,62135000,,-30496000,25072000,258653000,-461427000,-200953000,1141301000,34296000,123005000,251011000,746152000,,66734000,-60696000,,14470000,90076000,762309000,852985000,61122000,700486000,435312000,1470093000,112671000,107257000,123005000,,1857774000,103151000,64591000,208414000,123005000,100823770,440668000,-1111000,364314000,417402000,-155502000,1.22,184127000,2489033000,,,631259000,69344000,1566000,1387000,,,-1002235000,1204561000,1462795000,678757000,,128869000,808092000,369000,755923000,259818000,-50619000,1179017000,75021000,269110000,679874000,329162000,100823770,158204000,128869000,11301000,,,1.22,129238000,-77578000,
2001-12-31,896361000,128869000,,-18113000,70424000,313335000,-443157000,-71234000,975630000,43297000,116002000,207383000,-605123000,39227000,-80348000,-52016000,,14470000,0,1063433000,227945000,71775000,780333000,415984000,1371690000,135248000,-39877000,116002000,,1743881000,44553000,-1207000,129489000,116002000,95869421,494672000,-19786000,318023000,939404000,-57618000,1.21,187777000,2268051000,,,524170000,123493000,8250000,6842000,,,-48652000,1263344000,1843766000,1183667000,,48521000,-209381000,384000,795920000,285661000,-27460000,560214000,85659000,181505000,532473000,409154000,96668333,199710000,48521000,0,,,1.2,48905000,-180963000,
2002-12-31,866749000,48521000,,-6381000,37036000,305156000,-429715000,-72273000,950214000,62743000,175944000,169577000,0,36250000,-33663000,-81815000,,14470000,0,1035835000,49663000,90473000,773414000,421603000,1365945000,144027000,-10677000,175944000,,1658016000,,17259000,161529000,175944000,94593548,461815000,-176000,314373000,1007085000,-56826000,1.86,266417000,2232694000,,,574678000,84458000,257000,29579000,,,-28891000,1382539000,1809249000,1298519000,,14858000,-250052000,307000,782703000,311599000,-8146000,359497000,104007000,243344000,520499000,396057000,95621739,291434000,14858000,0,,,1.84,15165000,-219190000,
2003-12-31,902672000,14858000,,-11565000,28477000,308951000,-499785000,-55447000,1010397000,94195000,172597000,227713000,0,,-2777000,-65955000,,14470000,0,1092456000,194304000,79263000,809064000,454631000,1404220000,159286000,21843000,172597000,,1564261000,,7690000,203641000,172597000,93802717,480869000,-161000,320768000,690231000,-58174000,1.84,251860000,2306892000,,,742631000,86721000,33000,26278000,,,25192000,1496104000,1901520000,1038216000,,12081000,-300253000,474000,799413000,328195000,-47858000,526045000,104028000,269596000,510612000,414916000,94315301,347985000,12081000,0,,,1.83,12555000,-135633000,
2004-12-31,961370000,12081000,,-6464000,24002000,341306000,-530144000,-66469000,1031478000,110914000,196071000,226135000,0,53452000,20515000,-70607000,,14470000,0,1160235000,15957000,84931000,873418000,457204000,1401924000,175173000,35018000,196071000,,1452807000,,363000,225240000,196071000,94264904,531309000,,335779000,668969000,-63214000,2.08,281002000,2363294000,,,910487000,90996000,132000,76452000,,,-31478000,1627386000,2033653000,1053285000,,32596000,-245370000,399000,789676000,342109000,-37105000,399522000,103978000,295847000,501334000,433105000,95644390,384316000,32596000,0,,,2.05,32995000,-109042000,
2005-12-31,1191274000,32596000,,-32882000,23956000,339323000,-526562000,-98319000,1025707000,175126000,193066000,261456000,0,23260000,239949000,-93433000,,14470000,43698000,1168992000,819392000,53122000,824401000,430794000,1446922000,179812000,-72844000,193066000,,1722849000,,-117000,83727000,193066000,93721359,534206000,,304823000,131281000,-67779000,2.06,246188000,2638196000,,,915347000,91928000,35000,23015000,,,-90611000,1752055000,1993393000,520153000,,272545000,157358000,352000,772651000,290195000,-20051000,1202696000,98588000,177160000,499145000,382123000,94640196,388872000,272545000,0,,,2.04,272897000,-150355000,
2006-12-31,1079803000,272545000,,-12423000,25549000,351923000,-579648000,-270998000,1074772000,75876000,226500000,247237000,4653000,71976000,-158037000,-58282000,,14470000,0,1211259000,15897000,86782000,884131000,446606000,1399101000,185692000,-36258000,226500000,,1573736000,,9492000,204619000,226500000,90600000,552458000,-240000,357155000,791443000,-67381000,2.5,313282000,2478904000,,18185000,905168000,89733000,,110867000,665582000,,-31287000,1909599000,2095390000,1126965000,,114508000,-395873000,604000,80134000,331673000,7158000,446771000,111661000,262901000,495124000,421406000,91330645,335522000,114508000,0,,,2.48,115112000,-196872000,
2007-12-31,1190478000,114508000,,-6343000,41535000,375287000,-656262000,-577001000,1165082000,187626000,247128000,191160000,6568000,64271000,36963000,-65614000,,14470000,0,1324424000,152473000,81556000,952214000,484222000,1536310000,199023000,-19831000,247128000,,2109591000,,-12406000,248448000,247128000,86408392,587188000,-13170000,400527000,1060168000,-76600000,2.86,328684000,2726788000,,24111000,617197000,82788000,10471000,50116000,665582000,,-51354000,2078937000,2276638000,1570695000,,151471000,-227996000,604000,67254000,365026000,5193000,538896000,130992000,314062000,508820000,447814000,87634043,510527000,151471000,0,,,2.82,152075000,-144347000,
2008-12-31,1161068000,151471000,,7261000,74008000,381841000,-675052000,-29995000,1171908000,204645000,229628000,136170000,133000,68986000,26996000,-85395000,-139364000,14470000,63586000,1418738000,101982000,50894000,970634000,479567000,1588845000,212695000,-107348000,229628000,,2176802000,,-19736000,135218000,229628000,79032000,600689000,-7198000,412127000,1153672000,-74865000,2.91,280522000,2749913000,58632000,-2160000,573111000,75986000,0,7353000,665582000,17246000,-89745000,2222641000,2389372000,1725761000,,178467000,-94669000,361000,61101000,369945000,-15415000,451041000,114997000,220613000,496856000,430516000,79964000,237226000,178467000,2848000,,,2.87,178828000,-325105000,
2009-12-31,1128066000,178467000,,-17354000,61818000,376541000,-764592000,-1967000,1265885000,165165000,195526000,159261000,0,67015000,-98332000,-66819000,-238394000,14470000,158689000,1391032000,76780000,81023000,935126000,444977000,1516708000,193843000,17612000,195526000,,1872864000,,47090000,224818000,195526000,78403000,576537000,-15853000,454528000,934749000,-78841000,2.48,276549000,2644774000,54884000,19652000,769003000,78525000,0,7010000,665582000,19652000,-80888000,2339205000,2326158000,1388410000,,80135000,-312192000,,54948000,358589000,-20222000,484454000,161027000,291637000,501293000,416892000,79094000,157827000,80135000,1784000,,,2.46,80135000,-270974000,
2010-12-31,1325195000,80135000,,-13301000,48709000,447392000,-806765000,0,1344883000,171926000,263557000,192557000,1403000,17550000,51197000,-106301000,0,14470000,210384000,1530260000,133899000,96036000,1092602000,531675000,1547260000,218772000,-32682000,263557000,,1869300000,,-86250000,208835000,263557000,79495000,666164000,-3858000,451804000,787668000,-81181000,3.29,359593000,2872455000,50917000,22001000,999422000,79242000,1719000,26224000,665582000,22001000,-106783000,2519706000,2622862000,1208349000,116817000,131332000,-156744000,,48834000,426438000,-18136000,660951000,200153000,315136000,538118000,487544000,80440000,147779000,131332000,1657000,,,3.26,131332000,-275351000,
2011-12-31,1317220000,131332000,-35697000,25357000,44639000,443974000,-824029000,0,1432094000,179833000,266866000,114580000,5933000,22628000,-43053000,-127457000,-123708000,14470000,212156000,1683362000,116688000,106680000,1104656000,544439000,1648361000,219781000,-199306000,266866000,,1858174000,,-25199000,61733000,266866000,80456000,663755000,,472346000,778248000,-90250000,3.3,373546000,2965581000,47855000,266866000,1104412000,75327000,,14656000,665582000,20547000,-131163000,2692893000,2788018000,1293608000,12252000,88279000,-100707000,,42763000,440901000,-22716000,564566000,208759000,189190000,608065000,493512000,81467000,151872000,88279000,-1231000,,,3.26,88279000,-379546000,
2012-12-31,1572559000,88279000,-33056000,56484000,41753000,453535000,-877676000,,1532317000,74784000,254134000,134480000,8380000,94815000,236143000,-126140000,0,14470000,208036000,1645912000,150071000,189281000,1175534000,540658000,1677041000,233713000,25885000,254134000,,1997045000,,4571000,197656000,254134000,81108000,687248000,-1127000,499443000,881104000,-130943000,3.11,443415000,3249600000,44674000,-105503000,1248808000,76667000,1960000,9211000,665582000,19716000,-114261000,2841166000,2821446000,1374313000,-740000,324422000,25404000,,36688000,488286000,-3118000,622732000,199272000,323796000,654641000,561835000,81833000,110608000,324422000,8156000,,,3.09,324422000,-403625000,
2013-12-31,1652903000,324422000,-53156000,-484000,46767000,505877000,-1070768000,-51363000,1757983000,70629000,353544000,138103000,3312000,118525000,81083000,-134157000,-383225000,14470000,222406000,1668691000,149000,131666000,1284205000,533806000,1678828000,259838000,-34835000,353544000,,1864680000,,4822000,273405000,353544000,81322000,765715000,,524493000,932665000,-87347000,4.32,485210000,3331731000,41339000,23736000,1463072000,83227000,646000,3799000,665582000,23736000,-105406000,3075657000,2952896000,1304314000,10074000,405505000,-217038000,,30615000,518490000,13487000,560366000,226733000,407562000,687215000,615204000,81930000,92085000,405505000,793000,,,4.29,405505000,-392711000,
2014-12-31,1710027000,405505000,-2635000,23350000,46067000,514891000,-1046478000,-88203000,1766746000,85522000,414543000,120901000,5307000,84238000,73068000,-143182000,0,14470000,168957000,1726383000,8090000,134518000,1362150000,568729000,1784594000,253640000,-27737000,414543000,-102500000,1971932000,,-40042000,375208000,414543000,80936000,768531000,,493768000,934232000,-133239000,5.09,549061000,3494621000,46535000,22648000,1518561000,89354000,3304000,1864000,675484000,22648000,-221333000,3350734000,3088533000,1453124000,7753000,478573000,-202330000,,76557000,593619000,1509000,518808000,229866000,518390000,720268000,684482000,81494000,118024000,478573000,17750000,,,5.06,478573000,-540430000,
2015-12-31,1455884000,478573000,-91712000,13043000,46062000,509557000,-1079489000,-122193000,1812283000,72197000,419247000,169406000,12055000,61358000,-296585000,-101030000,,14470000,136451000,1671590000,132349000,119854000,1351599000,589019000,2265570000,246101000,-42950000,419247000,-493424000,2126464000,,-37628000,332548000,419247000,80449000,755658000,,537896000,937844000,-158870000,5.19,539101000,3721454000,43260000,23160000,1590318000,89597000,12128000,886000,941389000,23160000,-577156000,3604254000,3023189000,1384336000,89273000,181988000,-131296000,,306004000,595941000,-10778000,742128000,302473000,433578000,732794000,674760000,80891000,160849000,181988000,868000,,,5.16,181988000,-613439000,
2016-12-31,1609014000,181988000,-21544000,14350000,52989000,566224000,-1137617000,-127443000,1913333000,79944000,405031000,140763000,-4382000,136530000,142004000,-126412000,-259344000,14470000,142347000,1717280000,258516000,118686000,1399070000,592017000,2407970000,254263000,46152000,405031000,-236836000,2385850000,,15452000,408994000,405031000,79648000,844250000,,550658000,1066855000,-184897000,5.07,523717000,4016984000,39816000,24587000,1626244000,102469000,637000,813000,1000123000,24587000,-355463000,3818535000,3116350000,1487553000,-7642000,323992000,-19694000,,365783000,554820000,21886000,898297000,274815000,535406000,775716000,679175000,79981000,137475000,323992000,292000,,,5.05,323992000,-680095000,
2017-12-31,1896544000,323992000,-68851000,58889000,65363000,557311000,-1210175000,-58069000,2090755000,33942000,295665000,164069000,-22451000,104224000,44054000,-128973000,-254499000,14470000,215387000,1919718000,6966000,241380000,1479001000,649448000,2702382000,286026000,-633000,295665000,-192328000,2909632000,,-18911000,261783000,295665000,79070000,878031000,,663663000,1632186000,-206118000,3.73,537045000,4598926000,37344000,-56000000,1684202000,117967000,1434000,,1156288000,26567000,-299930000,3870621000,3398719000,2140864000,29114000,368046000,-42558000,,415787000,600970000,1438000,768768000,338188000,390756000,880580000,720375000,79370000,242398000,368046000,3798000,,22190000,3.72,368046000,-637482000,
2018-12-31,2941860000,368046000,-49958000,19402000,132558000,707461000,-1251786000,-15475000,2492938000,49866000,337302000,229872000,2237206000,157903000,280476000,-173420000,-377552000,16066000,277036000,2294832000,48642000,107976000,1682707000,1078537000,9947535000,311583000,-127731000,339781000,-4857343000,6846021000,655879000,-117641000,264155000,337302000,87551000,1094923000,,937765000,4504417000,-230218000,3.81,447757000,12889395000,31366000,235000,6032951000,173792000,,,5378388000,29401000,-5013235000,3956221000,3977539000,5717710000,55136000,648522000,4870703000,,3039322000,587784000,-7469000,1128311000,471382000,437575000,1241152000,754107000,88121000,217070000,634897000,1837000,31470000,24356000,3.79,634897000,-702227000,
2019-12-31,2942544000,648522000,,-59279000,138221000,876121000,-1303848000,0,2983430000,56967000,455873000,254325000,-35265000,135121000,-24577000,-242048000,-156282000,16066000,375246000,3027336000,384958000,97184000,2112748000,1123068000,10344867000,346128000,-38489000,460268000,-53720000,7057863000,641456000,-62129000,456917000,455873000,,1415346000,0,876197000,3997438000,-313510000,,557452000,13287411000,,,6217304000,323330000,25900000,,5497596000,34482000,-225866000,4117804000,5140084000,5505673000,55464000,623945000,-505057000,,2851935000,697402000,-1729000,1552190000,510372000,698965000,1679582000,1019003000,,502366000,606823000,1890000,,42141000,,,-716894000,
