date,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualNetPPE,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualOperatingCashFlow,annualRepaymentOfDebt,annualEbitda,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualGrossPPE,annualOtherNonCashItems,annualBeginningCashPosition,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBasicEPS,annualOperatingExpense,annualAccumulatedDepreciation,annualInvestingCashFlow,annualDeferredIncomeTax,annualCapitalExpenditure,annualPurchaseOfInvestment,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualNetOtherFinancingCharges,annualDilutedAverageShares,annualStockBasedCompensation,annualChangeInCashSupplementalAsReported,annualInventory,annualOtherCurrentLiabilities,annualCapitalStock,annualGoodwill,annualInterestExpense,annualDilutedEPS,annualOtherShortTermInvestments,annualOperatingIncome,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualOtherCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInWorkingCapital,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualCostOfRevenue,annualNetIncome,annualCurrentDebt,annualPretaxIncome,annualFreeCashFlow,annualInvestmentsAndAdvances,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualDepreciationAndAmortization,annualTotalAssets,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualBasicAverageShares,annualNetIncomeCommonStockholders,annualAccountsReceivable,annualSaleOfInvestment,annualCommonStockIssuance,annualResearchAndDevelopment,annualIncomeTaxPayable
1989-12-31,,,,,,,,,531200000,,,,,,,,-3.522,,,,,,,,,,,23168654,,,,,,,,-3.522,,531200000,,,,531200000,,,,,,,,,-73400000,,,,-73400000,,,,,,,,,,,,,,,,23168654,-81600000,,,,,
1990-12-31,,,,,,,,,593700000,,,,,,,,2.13,,,,,,,,,,,23098592,,,,,,,,2.13,,593700000,,,,593700000,,,,,,,,,54000000,,,,54000000,,,,,,,,,,,,,,,,23098592,49200000,,,,,
1991-12-31,,,,,,,,,673400000,,,,,,,,1.884,,,,,,,,,,,23195329,,,,,,,,1.884,,673400000,,,,673400000,,,,,,,,,48200000,,,,48200000,,,,,,,,,,,,,,,,23195329,43700000,,,,,
1992-12-31,,,,,,,,,667300000,,,,,,,,2.256,,,,,,,,,,,23226950,,,,,,,,2.256,,667300000,,,,667300000,,,,,,,,,56800000,,,,56800000,,,,,,,,,,,,,,,,23226950,52400000,,,,,
1993-12-31,,,,,,,,,653000000,,,,,,,,1.542,,,,,,,,,,,23476005,,,,,,,,1.542,,653000000,,,,653000000,,,,,,,,,40500000,,,,40500000,,,,,,,,,,,,,,,,23476005,36200000,,,,,
1994-12-31,,11400000,484600000,1379100000,-1900000,1917700000,137000000,,251400000,-110700000,-1100000,1872600000,79000000,48200000,,1169100000,1.854,312200000,-493500000,-63000000,9500000,-63000000,,,,447600000,100000,23462783,,-36700000,22300000,261300000,328800000,,84100000,1.854,,172400000,,42800000,,656700000,35600000,,-8500000,11400000,1602300000,41700000,0,11400000,48100000,,-42200000,172100000,46800000,261300000,89800000,74000000,,,-15900000,0,157300000,472700000,708300000,,2075000000,145600000,97800000,412400000,23462783,43500000,88000000,,100000,,
1995-12-31,,5100000,504800000,1373100000,-4300000,1848300000,161500000,,275900000,-108500000,100000,1905100000,92900000,11400000,,1288300000,2.184,322000000,-532000000,-59400000,27500000,-59400000,,,,425900000,100000,22543618,,-6400000,22200000,41100000,295000000,,72400000,2.178,,182800000,,45400000,,690400000,31500000,,-5800000,5100000,1485100000,54900000,0,5100000,50400000,,-41500000,185600000,50400000,41100000,105300000,102100000,,,-34200000,-100000,137300000,450500000,845700000,,1985600000,156900000,80400000,177000000,22481685,49100000,78500000,,400000,,
1996-12-31,,6400000,518700000,1348400000,-7200000,1797500000,144800000,,249600000,-25200000,200000,1934000000,88800000,5100000,,1237600000,1.728,357700000,-585600000,-118300000,-2300000,-47200000,-71100000,,,354300000,1400000,22531940,,1300000,22000000,81200000,289100000,,68400000,1.722,,161000000,,68100000,,726000000,32900000,,-700000,6400000,1466400000,43800000,0,6400000,39100000,,-40800000,207300000,39100000,81200000,82900000,97600000,,,-6100000,-100000,163400000,444500000,759700000,,1960900000,156800000,50400000,209900000,22453704,38800000,102100000,,,,
1997-12-31,,32000000,487700000,1306000000,4200000,1666700000,168400000,,241100000,-74800000,2900000,1951000000,97800000,6400000,,1050900000,1.962,344500000,-645000000,-68000000,8000000,-33400000,-34500000,,,300900000,-1500000,23312883,,25600000,19100000,138100000,293100000,,59400000,1.956,,143200000,,68700000,,710300000,28800000,-11100000,19100000,32000000,1338300000,38800000,-100000,32000000,45800000,,-40600000,222600000,45800000,138100000,84600000,135000000,,,-6500000,100000,165000000,443400000,644700000,,1831700000,162200000,51800000,268700000,23241590,45600000,85100000,,,,
1998-12-31,,101400000,500100000,1264400000,-3800000,1635900000,110100000,,254900000,-11100000,-14500000,1978800000,107600000,32000000,,1097500000,1.8,352800000,-714400000,-29500000,1100000,-38000000,,,,337000000,-1500000,23333333,,69400000,33600000,-100000,296300000,,49300000,1.8,,147300000,,53400000,,686200000,28700000,-10200000,-39600000,101400000,1391500000,47800000,0,101400000,42200000,,-40500000,186100000,42200000,153400000,90000000,72100000,,,-100000,-200000,255400000,449800000,664500000,,1891300000,163800000,59200000,276100000,23333333,42000000,91700000,8500000,4900000,,
1999-12-31,,39100000,486700000,653300000,-800000,1578100000,98500000,,262100000,-307400000,-1200000,1185700000,104400000,124500000,,1063900000,2.226,329000000,-532400000,152800000,-52700000,-34800000,-88500000,,,279400000,-500000,23405211,,-56200000,9300000,42100000,292000000,,40200000,2.226,,157700000,,105300000,,680000000,62000000,-9300000,-2700000,68300000,1289900000,61900000,100000,39100000,52200000,,-40600000,193300000,52200000,42100000,114100000,63700000,,,-4400000,0,220100000,458300000,518200000,,1798200000,175500000,50800000,208300000,23405211,52100000,109700000,5400000,1200000,,
2000-12-31,,47439000,417856000,550653000,175171000,1580248000,101318000,,43495000,-23417000,-457000,1017288000,,68322000,,1017470000,4.32,444074000,-466635000,-98784000,10435000,-54191000,,,,267231000,-50000000,14098000,,-20883000,10938000,111104000,291342000,,40970000,4.31,,-26218000,,149146000,,704691000,3076000,-8310000,-16021000,47439000,1389509000,48029000,0,47439000,60757000,,,286835000,60757000,111104000,108786000,47127000,,25989000,-40517000,130990000,288306000,479045000,522221000,,1868554000,195700000,86135000,356520000,14073000,60757000,190159000,4778000,517000,,
2001-12-31,,86096000,813939000,525445000,6388000,1511964000,156948000,,240833000,-42991000,-2378000,946188000,,47439000,,915537000,4.21,671390000,-420743000,-75300000,-18053000,-47370000,-1162000,,,235491000,0,14159000,,38657000,14528000,133215000,291788000,,47702000,4.19,,142549000,,40716000,,1085846000,51423000,-6842000,33594000,86096000,1363936000,48191000,-3773000,86096000,59363000,,-40576000,271907000,59363000,133215000,107554000,109578000,,,,912805000,351967000,499995000,511345000,,1863931000,214459000,213652000,397746000,14097000,59363000,164183000,,1711000,,
2002-12-31,,66998000,861827000,517082000,-1871000,1468652000,132318000,,217455000,-209950000,1383000,804692000,,86096000,,837917000,3.09,742470000,-287610000,58534000,67692000,-57305000,-25000000,,,239105000,-1035000,14282000,,-19098000,6203000,146788000,296501000,,42398000,3.08,,119357000,,44007000,,1131022000,48223000,-33105000,-7738000,66998000,1298459000,36263000,-10363000,66998000,43947000,,-40917000,269195000,43947000,146788000,80210000,75013000,,,,122127000,312159000,482352000,395432000,,1780811000,217377000,195706000,396776000,14239000,43947000,152332000,85837000,6132000,,
2003-12-31,,28614000,691004000,548794000,3290000,1564737000,88135000,,171196000,-28855000,-425000,820876000,,18910000,,1001075000,1.63,603314000,-272082000,-49576000,17715000,-52309000,,,,346052000,-2466000,14304000,,9704000,4458000,79976000,297321000,,27993000,1.63,,87690000,,36729000,,963677000,113707000,-6292000,-52284000,28614000,1386300000,33450000,2733000,28614000,29537000,,-41137000,272673000,23286000,79976000,62987000,35826000,,,,120303000,314337000,492774000,495460000,,1879074000,199502000,178069000,305073000,14291000,23286000,135312000,,2099000,,
2004-12-31,,40165000,723382000,563852000,2454000,1529530000,102733000,,156076000,-92729000,-962000,1138486000,,28614000,,984090000,6.04,636882000,-574634000,1547000,8985000,-48952000,,,,357865000,-59000,14473000,,11551000,5421000,17748000,304347000,,21301000,6.01,,86500000,,75278000,,1101287000,7109000,-7895000,-6532000,40165000,1239211000,30735000,70152000,40165000,36918000,,-41347000,377905000,86945000,17748000,67653000,53781000,,,,100703000,258078000,548397000,491174000,,1787608000,244956000,94154000,197624000,14390000,86945000,165633000,,7684000,,
2005-12-31,,28860000,799166000,592081000,5991000,1459257000,80476000,,145334000,-28845000,-1113000,890074000,,40165000,,969840000,2.15,724410000,-297993000,-62936000,5842000,-54619000,,,,352385000,1539000,14695000,,-11305000,6533000,31588000,307398000,,24615000,2.13,,74756000,,77224000,,1213096000,72386000,-7371000,-10689000,28860000,1254477000,24776000,-8317000,28860000,31356000,,-41894000,413930000,31254000,31588000,56132000,25857000,,,,95097000,339798000,544578000,486889000,,1799055000,234244000,115865000,235194000,14547000,31254000,185114000,,3051000,,
2006-12-31,,63730000,432099000,647014000,30257000,1336063000,47133000,,150092000,-68587000,-606000,937756000,77728000,28654000,,886936000,-2.66,354702000,-290742000,56164000,-3077000,-76774000,,,,326247000,1647000,24812000,,34710000,2204000,78286000,0,,22848000,-2.66,,77397000,,77976000,,845950000,95515000,-4839000,-77398000,63364000,1170912000,26188000,141128000,63730000,58618000,,-52922000,413851000,-65164000,78286000,84806000,-29641000,,,,10160000,295430000,460581000,408603000,,1631493000,126674000,73589000,229851000,24441000,-65164000,100252000,,16457000,,
2007-12-31,,13359000,465512000,878366000,4984000,1527930000,104619000,,180535000,79950000,-1509000,1192727000,-405000,63364000,,955590000,1.79,377009000,-314361000,-233163000,-4250000,-248202000,,,,313812000,-631000,25299000,,-48594000,3250000,119286000,0,,24884000,1.77,,88503000,,100529000,,981999000,90474000,-3860000,-23318000,14770000,1311543000,30512000,10439000,13359000,46693000,,-32457000,516487000,44697000,119286000,77205000,-143583000,,,,13821000,247904000,464291000,479317000,,1775834000,128081000,60308000,290957000,24986000,44697000,97911000,,1324000,,
2008-12-31,,7730000,478107000,1073588000,-205000,1832660000,142303000,-129286000,215256000,112626000,-620000,1417712000,830000,14770000,,,1.92,834593000,-344124000,-261969000,-7477000,-215728000,,5478000,,298824000,-277000,25477000,3771000,-7040000,3871000,24176000,330994000,,34152000,1.89,,114127000,-6379000,91891000,,948720000,44517000,0,11377000,7730000,1608607000,34724000,-46414000,7730000,48385000,,-43463000,470613000,48148000,203286000,83314000,-73425000,10307000,,,759072000,250526000,474579000,549031000,82186000,2083186000,132696000,37089000,363819000,25114000,48148000,93854000,173000,2652000,,
2009-12-31,,15269000,506199000,1153001000,5586000,1992096000,172107000,-203286000,226120000,22814000,-682000,1532952000,-2506000,7730000,,382086000,1.94,383781000,-379951000,-187382000,-6541000,-123574000,,4777000,,273558000,-1220000,28273000,3570000,7539000,4553000,27722000,0,,40400000,1.93,,122418000,-3683000,90470000,1412130000,896550000,62866000,,12421000,15269000,1647584000,33204000,-64793000,15269000,54459000,,-47678000,390351000,54317000,58256000,87604000,48533000,10659000,,,3728000,229664000,574176000,673549000,99933000,2221760000,137309000,45936000,235454000,28027000,54317000,90362000,985000,92225000,,
2010-12-31,,90281000,601801000,2327450000,-12473000,3758012000,208099000,-59826000,258050000,941962000,23553000,3186911000,41078000,15269000,-856952000,93122000,1.53,450930000,-859461000,-1075049000,57038000,-203530000,-6000000,-62370000,,354164000,-6805000,36083000,4080000,75012000,114835000,66847000,0,298890000,53698000,1.52,0,150871000,25209000,199816000,2826357000,997666000,117123000,166000,-36957000,90281000,3379291000,35284000,-8567000,90281000,54857000,,-51836000,395865000,54857000,161114000,88863000,4569000,85717000,,,1281000,697421000,1076142000,1511768000,115489000,4455433000,131456000,103356000,552934000,35722000,54854000,234173000,,502220000,,
2011-12-31,,30999000,883222000,2570355000,23449000,4077381000,222862000,-146573000,416551000,43889000,-3436000,3499756000,-40655000,90281000,11211000,89515000,1.96,663840000,-929401000,-326033000,67865000,-328079000,-4393000,34654000,,388553000,-1514000,50926000,5286000,-59282000,119886000,55133000,0,266797000,95385000,1.95,0,219382000,4446000,194641000,3008380000,1570447000,103038000,-375000,-91321000,30999000,3650248000,62501000,-4772000,30999000,99710000,,-87274000,687225000,99710000,248712000,150929000,-105217000,153653000,,,11181000,667228000,1094361000,1548347000,170237000,4744609000,143792000,99665000,641868000,50609000,99656000,188635000,,200000,,
2012-12-31,,17857000,525975000,2787354000,19127000,4333389000,333941000,-109955000,437184000,-40824000,26748000,3740915000,-30631000,30999000,0,60635000,2.04,291897000,-953561000,-306259000,68121000,-288633000,-24059000,-51301000,,456411000,-822000,51108000,4907000,-13142000,95477000,52088000,937042000,266205000,90105000,2.02,,234078000,-20221000,176861000,3218149000,1486501000,139853000,-449000,-40080000,17857000,3843205000,74866000,4561000,17857000,103701000,,-87490000,960526000,103701000,235296000,163294000,45308000,148730000,3488000,,28587000,626709000,1116893000,1600354000,183785000,4960098000,159900000,120689000,625056000,50831000,103637000,230799000,,1943000,,
2013-12-31,,69153000,569157000,3068680000,24888000,4256216000,325208000,-41455000,466250000,25289000,4850000,4013079000,7731000,17857000,0,49047000,2.2,320384000,-944399000,-299201000,71095000,-305178000,-1636000,-9711000,,540542000,-170000,52711000,5283000,51296000,79917000,288633000,1146290000,266205000,89338000,2.18,0,248773000,-12094000,164416000,3177242000,1618716000,344513000,535000,-115320000,69153000,3790065000,69308000,1119000,69153000,115317000,,-87602000,1049559000,115317000,11834000,184625000,20030000,144589000,70000,,11640000,888004000,1354155000,1723842000,192287000,5144220000,185058000,100058000,612823000,52415000,115148000,245252000,,206516000,,
2014-12-31,,115579000,544575000,3292690000,8401000,4441839000,402182000,-11455000,415078000,-20458000,2394000,4324755000,28646000,69153000,-20321000,46924000,1.93,292028000,-1032065000,-335298000,55959000,-312153000,-8437000,15089000,,585335000,-295000,57136000,5691000,46426000,86428000,40334000,1150104000,266205000,93941000,1.92,0,252547000,49721000,217700000,3248056000,1631943000,105579000,-277000,16257000,115579000,3743614000,57562000,-18636000,115579000,109579000,,-97708000,1087368000,109579000,95526000,167141000,90029000,139972000,2200000,,20292000,670096000,1368321000,1711349000,153996000,5111935000,196907000,93619000,495558000,56834000,109530000,232887000,,0,,
2015-12-31,556000000,427000000,1587000000,20711000000,43000000,28269000000,1361000000,-153000000,1364000000,102000000,4000000,27083000000,55000000,482000000,-547000000,736000000,1.05,1062000000,-6372000000,-1518000000,87000000,-1082000000,,160000000,1553000000,3317000000,-105000000,254605111,,-55000000,405000000,319000000,3000000,3115000000,267000000,1.05,0,525000000,-10000000,830000000,13642000000,4367000000,237000000,-52000000,19000000,427000000,15677000000,34000000,55000000,427000000,267000000,96000000,,2780000000,267000000,369000000,301000000,279000000,449000000,,,35000000,2474000000,15053000000,4530000000,796000000,30743000000,1449000000,129000000,2035000000,254588212,267000000,1036000000,59000000,,,
2016-12-31,538000000,91000000,2526000000,21548000000,-185000000,29057000000,1561000000,-367000000,1998000000,-372000000,46000000,28534000000,931000000,434000000,0,6719000000,2.04,1332000000,-6986000000,-1527000000,377000000,-1707000000,-8000000,-158000000,1483000000,3541000000,-88000000,309817322,1000000,-338000000,378000000,316000000,3000000,3124000000,268000000,2.04,0,1194000000,184000000,1096000000,13475000000,6018000000,288000000,-86000000,-352000000,96000000,16187000000,379000000,69000000,91000000,630000000,107000000,-401000000,3492000000,630000000,500000000,1009000000,-146000000,442000000,,-7000000,1294000000,2252000000,15109000000,4510000000,853000000,31309000000,1544000000,144000000,2712000000,309512553,630000000,1119000000,49000000,-2000000,,
2017-12-31,328000000,41000000,2414000000,22669000000,-624000000,29411000000,1763000000,-338000000,1227000000,528000000,12000000,30166000000,1381000000,96000000,,4660000000,1.23,1387000000,-7497000000,-2341000000,-251000000,-2416000000,,-48000000,1446000000,1465000000,-108000000,309700000,1000000,-50000000,214000000,393000000,3000000,3127000000,280000000,1.23,0,1027000000,81000000,1071000000,13415000000,5963000000,310000000,-46000000,-16000000,46000000,16575000000,-259000000,57000000,41000000,382000000,113000000,-535000000,3549000000,381000000,940000000,123000000,-653000000,415000000,,-4000000,877000000,2260000000,15077000000,5196000000,871000000,31671000000,1475000000,144000000,3160000000,309500000,381000000,1040000000,2000000,-1000000,,
2018-12-31,323000000,36000000,2577000000,23459000000,-72000000,30204000000,1791000000,-230000000,1926000000,-230000000,-14000000,31818000000,1193000000,46000000,,5169000000,1.92,1434000000,-8359000000,-1564000000,151000000,-1787000000,-45000000,-97000000,1385000000,1530000000,147000000,309700000,2000000,-3000000,235000000,301000000,3000000,3127000000,303000000,1.92,,1143000000,85000000,1132000000,13760000000,6478000000,305000000,-72000000,-26000000,43000000,16764000000,170000000,246000000,36000000,598000000,129000000,-537000000,3901000000,595000000,981000000,768000000,4000000,424000000,,-6000000,972000000,1963000000,15104000000,5368000000,919000000,32167000000,1528000000,143000000,3004000000,309500000,595000000,1142000000,141000000,,,
2019-12-31,314000000,,2528000000,25288000000,122000000,32391000000,1593000000,-373000000,2123000000,1261000000,,34347000000,-39000000,43000000,-2000000,718000000,,1525000000,-9059000000,-2713000000,138000000,-2740000000,-176000000,,1274000000,1814000000,70000000,,,141000000,251000000,313000000,3000000,3119000000,306000000,,,1003000000,,1361000000,15243000000,6338000000,300000000,-95000000,-69000000,184000000,18830000000,143000000,74000000,178000000,676000000,140000000,-545000000,3810000000,700000000,1290000000,819000000,-1147000000,708000000,,0,311000000,2025000000,15237000000,6716000000,998000000,34416000000,1681000000,161000000,3587000000,,700000000,1082000000,108000000,,,
