date,annualPurchaseOfBusiness,annualOtherNonCashItems,annualIncomeTaxPayable,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualStockholdersEquity,annualBasicEPS,annualInvestingCashFlow,annualDepreciationAndAmortization,annualChangeInInventory,annualPurchaseOfInvestment,annualAccountsReceivable,annualCapitalStock,annualStockBasedCompensation,annualCurrentLiabilities,annualNetPPE,annualOtherIntangibleAssets,annualInventory,annualOperatingCashFlow,annualGrossProfit,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualTotalRevenue,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualPretaxIncome,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualOperatingIncome,annualOtherIncomeExpense,annualGrossPPE,annualAccountsPayable,annualInvestmentsAndAdvances,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInterestExpense,annualCurrentAssets,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualOtherNonCurrentAssets,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualResearchAndDevelopment,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualRetainedEarnings,annualLongTermDebt,annualBeginningCashPosition,annualTaxProvision,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalAssets,annualNetIncome,annualCurrentDebt,annualTotalNonCurrentAssets,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualGoodwill,annualCashDividendsPaid,annualRepurchaseOfCapitalStock
2000-12-31,,,,,,66366000,-1.48,-95379000,5535000.0,,-69949000.0,3346000.0,25704000.0,,14636000,22625000,13815000,,-23186000,42790000,,-23455000,0.0,-732000.0,7798000,-1.48,127262000,37023000,37255000,-23781000.0,4319000.0,,122884000.0,39615000,,-28990000,-17859000.0,53929000,2231000.0,,71780000,-53485000,-1649000.0,39615000,,,13160000.0,133204000,-54699000,,13612000,87647000.0,118240000.0,-31304000,57014000.0,,102254000,-908000.0,116890000,-24835000,,-311460000,102254000,35296000,,,2596000,5535000.0,183256000,-53485000,4607000,50052000,37023000,9231000,,,
2001-12-31,,,,236236000.0,,223099000,-1.7,-143486000,6967000.0,,-334032000.0,,27017000.0,,48247000,28245000,49096000,,-6158000,53273000,,-39135000,20005000.0,415000.0,0,-1.7,312018000,44109000,53273000,-36403000.0,87396000.0,,237040000.0,127011000,,-46102000,-12482000.0,62697000,6126000.0,,99375000,-73832000,-9287000.0,127011000,9588000.0,,15248000.0,328816000,-75131000,,10904000,185007000.0,0.0,-34452000,83741000.0,,145715000,25175000.0,193962000,-15445000,210458000.0,-386591000,125710000,39615000,,22696000.0,6438000,,417061000,-73832000,9837000,88245000,44109000,15634000,,,
2002-12-31,,,,196075000.0,,155477000,-1.35,-60369000,10304000.0,-11090000.0,-200563000.0,14906000.0,13936000.0,,75950000,59094000,49653000,11090000.0,-94381000,80179000,,-39136000,0.0,-667000.0,38867000,-1.35,289353000,54480000,80179000,-19047000.0,-25155000.0,,129595000.0,101856000,,-49440000,-6240000.0,99531000,5524000.0,,129619000,-72242000,-36834000.0,101856000,10124000.0,,16562000.0,320180000,-73302000,,9756000,187497000.0,0.0,-40437000,124074000.0,,207256000,-18060000.0,283206000,-131215000,8890000.0,-459893000,207256000,127011000,,,4831000,,438683000,-72242000,21435000,118503000,54480000,5545000,,,
2003-12-31,,2813000.0,,156943000.0,,67178000,-1.73,-15118000,12253000.0,-2905000.0,-152910000.0,2657000.0,14631000.0,,45557000,34790000,50737000,13995000.0,-95474000,49990000,,-64922000,8810000.0,3182000.0,14684000,-1.73,215504000,55463000,49990000,-11597000.0,-68739000.0,,41853000.0,33117000,,-77175000,859000.0,83486000,3720000.0,,127165000,-94996000,-7554000.0,33117000,10676000.0,,18680000.0,239561000,-95690000,,9854000,182387000.0,0.0,-48696000,116963000.0,,222207000,-24264000.0,267764000,-103028000,1700000.0,-555583000,213397000,101856000,,,7405000,,334942000,-94996000,16477000,95381000,55463000,10202000,,,
2004-12-31,,,,176147000.0,,-72133000,-2.52,83731000,12170000.0,-9699000.0,-72479000.0,10048000.0,57000.0,,43416000,28454000,45201000,2722000.0,-101751000,42624000,,-73256000,531000.0,2551000.0,0,-2.52,103883000,56642000,42624000,-16411000.0,-5867000.0,,12153000.0,27250000,,-85426000,-34485000.0,60661000,6967000.0,,128050000,-142503000,-3526000.0,27250000,11713000.0,,22592000.0,125609000,-142864000,,9161000,76633000.0,0.0,-32207000,118474000.0,,237142000,-24220000.0,280558000,-105277000,4051000.0,-698447000,236611000,33117000,,14190000.0,8956000,,208425000,-142503000,10546000,82816000,56642000,9576000,,,
2005-12-31,,,,50213000.0,,2665000,-1.15,540000,9688000.0,1771000.0,-64103000.0,3918000.0,72000.0,,23793000,9130000,42543000,951000.0,-61741000,40133000,,-40534000,0.0,3178000.0,0,-1.15,94389000,62877000,40133000,832000.0,-23600000.0,,37601000.0,3650000,,-50222000,-6960000.0,34180000,2095000.0,,90355000,-72401000,-422000.0,3650000,12349000.0,,20313000.0,105858000,-72401000,,8842000,90739000.0,0.0,-25050000,82467000.0,,139915000,-8931000.0,163708000,-62163000,49168000.0,-770848000,139915000,27250000,,1514000.0,6600000,,166373000,-72401000,7835000,60515000,62877000,7888000,,,
2006-12-31,,8157000.0,,76972000.0,44000.0,68563000,-0.62,-32609000,7216000.0,90000.0,-107025000.0,2395000.0,82000.0,,25139000,7157000,38271000,861000.0,-53225000,24532000,,-61438000,0.0,4278000.0,0,-0.62,193333000,74308000,24532000,0.0,63629000.0,,149463000.0,114514000,,-68654000,2799000.0,36052000,4288000.0,,93186000,-45903000,-2556000.0,114514000,12293000.0,,9029000.0,206203000,-45903000,,4276000,78819000.0,70950000.0,-28895000,80567000.0,,132866000,2589000.0,158005000,-55781000,86364000.0,-816751000,125000000,50885000,,1044000.0,9614000,,255907000,-45903000,7514000,49704000,74308000,12619000,,,
2007-12-31,,14018000.0,,125137000.0,,872000,-1.63,-55644000,6765000.0,-1956000.0,-95371000.0,6177000.0,87000.0,,62205000,7131000,36859000,2817000.0,36094000,69621000,,-32183000,23548000.0,538000.0,0,-1.63,193719000,83739000,69621000,0.0,24100000.0,,43650000.0,138614000,,-38948000,298000.0,38658000,4507000.0,,108569000,-10994000,-5010000.0,138614000,17255000.0,,7573000.0,207317000,-10994000,,7551000,55105000.0,10000000.0,-31527000,92641000.0,,186410000,53601000.0,248615000,31084000,11351000.0,-827745000,162862000,114514000,,33205000.0,4604000,,258858000,-10994000,7238000,51541000,83739000,15928000,,,
2008-12-31,,17512000.0,,265951000.0,,67092000,-0.13,-234245000,6817000.0,-1323000.0,-483129000.0,4121000.0,97000.0,,124698000,17371000,33121000,2718000.0,212031000,107190000,,-6243000,172766000.0,982000.0,7870000,-0.13,490998000,94566000,107190000,0.0,85371000.0,,107585000.0,223985000,,-13060000,-965000.0,49808000,5710000.0,,120250000,-3576000,-17067000.0,217918000,16391000.0,,5603000.0,518384000,-11963000,,5274000,273080000.0,7048000.0,-32437000,106439000.0,,345204000,210863000.0,469902000,194964000,102776000.0,-839708000,172438000,138614000,,92662000.0,20547000,,574150000,-11963000,2065000,55766000,94566000,13811000,,,
2009-12-31,0.0,-184961000.0,7323000.0,581734000.0,,291722000,1.58,-212290000,11329000.0,-17000.0,-777730000.0,10899000.0,99000.0,13385000.0,111444000,27338000,30451000,2768000.0,-108441000,121600000,-2827000.0,-7764000,125100000.0,2153000.0,35763000,1.58,574312000,98109000,121600000,0.0,-118730000.0,-31765000.0,202001000.0,105255000,107097000.0,-27538000,8445000.0,63697000,4696000.0,,149138000,-34956000,-16294000.0,105255000,19474000.0,,12672000.0,596126000,155066000,,3269000,469057000.0,185278000.0,-36359000,134623000.0,-3652000.0,243675000,-104118000.0,355119000,-124735000,13156000.0,-696150000,11478000,223985000,3191000.0,75681000.0,8147000,0.0,657184000,155066000,4270000,61058000,98109000,14515000,,,
2010-12-31,,1512000.0,0.0,577533000.0,,244542000,-0.62,23694000,9177000.0,284000.0,-530387000.0,1242000.0,99000.0,12159000.0,105890000,35703000,15821000,2484000.0,-63593000,108473000,-4354000.0,-38750000,870000.0,949000.0,0,-0.62,472353000,99143000,108473000,-16228000.0,-35203000.0,-61159000.0,4696000.0,70052000,50413000.0,-48356000,-2941000.0,76529000,6523000.0,870000.0,156829000,-61251000,-17556000.0,70052000,12389000.0,,13232000.0,483137000,-61251000,,14946000,402301000.0,0.0,-40826000,145160000.0,1325000.0,200045000,-41436000.0,305935000,-81149000,4356000.0,-756687000,148762000,105255000,92000.0,74502000.0,7058000,0.0,550477000,-61251000,5645000,67340000,99143000,11669000,,,
2011-12-31,,1924000.0,,493363000.0,,171434000,-0.85,110898000,11784000.0,-1655000.0,-371467000.0,6921000.0,100000.0,9845000.0,76112000,96615000,16259000,4139000.0,-114801000,99086000,-5864000.0,-56274000,4424000.0,-770000.0,0,-0.85,343664000,99656000,99086000,0.0,-4575000.0,-84790000.0,-672000.0,65477000,17474000.0,-71100000,628000.0,144035000,8300000.0,,170186000,-84801000,-10998000.0,65477000,18655000.0,,16732000.0,360139000,-84801000,,11881000,278187000.0,0.0,-47420000,157397000.0,875000.0,237348000,-67395000.0,313460000,-125799000,3567000.0,-841488000,215450000,70052000,11000.0,36584000.0,5415000,0.0,484894000,-84801000,3390000,124755000,99656000,12789000,,,
2012-12-31,-3000000.0,16384000.0,,244836000.0,,182766000,-0.65,17999000,10755000.0,-1982000.0,-218667000.0,522000.0,102000.0,8571000.0,74322000,91084000,25225000,6121000.0,1876000,-56409000,-174137000.0,-53435000,0.0,12480000.0,38397000,-0.65,408068000,100576000,102049000,-3000000.0,59005000.0,-74587000.0,39130000.0,124482000,66656000.0,-68924000,15489000.0,145549000,10239000.0,,12515000,-65478000,-5170000.0,374446000,15401000.0,6399000.0,21152000.0,423438000,-65478000,-9111000.0,31164000,33622000.0,0.0,-54465000,158458000.0,1292000.0,288598000,50207000.0,362920000,-3294000,9470000.0,-906966000,221942000,65477000,-9109000.0,35925000.0,15370000,158458000.0,545686000,-65478000,4879000,122248000,100576000,12515000,,,
2013-12-31,0.0,19632000.0,,175190000.0,,378390000,-0.55,-255726000,9782000.0,-1912000.0,-425554000.0,11102000.0,116000.0,11418000.0,97812000,86198000,20089000,8033000.0,63493000,-36748000,-11039000.0,-47203000,0.0,21080000.0,49677000,-0.55,708857000,110502000,147285000,0.0,35491000.0,-66558000.0,227724000.0,159973000,142790000.0,-51666000,4463000.0,146629000,11009000.0,5359000.0,14918000,-60644000,-5362000.0,656761000,22092000.0,-10580000.0,19355000.0,735510000,-60644000,-5914000.0,25448000,52096000.0,0.0,-60431000,184033000.0,66000.0,370954000,86025000.0,468766000,58131000,173292000.0,-967610000,228164000,124482000,-5914000.0,48135000.0,26653000,184033000.0,847156000,-60644000,4408000,111646000,110502000,14918000,,,
2014-12-31,0.0,17501000.0,,297190000.0,,257780000,-0.33,-82848000,9404000.0,1743000.0,-391883000.0,3903000.0,118000.0,31383000.0,115332000,88958000,19876000,6290000.0,6285000,-27590000,-451981000.0,-32182000,0.0,39747000.0,60737000,-0.33,810713000,117691000,214161000,0.0,-16975000.0,-54391000.0,59588000.0,142998000,127797000.0,-47730000,15548000.0,155011000,17984000.0,10378000.0,20140000,-38984000,-11104000.0,728832000,30451000.0,7199000.0,22209000.0,836597000,-38984000,-12835000.0,30254000,81881000.0,1463000.0,-66053000,241751000.0,4824000.0,582697000,5212000.0,698029000,-4819000,0.0,-1006594000,454900000,159973000,-15407000.0,54595000.0,25884000,241751000.0,955809000,-38984000,2882000,119212000,117691000,20140000,,,
2015-12-31,,31754000.0,,419636000.0,,200790000,-0.74,-60052000,10238000.0,-609000.0,-493467000.0,11356000.0,120000.0,59314000.0,148876000,90233000,19316000,6899000.0,21125000,-38589000,-9058000.0,-40936000,0.0,-13565000.0,81554000,-0.74,803975000,119719000,283703000,0.0,-14201000.0,-87906000.0,24726000.0,128797000,134306000.0,-75762000,24588000.0,162939000,28355000.0,,37173000,-88278000,-11748000.0,128797000,28105000.0,-7453000.0,36732000.0,837003000,-88278000,,28869000,675178000.0,396000.0,-72706000,322292000.0,9211000.0,606439000,20571000.0,755315000,9377000,0.0,-1094872000,399916000,142998000,372000.0,67322000.0,14773000,322292000.0,956105000,-88278000,9029000,119102000,119719000,37173000,,,
2016-12-31,,34105000.0,,364572000.0,,99565000,-0.72,56599000,9033000.0,-590000.0,-300912000.0,108043000.0,122000.0,72108000.0,133784000,92845000,20365000,7489000.0,-112105000,2300000,-7066000.0,-35794000,0.0,-30358000.0,82504000,-0.72,667637000,120933000,346620000,0.0,-44112000.0,-83622000.0,11394000.0,84685000,91198000.0,-46316000,1489000.0,172920000,21120000.0,,48616000,-86556000,-11528000.0,84685000,36013000.0,-96687000.0,38795000.0,797932000,-86556000,0.0,21690000,582952000.0,1861000.0,-80075000,344320000.0,-10677000.0,679118000,-151535000.0,812902000,-123633000,12599000.0,-1181428000,515561000,128797000,2934000.0,51280000.0,14763000,344320000.0,912467000,-86556000,1185000,114535000,120933000,48616000,,,
2017-12-31,,39497000.0,,557369000.0,,330872000,0.08,-358291000,8349000.0,-2493000.0,-880310000.0,62955000.0,125000.0,85975000.0,224741000,121907000,22004000,9982000.0,174149000,133022000,-3599000.0,29825000,0.0,-31759000.0,118276000,0.08,1022715000,126098000,507666000,,44945000.0,-23276000.0,229087000.0,129630000,72708000.0,24534000,-3058000.0,209583000,24886000.0,,108488000,-17296000,-37857000.0,129630000,66618000.0,45088000.0,44752000.0,1167984000,9661000,,32133000,893085000.0,-2037000.0,-87676000,374644000.0,1784000.0,678564000,43557000.0,903305000,136292000,255106000.0,-1187398000,605856000,84685000,-5980000.0,106465000.0,72332000,374644000.0,1322024000,-5970000,1621000,154040000,124016000,108488000,,,
2018-12-31,,36185000.0,,882824000.0,,1048079000,2.09,-929563000,12528000.0,1400000.0,-1794735000.0,12759000.0,138000.0,131312000.0,280294000,132160000,24032000,8582000.0,602888000,183250000,0.0,-18839000,,-32016000.0,120038000,2.07,2084072000,134056000,599674000,,149190000.0,-76156000.0,475865000.0,278820000,567359000.0,-61372000,30005000.0,193634000,28660000.0,,244622000,214985000,-17652000.0,278820000,48361000.0,,44789000.0,2207886000,276868000,-290516000.0,327738000,1805252000.0,,-61474000,414604000.0,-655000.0,1200330000,499407000.0,1480624000,585236000,475865000.0,-967293000,632971000,129630000,-291141000.0,160256000.0,102473000,416424000.0,2667784000,273741000,13749000,459898000,132320000,244622000,,,
