date,annualCurrentDeferredRevenue,annualEndCashPosition,annualCurrentDebt,annualTotalRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualOperatingIncome,annualNetOtherFinancingCharges,annualFreeCashFlow,annualAccountsPayable,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualDilutedEPS,annualDilutedAverageShares,annualCashAndCashEquivalents,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,annualCashDividendsPaid,annualAccountsReceivable,annualCurrentAssets,annualLongTermDebt,annualNetIncome,annualBeginningCashPosition,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualBasicAverageShares,annualStockholdersEquity,annualOtherNonCashItems,annualRetainedEarnings,annualCurrentAccruedExpenses,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,annualCapitalStock,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherIncomeExpense,annualCurrentLiabilities,annualStockBasedCompensation,annualNetPPE,annualOperatingCashFlow,annualInventory,annualOtherIntangibleAssets,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualPretaxIncome,annualGrossPPE,annualGoodwill,annualAccumulatedDepreciation,annualIncomeTaxPayable,annualDeferredIncomeTax,annualRepaymentOfDebt,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualBasicEPS,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualPurchaseOfInvestment,annualOtherShortTermInvestments
1989-12-31,,0,37400000.0,890800000,429100000,18500000.0,166800000,100000.0,-10900000,40300000.0,5400000.0,25400000,,-63000000.0,104700000,,,294900000,1.7,61588235,5100000,204900000,-1800000.0,-42700000.0,,564600000,7700000,104700000,16900000,0,,273000000.0,104700000,61588235,572700000,-200000.0,526400000,,777600000,60800000,21900000.0,,213000000,461700000,1900000,179500000,,195000000,61200000,137100000,18000000.0,188700000,11000000.0,,6700000,2400000.0,5100000,3300000,,165500000,317800000,,-122800000,,-2200000.0,,-72100000.0,-11800000.0,1.7,-700000.0,101800000,-72300000,,,,,
1990-12-31,,0,76900000.0,931500000,438000000,26900000.0,109800000,-100000.0,-5300000,37100000.0,4300000.0,34700000,,-76000000.0,100800000,,,383700000,1.63,61840491,6600000,271500000,1400000.0,-44500000.0,,675000000,7300000,100800000,5100000,100000,,359300000.0,100800000,61840491,636400000,100000.0,582700000,,907900000,59100000,24400000.0,,232900000,493500000,56800000,236800000,,210400000,39100000,182100000,22400000.0,134200000,12100000.0,,15300000,-45000000.0,6600000,6800000,,159900000,347200000,,-136800000,,-5600000.0,,-44400000.0,1500000.0,1.63,-1200000.0,122800000,-36400000,,,,,
1991-12-31,,0,,881600000,418300000,34000000.0,123900000,0.0,108600000,32200000.0,10600000.0,86000000,,41000000.0,73200000,,,339400000,1.17,62564103,10900000,262700000,1400000.0,-45100000.0,,666600000,7200000,73200000,6600000,0,,313800000.0,73200000,62564103,652700000,,571900000,,915400000,45300000,25600000.0,,248800000,463300000,-100000,176700000,,206500000,132000000,160100000,42300000.0,149500000,,,78800000,27300000.0,10900000,5300000,,118500000,361900000,,-155400000,,-7100000.0,,-23400000.0,4300000.0,1.17,-111400000.0,144500000,-16200000,,,,,
1992-12-31,,0,66900000.0,983800000,444900000,49200000.0,115700000,-100000.0,78800000,45000000.0,4900000.0,190600000,,10700000.0,66000000,,,423200000,1.04,63461538,59000000,512700000,-114300000.0,-45700000.0,,837600000,93100000,66000000,10900000,49200000,,393700000.0,66000000,63461538,664700000,,592200000,,1177400000,43600000,29500000.0,,339800000,538900000,-100000,322100000,,226500000,99900000,221300000,64100000.0,145200000,4900000.0,,92600000,5900000.0,59000000,6000000,,109600000,444300000,,-217800000,,-6000000.0,,-21100000.0,48000000.0,1.04,82000000.0,210200000,-132000000,,,,,
1993-12-31,,0,66300000.0,1132000000,504200000,58900000.0,146900000,0.0,-3800000,57300000.0,12200000.0,209200000,,-80000000.0,85800000,-9300000.0,,480900000,1.34,64029851,6700000,517200000,-24900000.0,-45900000.0,,854600000,99700000,85800000,59000000,53800000,,448800000.0,85800000,63555556,701700000,100000.0,632000000,,1218900000,50700000,32100000.0,,364300000,627800000,800000,308000000,,224800000,29400000,249100000,85700000.0,179000000,7400000.0,,102100000,-35000000.0,6700000,11200000,,136500000,451900000,,-227100000,,-8000000.0,,-33200000.0,-52200000.0,1.35,-34000000.0,184400000,-46800000,,,,,
1994-12-31,,0,10600000.0,1194300000,555900000,66600000.0,98400000,0.0,65400000,56700000.0,10000000.0,230600000,,-16900000.0,98300000,,,540000000,1.533333,64108696,9000000,468500000,-6500000.0,-46200000.0,,873000000,109000000,98300000,6700000,56800000,,510400000.0,98300000,64108696,766400000,200000.0,684100000,,1234900000,55400000,29600000.0,,361900000,638400000,66000000,237900000,,209100000,107200000,229000000,96000000.0,128000000,6300000.0,,115300000,32300000.0,9000000,10800000,,153700000,453600000,,-244500000,,-1100000.0,,-41800000.0,2300000.0,1.533333,-72400000.0,170600000,-31700000,,,,,
1995-12-31,,0,26200000.0,1292100000,597100000,70000000.0,125500000,0.0,141300000,75600000.0,12900000.0,274200000,,38400000.0,113300000,-100400000.0,,569500000,1.84,62030075,16200000,610300000,-45600000.0,-44100000.0,,946700000,143800000,113300000,9000000,61500000,,538000000.0,113300000,61510006,750700000,,753400000,,1361000000,66600000,31500000.0,,414300000,695000000,67700000,336100000,,220100000,172900000,250400000,132700000.0,157000000,4800000.0,,125600000,-100000.0,16200000,13300000,,179900000,468900000,,-248800000,,-10100000.0,,-31600000.0,7200000.0,1.84,-94200000.0,234300000,-71200000,,,,,
1996-12-31,,0,23300000.0,1485300000,702700000,80400000.0,156300000,-100000.0,77400000,89300000.0,14700000.0,351200000,,-41000000.0,131500000,-19200000.0,,626300000,2.16,61623377,15400000,692600000,-31900000.0,-46300000.0,,1017300000,149800000,131500000,16200000,55400000,,594500000.0,131500000,60967865,828200000,-100000.0,838500000,,1520800000,77200000,31800000.0,,503500000,782600000,65100000,341400000,,245300000,129700000,269800000,202800000.0,188100000,7000000.0,,194400000,-10500000.0,15400000,12600000,,208700000,510200000,,-264900000,,8400000.0,,-52300000.0,-900000.0,2.16,-49700000.0,228800000,-80900000,,,,,
1997-12-31,,0,24000000.0,1672200000,790000000,83200000.0,193600000,-100000.0,76500000,91600000.0,16800000.0,396800000,,-5800000.0,150400000,-36800000.0,,688600000,2.44,61686308,25700000,749300000,0.0,-49900000.0,,1021700000,151000000,150400000,15400000,55700000,,650200000.0,150400000,60845467,892100000,,939000000,,1641400000,88300000,38400000.0,,619700000,882200000,62700000,352500000,,265800000,194900000,373200000,298200000.0,232000000,11800000.0,,234000000,-87500000.0,25700000,17700000,,238700000,529500000,,-263700000,,11800000.0,,-118400000.0,10300000.0,2.47,-67200000.0,236900000,-116200000,,,,,
1998-12-31,,15000000,93100000.0,1772600000,964400000,134700000.0,57400000,0.0,-51300000,89400000.0,12400000.0,454500000,,-78500000.0,-4800000,-86700000.0,,750800000,-0.08,59219564,15000000,912600000,0.0,-51000000.0,,1079800000,246600000,-4800000,25700000,60200000,,705800000.0,-4800000,59219564,762300000,-100000.0,883200000,,1674900000,15600000,45000000.0,,595100000,808200000,-114700000,458100000,,272000000,75000000,375400000,262900000.0,102400000,9600000.0,,198300000,-28900000.0,15000000,21300000,,10800000,583800000,,-311800000,,13100000.0,,-126300000.0,-10600000.0,-0.08,23600000.0,275600000,-109600000,,,,,
1999-12-31,,17600000,22300000.0,1945600000,994100000,116300000.0,172400000,100000.0,-240400000,146400000.0,8600000.0,871800000,,19100000.0,127200000,-14600000.0,-35800000.0,779100000,2.16,58877000,17600000,1324500000,-100000.0,-52700000.0,,1206300000,607500000,127200000,15000000,54700000,,723700000.0,127200000,58494000,825300000,,957800000,,2149800000,70700000,55400000.0,66700000.0,943500000,951500000,-28300000,452700000,,362600000,235600000,454800000,526200000.0,227800000,27000000.0,,237300000,-5700000.0,17600000,27400000,,197900000,688800000,,-326200000,,16300000.0,,-476000000.0,2600000.0,2.18,215600000.0,284000000,-448300000,,,,,
2000-12-31,,6100000,70300000.0,2175700000,1178900000,116900000.0,204200000,0.0,132600000,161000000.0,7100000.0,668400000,,-21500000.0,123100000,-30600000.0,-87200000.0,792600000,2.53,58600000,6100000,1206400000,0.0,-55000000.0,644500000.0,1186400000,473000000,148500000,17600000,94300000,,792600000.0,148500000,58400000,844000000,,1051300000,,2050400000,69500000,66200000.0,66800000.0,864000000,996800000,-21300000,538000000,,345100000,190200000,418900000,424600000.0,270400000,24700000.0,,170700000,9000000.0,6100000,40700000,,192600000,706300000,,-361200000,,9700000.0,,-57600000.0,-11500000.0,2.54,-158100000.0,306700000,-42300000,,,,,
2001-12-31,45000000.0,6700000,29100000.0,2095700000,1146700000,0.0,100300000,0.0,110100000,141200000.0,13000000.0,649100000,,24800000.0,21500000,-11200000.0,-120600000.0,848700000,0.33,58100000,6700000,1198500000,0.0,-55600000.0,615200000.0,1139400000,445500000,19000000,6100000,87600000,,848700000.0,19000000,57900000,775800000,,1014700000,292100000.0,1974300000,26100000,68000000.0,66800000.0,834900000,949000000,-102300000,549400000,,327700000,163700000,375200000,60700000.0,168300000,24700000.0,,178900000,18900000.0,6700000,35500000,,47600000,720200000,331200000.0,-392500000,,5400000.0,,-53600000.0,600000.0,0.33,-114900000.0,42000000,-47600000,,,,,
2002-12-31,42500000.0,18400000,56400000.0,2109100000,1144200000,0.0,203400000,0.0,178300000,170900000.0,20500000.0,611300000,,39100000.0,103200000,-12200000.0,-123800000.0,761500000,1.81,58500000,18400000,1163700000,0.0,-56500000.0,556200000.0,1051000000,304300000,106000000,6700000,119900000,,799200000.0,106000000,58200000,830400000,,1064200000,206700000.0,1994100000,58000000,51700000.0,66900000.0,943100000,964900000,-13500000,552400000,,330200000,224100000,369900000,432100000.0,255100000,33600000.0,,273400000,25800000.0,18400000,28700000,,161200000,768500000,,-438300000,,33500000.0,,-45800000.0,11700000.0,1.82,-166100000.0,75900000,-47700000,,,,,
2003-12-31,20600000.0,96100000,30200000.0,2233200000,1268500000,0.0,150100000,5100000.0,147600000,189700000.0,10000000.0,560400000,,26300000.0,78700000,-12500000.0,-120600000.0,814600000,1.35,58400000,96100000,1127600000,0.0,-58200000.0,546800000.0,1131700000,303000000,78700000,18400000,175000000,,858400000.0,78700000,58200000,1010900000,,1084700000,,2138500000,38000000,60300000.0,67000000.0,1006800000,964700000,-9000000,567200000,,328600000,177000000,351100000,487100000.0,210400000,34300000.0,,223100000,60700000.0,96100000,24400000,,116700000,825100000,,-496500000,,9900000.0,,-29400000.0,77700000.0,1.35,-84800000.0,326700000,-20600000,,,,,
2004-12-31,26200000.0,150000000,127800000.0,2407200000,1319800000,0.0,142300000,0.0,108100000,194900000.0,23600000.0,505200000,,-16200000.0,81700000,-38200000.0,-17900000.0,945100000,1.4,58300000,150000000,1179400000,0.0,-57700000.0,542000000.0,1192600000,203200000,81700000,96100000,263400000,,945100000.0,81700000,57900000,1110700000,,1108700000,256500000.0,2290100000,38700000,61000000.0,67000000.0,1097500000,1087400000,1100000,674200000,,313600000,146800000,341900000,511100000.0,203300000,76500000.0,,225500000,23700000.0,150000000,23000000,,120400000,827600000,,-514000000,,21600000.0,,-38700000.0,53900000.0,1.41,-75700000.0,68800000,-20800000,,,,,
2005-12-31,26600000.0,170400000,24800000.0,2362200000,1288700000,0.0,168000000,0.0,181000000,135400000.0,31100000.0,540100000,,62600000.0,92900000,-32100000.0,-176900000.0,905500000,1.59,58400000,170400000,1046200000,300000.0,-57800000.0,485900000.0,1072900000,201700000,92900000,150000000,119900000,,905500000.0,92900000,57800000,962200000,,1143800000,241800000.0,2008400000,55100000,52200000.0,67000000.0,935500000,1073500000,1700000,506100000,,295500000,221100000,283200000,462300000.0,220200000,75300000.0,,263100000,39500000.0,170400000,21700000,,148000000,808700000,,-513200000,,14600000.0,,-40100000.0,20400000.0,1.61,-161600000.0,77500000,-30900000,,,,,
2006-12-31,25300000.0,63400000,43600000.0,2522400000,1423500000,0.0,164900000,10900000.0,152900000,178800000.0,89500000.0,896200000,,52900000.0,100100000,-109800000.0,1800000.0,934000000,1.69,59200000,63400000,1578200000,0.0,-63600000.0,559200000.0,1113200000,505600000,100100000,170400000,155000000,,934000000.0,100100000,58300000,1076300000,5700000.0,1180300000,131800000.0,2654500000,45800000,51900000.0,67100000.0,1541300000,1098900000,1600000,682000000,,297100000,203400000,323000000,257800000.0,216800000,88900000.0,,301700000,-22200000.0,63400000,20600000,,145900000,801900000,776100000.0,-504800000,,-7300000.0,,-50500000.0,-107000000.0,1.72,233000000.0,302500000,-546200000,,,,,
2007-12-31,25900000.0,93000000,15900000.0,2841200000,1574600000,0.0,324800000,5200000.0,169200000,171600000.0,39200000.0,845800000,,-44100000.0,189200000,-94400000.0,142800000.0,941800000,3.09,58600000,93000000,1485000000,-1400000.0,-64800000.0,586900000.0,1187400000,502000000,181200000,63400000,197300000,,964200000.0,181200000,57900000,1280100000,13000000.0,1296700000,349300000.0,2765100000,92500000,75700000.0,67100000.0,1577700000,1266600000,30300000,639200000,,304800000,231100000,322400000,234800000.0,400500000,91200000.0,,252600000,15200000.0,93000000,46100000,,284200000,791900000,818800000.0,-487100000,,12300000.0,,-61900000.0,29600000.0,3.13,-151400000.0,76500000,-52900000,,,,,
2008-12-31,22300000.0,115800000,12000000.0,2853300000,1568700000,0.0,351500000,4700000.0,141100000,126000000.0,,976300000,-43700000.0,-146500000.0,236700000,-69800000.0,-106500000.0,933100000,4.07,58100000,115800000,1523800000,-8600000.0,-69700000.0,522100000.0,1140700000,503400000,236700000,93000000,142800000,,933100000.0,236700000,57500000,1186500000,7300000.0,1463700000,324900000.0,2710300000,117800000,72000000.0,67200000.0,1569600000,1284600000,2800000,547500000,13000000.0,327800000,215000000,359200000,218300000.0,391600000,95000000.0,-14100000.0,111300000,-52300000.0,115800000,33800000,,357800000,804500000,801800000.0,-476700000,15400000.0,46300000.0,-9900000.0,-73900000.0,22800000.0,4.12,-103000000.0,46900000,-86100000,,,,,
2009-12-31,,699400000,164700000.0,2362500000,1304900000,0.0,233200000,-7500000.0,282700000,119800000.0,,1401900000,-7100000.0,120400000.0,143700000,0.0,-68400000.0,824400000,2.32,57900000,699400000,2141800000,-170500000.0,-69000000.0,414400000.0,1676100000,902100000,134200000,115800000,66200000,,824400000.0,134200000,57700000,1290000000,-3000000.0,1528900000,414900000.0,3447400000,62700000,74600000.0,67300000.0,1771300000,1057600000,2300000,739900000,-3000000.0,347800000,347100000,274700000,206200000.0,253000000,97800000.0,-8100000.0,85400000,98400000.0,699400000,47700000,52400000.0,205300000,894700000,814300000.0,-546900000,,4800000.0,,-64400000.0,583600000.0,2.33,475600000.0,40500000,-241700000,,,,,
2010-12-31,18600000.0,572200000,216000000.0,2681500000,1456000000,0.0,331400000,-6400000.0,89300000,146100000.0,,1443900000,26200000.0,-154900000.0,193000000,-8700000.0,-104800000.0,894100000,3.19,58400000,572200000,2325000000,-252100000.0,-71300000.0,443300000.0,1765500000,954800000,186500000,699400000,72200000,,894100000.0,186500000,58000000,1388500000,34400000.0,1644100000,478600000.0,3729400000,87600000,72700000.0,67300000.0,1963900000,1225500000,800000,881100000,14900000.0,344000000,140400000,329400000,192800000.0,404900000,94400000.0,-7700000.0,89000000,-55200000.0,572200000,54800000,-56500000.0,277400000,903300000,798400000.0,-559300000,,-18000000.0,-172000000.0,-51100000.0,-127200000.0,3.22,34800000.0,40400000,-303000000,,,,,
2011-12-31,24900000.0,185600000,16200000.0,2854200000,1516300000,0.0,384200000,-5900000.0,67300000,124600000.0,,1541800000,-21500000.0,-278600000.0,283800000,-37400000.0,-174600000.0,953700000,4.71,58700000,185600000,2125600000,-162100000.0,-76700000.0,463500000.0,1530700000,967900000,276300000,572200000,83100000,,953700000.0,276300000,58200000,1530900000,17500000.0,1843700000,304700000.0,3672900000,133700000,74600000.0,67300000.0,2142200000,1337900000,17000000,583800000,20300000.0,352900000,128500000,386400000,188300000.0,600100000,108100000.0,0.0,95300000,-60900000.0,185600000,112600000,-36800000.0,412900000,927000000,795800000.0,-574100000,,5100000.0,-219100000.0,-61200000.0,-386600000.0,4.75,-293700000.0,47300000,-219600000,,,,,
2012-12-31,24800000.0,214500000,5200000.0,3099200000,1602500000,0.0,516400000,-3000000.0,249900000,142500000.0,46800000.0,1494100000,16600000.0,-145600000.0,314600000,-78100000.0,-124200000.0,980300000,5.2,58900000,214500000,2083300000,-123300000.0,-81500000.0,883700000.0,1669000000,970400000,306100000,185600000,64100000,27000000.0,980300000.0,306100000,58200000,1802100000,23900000.0,2067000000,298500000.0,3902300000,148200000,76700000.0,67400000.0,2233300000,1496700000,-400000,589200000,32100000.0,375200000,329300000,404200000,187200000.0,592700000,127100000.0,0.0,87500000,-13400000.0,214500000,55800000,-84500000.0,460200000,990200000,807400000.0,-615000000,19600000.0,29300000.0,-30300000.0,-79400000.0,28900000.0,5.26,-127000000.0,54700000,-173100000,,,,,
2013-12-31,26600000.0,217600000,113100000.0,3237500000,1638900000,0.0,586200000,-1400000.0,322000000,155600000.0,29200000.0,1264200000,8400000.0,-112800000.0,359700000,-82600000.0,-44800000.0,1012400000,5.93,59100000,217600000,1979600000,-150000000.0,-92000000.0,974600000.0,1796200000,858900000,350300000,214500000,57200000,0.0,1012400000.0,350300000,58200000,2113200000,28700000.0,2324100000,291800000.0,4110000000,166700000,76700000.0,67400000.0,2313800000,1598600000,-3900000,715400000,38500000.0,392500000,392600000,434400000,190500000.0,659000000,143800000.0,-38200000.0,84000000,-32000000.0,217600000,56100000,-75700000.0,526200000,1037000000,838800000.0,-644500000,7700000.0,9500000.0,-2400000.0,-70600000.0,3100000.0,6.02,-137800000.0,59400000,-250400000,,,,,
2014-12-31,34100000.0,132900000,56600000.0,3492600000,1759200000,0.0,684700000,2000000.0,317300000,145000000.0,33000000.0,1366100000,-7000000.0,-183200000.0,432100000,-79300000.0,-248200000.0,1048700000,7.14,59100000,132900000,2084800000,-152100000.0,-107600000.0,1027700000.0,1858600000,862700000,421900000,217600000,47300000,0.0,1048700000.0,421900000,58100000,2207800000,400000.0,2637200000,352100000.0,4310100000,199500000,79500000.0,67400000.0,2451500000,1733400000,-900000,718700000,38100000.0,404500000,397900000,475500000,203300000.0,763300000,159200000.0,-41300000.0,83800000,-61100000.0,132900000,52900000,-94900000.0,630900000,1063100000,810700000.0,-658600000,15200000.0,3200000.0,-101600000.0,-80600000.0,-84700000.0,7.26,-206900000.0,65800000,-273200000,,,,,
2015-12-31,40700000.0,92800000,18400000.0,3593100000,1774600000,0.0,764800000,4700000.0,416100000,148300000.0,41600000.0,1385700000,4700000.0,-136100000.0,490600000,-110400000.0,-364200000.0,1053700000,8.1,59100000,92800000,2056200000,-217700000.0,-127900000.0,1091900000.0,1898700000,861700000,478700000,132900000,44000000,,1053700000.0,478700000,58100000,2412700000,21500000.0,2986900000,348400000.0,4486900000,221200000,82500000.0,67400000.0,2588200000,1818500000,-2400000,670500000,39800000.0,413500000,496500000,497800000,195000000.0,844900000,169800000.0,-11800000.0,88500000,-43300000.0,92800000,51900000,-79300000.0,710500000,1097900000,790100000.0,-684400000,28500000.0,-5100000.0,-6300000.0,-80400000.0,-40100000.0,8.24,-226000000.0,64400000,-306400000,,,,,
2016-12-31,43000000.0,77600000,301400000.0,3711800000,1803500000,0.0,854200000,-15300000.0,493000000,170900000.0,41800000.0,1098500000,16300000.0,-161900000.0,559600000,-120400000.0,-498500000.0,1054100000,9.2,59400000,77600000,2088000000,-240900000.0,-147500000.0,1159400000.0,1884000000,708800000,546400000,92800000,39900000,,1054100000.0,546400000,58100000,2617200000,31000000.0,3384900000,360700000.0,4723200000,244300000,85600000.0,67400000.0,2839200000,1908300000,-600000,989500000,31000000.0,425200000,567300000,530500000,184600000.0,939200000,13100000.0,-160400000.0,93400000,-32700000.0,77600000,52200000,-72900000.0,801400000,1138100000,895500000.0,-712900000,21400000.0,1300000.0,-5300000.0,-74300000.0,-15200000.0,9.4,-107200000.0,66700000,-473400000,,,,,
2017-12-31,38900000.0,92000000,433200000.0,4000300000,1957900000,0.0,881500000,-23400000.0,526500000,178200000.0,46200000.0,1083500000,-2200000.0,-179300000.0,572200000,-287900000.0,-329000000.0,1160900000,9.52,58600000,92000000,2276800000,-178000000.0,-169400000.0,1277800000.0,2119300000,753600000,557700000,77600000,53800000,,1160900000.0,557700000,57400000,2953900000,14900000.0,3772300000,443900000.0,5249100000,250900000,93200000.0,67400000.0,3129800000,2042400000,-7200000,1193300000,30300000.0,484400000,608500000,638800000,253700000.0,967500000,28400000.0,-82900000.0,106600000,-76000000.0,92000000,52400000,-97300000.0,821900000,1271100000,924100000.0,-786700000,41600000.0,12300000.0,-154500000.0,-82000000.0,14400000.0,9.72,-256100000.0,66500000,-341400000,,,,,
