date,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCostOfRevenue,annualTaxProvision,annualCurrentDebt,annualEndCashPosition,annualNetOtherFinancingCharges,annualOperatingIncome,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualCurrentAssets,annualLongTermDebt,annualCashDividendsPaid,annualAccountsReceivable,annualNetIncome,annualTotalAssets,annualBasicEPS,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualStockholdersEquity,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCommonStockIssuance,annualCurrentAccruedExpenses,annualRetainedEarnings,annualCapitalStock,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualGrossProfit,annualDilutedAverageShares,annualOtherIncomeExpense,annualDilutedEPS,annualOtherIntangibleAssets,annualInventory,annualCurrentLiabilities,annualNetPPE,annualTotalNonCurrentAssets,annualOperatingCashFlow,annualEbitda,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualGoodwill,annualPretaxIncome,annualInterestExpense,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualGrossPPE,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualTotalRevenue,annualCapitalExpenditure,annualPurchaseOfInvestment,annualResearchAndDevelopment,annualSaleOfInvestment,annualOtherShortTermInvestments,annualInvestmentsAndAdvances
2006-12-31,160148000,0,1074268000,93795000,63105000,45369000,4387000,407187000,148461000,3012311000,,-11925000,,3650958000,-21939000,868887000,33794000,45369000,0,128863000,53413000,679721000,2605711000,,473366000,128863000,5209521000,0.65,66680000,670074000,128863000,1553273000,12387000,213836000,22245000,266933000,373387000,1991000,82734000,,1276074000,200463000,21549000,0.64,282756000,,638647000,2015235000,4529800000,374282000,621023000,406600000,,,,,45369000,198116000,,,2165129000,224218000,194958000,-950760000,53139000,2965995000,,-8044000,0,-466714000,2350342000,-396221000,-5943000,,,,
2007-12-31,194344000,0,1260120000,69010000,33440000,125607000,631000,454718000,208672000,3737700000,,960000,,4503377000,98202000,1015197000,74061000,125607000,-16403000,153094000,45369000,822396000,3232848000,,564049000,153094000,6307921000,0.77,94869000,771375000,153094000,1795455000,19564000,254655000,21843000,329221000,509875000,2007000,457005000,,1469915000,202062000,2371000,0.76,480403000,,765677000,2335961000,5485525000,484644000,709373000,153626000,,351226000,,,125607000,199938000,,,2574292000,223024000,228593000,-1186564000,43813000,3522525000,,80238000,0,-866635000,2730035000,-386442000,,,,,
2008-12-31,182759000,0,1382019000,142924000,35751000,278370000,5087000,492530000,154614000,3820929000,,-26944000,,4550526000,135776000,1180585000,-41215000,278370000,0,82037000,125607000,976392000,3207464000,,552830000,82037000,6356854000,0.41,97675000,882364000,82037000,1802780000,69718000,295720000,16145000,356473000,591912000,2019000,87368000,,1673115000,203290000,-38511000,0.4,443729000,,729597000,2386754000,5380462000,537029000,788250000,186141000,,427324000,,,278370000,201279000,,,2452304000,224867000,242120000,-1363761000,109109000,3750515000,,152763000,0,-459594000,3055134000,-401253000,-1709000,,,,
2009-12-31,208062000,179393000,1271214000,110527000,40561000,446656000,5532000,548950000,175231000,3886874000,8311000,31239000,,4701588000,293391000,1193431000,27661000,446656000,0,222306000,278370000,1211425000,3211223000,,585376000,220877000,6846834000,1.09,532496000,874359000,220877000,2141142000,59321000,283571000,1064000,390860000,812789000,2035000,-129692000,18703000,1742381000,204271000,11673000,1.08,438812000,,814714000,2568200000,5635409000,616911000,879695000,675651000,-2033000,467067000,,,446656000,202812000,-21421000,90503000,2534713000,332833000,227790000,-1616431000,29723000,4184631000,-737141000,168286000,774153000,-324066000,3013595000,-323520000,-3114000,,,,
2010-12-31,173676000,202726000,1204454000,169469000,96603000,258693000,2252000,626949000,145089000,3588825000,-2363000,-28499000,-111563000,4446471000,352401000,1085253000,29482000,258693000,-35102000,167020000,446656000,1205802000,2912465000,-37893000,533070000,-53900000,6409733000,-0.27,29042000,777880000,-53900000,1955845000,1792000,281438000,169000,103675000,695707000,2001000,-380489000,17274000,1712202000,201991000,-83950000,-0.27,387779000,,857646000,2475827000,5203931000,625140000,850372000,86605000,-19023000,493895000,29484000,,258693000,201991000,13674000,95860000,2282137000,336489000,206510000,-1702825000,40003000,4178652000,-305246000,-187963000,205149000,-432670000,2916656000,-272739000,0,,,,
2011-12-31,197181000,148772000,1245200000,106488000,73320000,179845000,-8091000,615413000,156381000,3937972000,7069000,1141000,-984953000,4787002000,384580000,1154090000,-2203000,179845000,-5000,246412000,258693000,914450000,3280268000,-172616000,543467000,395538000,6041258000,2.03,465457000,834591000,395538000,1245688000,98929000,290638000,698000,275940000,902567000,1721000,-762670000,17250000,1769503000,195938000,-57257000,2.02,410149000,,849030000,2407083000,5126808000,615438000,934912000,657704000,-75246000,507358000,4957000,,179845000,194777000,-20799000,97177000,2254268000,352900000,207569000,-1825511000,3389000,4232594000,-2248429000,-78848000,775710000,78508000,3014703000,-230858000,-335000,,,,
2012-12-31,217133000,174865000,1277113000,114873000,92887000,243415000,-736000,561427000,168120000,4290938000,-706000,-43084000,-38052000,5195891000,163181000,1166715000,20314000,243415000,1498000,183493000,179845000,1024092000,3732116000,-318845000,572200000,171708000,6358339000,0.99,521761000,850371000,171708000,1149971000,6948000,316344000,480000,275137000,185558000,1900000,28269000,30360000,1728142000,174867000,-20462000,0.98,460023000,,904953000,2477727000,5334247000,432736000,877771000,558822000,-127464000,398549000,,,243415000,173604000,-17964000,97356000,2334759000,298366000,245017000,-1965596000,-77201000,4443323000,-3370527000,63570000,812066000,-400200000,3005255000,-269555000,-2330000,,,,
2013-12-31,228724000,112886000,1288878000,63057000,52583000,120526000,-24553000,502290000,216456000,4636070000,24168000,40866000,0,5595171000,190060000,1234755000,-8660000,120526000,-248000,99961000,243415000,933607000,4119139000,-206798000,616797000,97262000,6653005000,0.51,24525000,814842000,97262000,1047338000,7258000,322037000,,314784000,73920000,1914000,18564000,30354000,1737045000,192412000,-85098000,0.51,607654000,,959101000,2578260000,5719398000,507546000,743437000,68219000,-317100000,344468000,,,120526000,190994000,-33181000,104244000,2463352000,163018000,258382000,-2052807000,-99432000,4631067000,-6211806000,-122889000,0,-637687000,3025923000,-317486000,0,,,,
2014-12-31,197142000,97910000,1344636000,-97275000,52095000,125933000,-18676000,564551000,203014000,4843651000,16870000,-33052000,0,5700387000,76577000,1208506000,-75031000,125933000,0,328955000,120526000,917719000,4611436000,-542298000,604265000,326119000,6570342000,1.67,21177000,752189000,326119000,856355000,8009000,353143000,,298370000,-659553000,2098000,19857000,29624000,1773057000,196749000,-80461000,1.66,609859000,,856736000,2550727000,5652623000,472948000,839676000,73506000,-128093000,54658000,,,125933000,195278000,113000,104051000,2423783000,223373000,263160000,-2117978000,-270790000,4668705000,-9391063000,5407000,0,-479978000,3117693000,-396371000,0,,,,
2015-12-31,183112000,0,1290025000,37713000,88068000,128381000,-8260000,542853000,219590000,4980149000,18017000,-43405000,,5821980000,196400000,1175098000,-174917000,128381000,33860000,125203000,125933000,857912000,4757610000,-406508000,564401000,123241000,6350587000,0.58,28439000,730002000,123241000,508841000,9249000,345464000,,256131000,-942218000,2113000,-108511000,27585000,1717951000,212118000,-116916000,0.58,606100000,,841831000,2497158000,5492675000,541760000,775385000,71844000,-113558000,55002000,,,128381000,210764000,17984000,95693000,2360978000,162066000,267855000,-2247078000,-7473000,4744236000,-11611601000,2448000,0,-422786000,3007976000,-345360000,-22500000,,,,
2016-12-31,201128000,161563000,1567777000,44944000,172975000,236484000,-19069000,631704000,222197000,6503572000,-50712000,-60813000,,7550129000,164526000,1311972000,-212573000,236484000,-19205000,103880000,128381000,1112107000,6078206000,-505871000,691249000,104824000,9486800000,0.43,117024000,742723000,104824000,1936547000,25368000,452326000,,380140000,-1343311000,2636000,125373000,28976000,1943676000,247267000,-174398000,0.42,1269322000,,1046557000,3083326000,8374693000,543895000,917190000,99540000,-291965000,151295000,,,236484000,246178000,-23206000,119834000,3905021000,146644000,318220000,-2452457000,-50368000,5535783000,-14851440000,108103000,0,-535991000,3511453000,-379369000,,,,,
2017-12-31,241590000,0,1685318000,25947000,146300000,925699000,-5714000,732153000,289137000,7343387000,34898000,-101951000,,8673560000,302652000,1428107000,-103989000,925699000,,191723000,236484000,1950315000,6896971000,-439999000,835742000,183821000,10972402000,0.69,123393000,773621000,183821000,2297438000,26215000,522376000,575591000,409038000,-1765966000,2831000,540425000,30019000,2160260000,266845000,-162473000,0.69,1410748000,,1330173000,3417679000,9022087000,720968000,1099715000,73039000,-219705000,155728000,,,925699000,265898000,-89653000,126231000,4070267000,216105000,361234000,-2833421000,-36370000,6251100000,-16176551000,689215000,0,-599448000,3845578000,-418316000,,,,,
2018-12-31,264823000,,1801582000,36263000,126406000,165485000,-18928000,807352000,318765000,8503980000,,-50287000,,9966658000,403008000,1616827000,-265664000,165485000,-26208000,376976000,925699000,1208114000,8016417000,-673635000,846889000,363351000,11852247000,1.27,207024000,823712000,363351000,1884180000,31956000,639514000,84908000,398878000,-2116367000,2863000,550678000,31167000,2424179000,286653000,-40152000,1.27,1506522000,,1462678000,4489557000,10644133000,935549000,1413267000,111331000,-1758557000,183836000,,,165485000,285913000,,121864000,4441030000,357911000,415842000,-3111392000,-10729000,7600949000,-14192139000,-760214000,,-2221878000,4225761000,-532541000,,,,,
2019-12-31,274036000,192083000,1833315000,59931000,389013000,193555000,-7677000,798793000,324708000,10403080000,,8756000,,12352589000,218196000,1630476000,-262581000,193555000,-76171000,268211000,165485000,1236339000,8275566000,-704526000,850701000,267377000,13816816000,,208459000,809669000,267377000,1463962000,30443000,658201000,0,380468000,-2574896000,2873000,-198973000,35654000,2429269000,,-51353000,,1394671000,,1949509000,6492138000,12580477000,966655000,1412200000,1871704000,-77459000,188128000,,,,,,,4485209000,328142000,425857000,-3425869000,-624000,9918007000,-14535115000,28070000,,-730885000,4262584000,-748459000,,,,,
