date,annualRetainedEarnings,annualBasicAverageShares,annualGoodwill,annualTotalAssets,annualNetOtherInvestingChanges,annualAccountsReceivable,annualCashDividendsPaid,annualPretaxIncome,annualPurchaseOfInvestment,annualNetIncome,annualFreeCashFlow,annualAccountsPayable,annualInvestingCashFlow,annualLongTermDebt,annualStockholdersEquity,annualOtherCurrentAssets,annualBasicEPS,annualOtherNonCashItems,annualEndCashPosition,annualOperatingIncome,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualTaxProvision,annualDilutedAverageShares,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualSaleOfInvestment,annualOperatingCashFlow,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualEbitda,annualRepurchaseOfCapitalStock,annualDilutedEPS,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualBeginningCashPosition,annualInterestExpense,annualOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,annualCapitalStock,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualInvestmentsAndAdvances,annualChangeInInventory,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable
1996-12-31,494700000,134686047,,2028500000,-18900000.0,,-21800000.0,203700000,,129100000,41800000,60500000.0,-241800000,625900000,1028100000,6200000,0.955556,9400000.0,0,223300000,,144100000,74600000,135315421,8400000,132000000.0,237900000,532400000.0,8400000,10100000.0,,1149000000,,264700000,,856300000,109200000,355300000,,0.951111,-100000.0,1685700000,128700000,63700000,,8500000,44700000,230400000,,31700000,1919300000,-222900000.0,300000.0,,-23000000.0,8200000.0,,,129100000,394400000,749700000,19900000,10000000.0,355300000,,132000000,1000400000,-536700000,7900000.0,6300000.0,,,,,,,
1997-12-31,728000000,134947183,,4709400000,-1524600000.0,,-22700000.0,408400000,,256000000,116100000,83400000.0,-1503100000,2609500000,1300300000,8200000,1.893333,-100000.0,0,267700000,,322000000,152400000,136875000,26000000,159500000.0,399900000,1767400000.0,26000000,14200000.0,,2258600000,,297300000,,3087100000,283500000,427200000,,1.866667,17600000.0,3845500000,255500000,183400000,,8400000,56500000,477600000,,202500000,4425900000,-181200000.0,-1400000.0,,1223400000.0,22000000.0,,,256000000,474300000,901500000,55200000,8100000.0,427200000,,159500000,3409100000,-1586900000,16200000.0,57600000.0,,,,,,,
1998-12-31,932600000,136766467,,4935500000,28600000.0,,-24200000.0,387500000,,228800000,-68700000,87600000.0,-375600000,2558000000,1531500000,11400000,1.67,15100000.0,0,402000000,,304800000,158700000,139268293,5700000,328600000.0,401100000,1956700000.0,5700000,15000000.0,,2351500000,,467800000,,3099200000,226200000,730600000,,1.64,-20300000.0,4289700000,228400000,164200000,,26000000,167600000,541200000,,165800000,4709300000,-536500000.0,-45900000.0,,-112400000.0,23700000.0,,,228800000,768700000,1499300000,53000000,8100000.0,730600000,,328600000,3404000000,-1938200000,17700000.0,-52400000.0,,,,,,,
1999-12-31,1147000000,138848000,,4705400000,-3700000.0,,-25400000.0,429300000,,239800000,-2300000,78500000.0,69800000,2078300000,1848000000,7700000,1.72,100000.0,56600000,508100000,,309200000,189500000,141432000,56600000,348800000.0,517900000,1644900000.0,56600000,19200000.0,59700000.0,2256500000,,408700000,,2548200000,286100000,856900000,,1.7,50900000.0,4194700000,239800000,168600000,,5700000,150600000,469900000,,99700000,4419300000,-411000000.0,1500000.0,,-427600000.0,28800000.0,,,239800000,819800000,1676700000,62100000,147900000.0,856900000,,348800000,2857400000,-1938200000,-17100000.0,-100300000.0,,,,,,,
2000-12-31,1351626000,140069000,,6393290000,46822000.0,307165000.0,-26815000.0,386185000,,231474000,112929000,127287000.0,-1914076000,3050292000,2032079000,11768000,1.65,-30545000.0,19039000,525413000,,743370000,154711000,141864000,19039000,388056000.0,548460000,2509033000.0,19039000,7996000.0,21971000.0,2959293000,,562466000,,3617841000,376504000,913469000,,1.63,-37601000.0,5914516000,231474000,190121000,,56640000,183302000,567549000,,54275000,6016786000,-449537000.0,-7129000.0,,1314009000.0,38532000.0,,,231474000,932457000,1845926000,425962000,148642000.0,913469000,,388056000,4361211000,-2955223000,41820000.0,-30961000.0,,,,,,,
2001-12-31,1666004000,140743000,2471484000.0,6318684000,111947000.0,147259000.0,-28653000.0,553056000,,343031000,158635000,87439000.0,-275666000,2087500000,2337380000,12578000,2.43,-28906000.0,13362000,557919000,157969000.0,1293956000,210025000,142307000,13362000,473384000.0,547364000,,13362000,7351000.0,-2500000.0,2999563000,,665362000,,2687348000,300273000,1031303000,,2.41,-5677000.0,6308010000,343031000,39714000,,19039000,225523000,599848000,,232472000,6018411000,-506727000.0,1549000.0,,-395373000.0,20239000.0,,,343031000,1086166000,2117469000,1008834000,149208000.0,1031303000,,473384000,3981304000,-3308447000,56645000.0,36827000.0,,,,,,,
2002-12-31,2437472000,141613000,3427281000.0,7770408000,2766000.0,161319000.0,-30156000.0,293456000,,801624000,409135000,64825000.0,-2628527000,3578132000,3088004000,9099000,5.66,58181000.0,3661000,575406000,210658000.0,388104000,103537000,142879000,3661000,411626000.0,11805000,503775000.0,3661000,29125000.0,-38203000.0,3531645000,,795402000,,4294300000,295902000,987032000,,5.61,165000.0,6869192000,801624000,41884000,,3496000,221845000,716168000,11275000.0,-60105000,7474506000,-386267000.0,-24000000.0,,506341000.0,10150000.0,,,189919000,973689000,1971996000,70737000,150931000.0,998307000,,422901000,4682404000,-3337547000,71112000.0,68273000.0,,,,,,,
2003-12-31,2750162000,143583000,,7895852000,-456000.0,236187000.0,-32017000.0,531959000,,344707000,690025000,113274000.0,-464638000,3109302000,3478516000,14342000,2.4,-7386000.0,203181000,750396000,241044000.0,471383000,187252000,144700000,203181000,470641000.0,552431000,3425001000.0,203181000,33980000.0,-500000.0,3455481000,,1067964000,,3945953000,462939000,1221037000,,2.38,199520000.0,7184155000,344308000,44612000,,3661000,226751000,836651000,,8314000,7432913000,-377939000.0,4174000.0,,-403806000.0,9229000.0,,,344707000,1159708000,2380745000,72453000,152339000.0,1221037000,,470641000,4417336000,-3728674000,128706000.0,137456000.0,,,,,,,
2004-12-31,3055545000,137215000,,7796953000,-995000.0,232580000.0,-31861000.0,547372000,-25000000.0,337244000,570515000,141618000.0,-413311000,2762019000,3409765000,14691000,2.45,3034000.0,167215000,753953000,249523000.0,691618000,210128000,142144000,167215000,500904000.0,601841000,3433864000.0,167215000,29485000.0,-8334000.0,3341401000,,955831000,,3695570000,419847000,1254857000,-401013000.0,2.41,-35966000.0,7431017000,336845000,50860000,,203181000,211051000,933551000,397102000.0,4470000,7377106000,-385316000.0,4296000.0,,-578486000.0,5361000.0,,,337244000,755413000,2407372000,249617000,140349000.0,1651959000,,898006000,4387188000,-4089616000,74374000.0,47342000.0,,,,,,,
2005-12-31,3358162000,130841000,,7762707000,8933000.0,236714000.0,-31862000.0,736403000,,334479000,549867000,104444000.0,-481392000,2376070000,3617273000,20458000,2.55,18910000.0,158846000,736403000,316133000.0,746230000,203291000,136087000,158846000,531934000.0,602556000,3432649000.0,158846000,448538000.0,-9619000.0,3304486000,,964739000,,3399204000,423016000,1268337000,-551759000.0,2.49,-8369000.0,7801377000,334083000,48917000,,167215000,201801000,1023134000,388989000.0,3168000,7339691000,-414872000.0,-7461000.0,,-491716000.0,6998000.0,,,334479000,821929000,2479252000,276736000,138924000.0,1657323000,,920920000,4145434000,-4496891000,69530000.0,14796000.0,,,,,,,
2006-12-31,3150933000,116671000,3431136000.0,7441007000,119697000.0,227346000.0,-29203000.0,591149000,-5222000.0,370027000,526648000,129350000.0,-193731000,2412852000,3190951000,30475000,3.17,-6071000.0,25668000,665538000,235237000.0,617565000,221122000,122229000,25668000,523506000.0,610477000,,25668000,97803000.0,-104942000.0,3109277000,,840719000,,3623265000,290117000,1189044000,-802188000.0,3.07,-133178000.0,7893760000,369647000,23352000,,158846000,195957000,537352000,370272000.0,121568000,7150890000,-314071000.0,12417000.0,,-780166000.0,6628000.0,51614000.0,,370027000,888414000,2447730000,178012000,120704000.0,1559316000,673061000.0,893778000,4240830000,-4784483000,49685000.0,-6651000.0,,,,,,,
2007-12-31,3245302000,109360000,4010916000.0,8184553000,8098000.0,223027000.0,-29052000.0,618942000,-2667000.0,418370000,703941000,178018000.0,-619188000,2734357000,3409205000,26412000,3.82,75019000.0,34402000,793078000,247677000.0,736535000,200572000,113094000,34402000,536255000.0,772862000,,34402000,49404000.0,-42707000.0,3108376000,,1029986000,,4030995000,292399000,1329333000,-460676000.0,3.72,8734000.0,8666106000,418002000,30942000,,25668000,212906000,486067000,389533000.0,38770000,7892154000,-326045000.0,9400000.0,,-402064000.0,8558000.0,,,418370000,937375000,2656241000,279898000,115463000.0,1718866000,810571000.0,925788000,4767530000,-5557730000,1018000.0,29545000.0,,,,,,,
2008-12-31,3146255000,102268000,4015674000.0,8254195000,-117987000.0,153838000.0,-220266000.0,560089000,,365732000,566483000,135086000.0,-388995000,3294119000,3163240000,72926000,3.57,-4914000.0,243327000,721352000,219554000.0,458390000,194357000,102871000,243327000,523786000.0,0,787222000.0,243327000,14599000.0,-123489000.0,2895892000,,853300000,,4632565000,555407000,1245138000,-347264000.0,3.56,208925000.0,8868451000,365732000,83343000,,34402000,202217000,0,399136000.0,40954000,7698788000,-286817000.0,19837000.0,,-255380000.0,8862000.0,,,365732000,955473000,2599747000,20407000,100513000.0,1644274000,1338446000.0,922922000,5090955000,-5972559000,67518000.0,-74325000.0,,,,,,,
2009-12-31,3232769000,198813000,10251758000.0,22479410000,794000.0,685589000.0,-560697000.0,814512000,,647211000,817171000,394687000.0,-678844000,7253653000,9466799000,878465000,3.23,-128013000.0,161807000,1233101000,630069000.0,1738776000,301881000,199057000,161807000,974710000.0,0,2090241000.0,161807000,56823000.0,-85306000.0,9097139000,0.0,1573715000,-32209000.0,11273835000,1040272000,2207811000,-15563000.0,3.23,-81520000.0,15556763000,647211000,1238711000,-1097064000.0,243327000,370414000,392939000,1014341000.0,-350056000,21439138000,-756544000.0,-4313000.0,55153000.0,-976391000.0,35755000.0,182374000.0,0.0,512631000,1752087000,4974239000,500065000,299425000.0,3222152000,2256579000.0,1989051000,13012611000,-6459624000,153950000.0,-45378000.0,-23778000.0,,,,,,
2010-12-31,3302469000,300619000,10260640000.0,22038098000,4716000.0,712814000.0,-878005000.0,1532085000,,947705000,1180935000,299619000.0,-859053000,7316004000,9647159000,970186000,3.13,26284000.0,172943000,2059944000,263414000.0,1011042000,582951000,301297000,172943000,1433553000.0,0,1879853000.0,172943000,130260000.0,-141153000.0,8754476000,,2044704000,-95068000.0,11379897000,1143129000,3523116000,-16515000.0,3.13,11136000.0,16329244000,947705000,999459000,-499931000.0,161807000,557478000,389198000,1137989000.0,29619000,20894969000,-863769000.0,15876000.0,38168000.0,-1174515000.0,32717000.0,190443000.0,,949134000,2410048000,7041534000,11583000,305184000.0,4631486000,2368698000.0,2571542000,12390939000,-7574768000,131768000.0,-224387000.0,,,,,,,
2011-12-31,2319000000,532780000,21724000000.0,56139000000,16000000.0,1952000000.0,-1556000000.0,948000000,,573000000,1790000000,1399000000.0,-3647000000,21356000000,20827000000,3395000000,1.07,520000000.0,128000000,2025000000,293000000.0,4019000000,375000000,534121000,128000000,4026000000.0,0,11456000000.0,128000000,103000000.0,-1012000000.0,19436000000,,4201000000,-58000000.0,31293000000,3523000000,6046000000,-31000000.0,1.07,-45000000.0,29577000000,573000000,3539000000,-3072000000.0,173000000,1072000000,1259000000,2975000000.0,-5000000,52616000000,-2411000000.0,-123000000.0,,-577000000.0,,580000000.0,-1671000000.0,573000000,6325000000,15351000000,480000000,619000000.0,9026000000,3823000000.0,7001000000,35312000000,-10141000000,395000000.0,-205000000.0,-102000000.0,,,,,,
2012-12-31,1285000000,620205000,21691000000.0,53972000000,38000000.0,1782000000.0,-1811000000.0,1250000000,,777000000,3146000000,1207000000.0,-2690000000,19400000000,19289000000,3396000000,1.25,-20000000.0,211000000,2713000000,999000000.0,4595000000,473000000,622285000,211000000,4780000000.0,9642000000,8847000000.0,211000000,110000000.0,-1701000000.0,19032000000,,6065000000,-72000000.0,30088000000,3607000000,7349000000,-37000000.0,1.25,83000000.0,32086000000,777000000,3390000000,-5464000000.0,128000000,1319000000,10688000000,3244000000.0,-144000000,50365000000,-2919000000.0,2000000.0,,-3295000000.0,125000000.0,642000000.0,0.0,777000000,7639000000,18376000000,1205000000,626000000.0,10737000000,3644000000.0,8024000000,34683000000,-13054000000,394000000.0,-63000000.0,-154000000.0,,,,,,
2013-12-31,66000000,600892000,20674000000.0,51787000000,-20000000.0,1862000000.0,-1301000000.0,224000000,,-239000000,2511000000,1111000000.0,-3148000000,20181000000,17191000000,3739000000,-0.4,-16000000.0,168000000,2545000000,975000000.0,4409000000,463000000,600892000,168000000,4541000000.0,8560000000,7737000000.0,168000000,73000000.0,-802000000.0,18646000000,,5559000000,-76000000.0,30187000000,3907000000,6063000000,-1586000000.0,-0.4,-43000000.0,34307000000,-239000000,3624000000,-2136000000.0,211000000,1298000000,10006000000,3502000000.0,-1023000000,47880000000,-3048000000.0,15000000.0,,-2454000000.0,167000000.0,737000000.0,-160000000.0,-239000000,7507000000,18095000000,785000000,584000000.0,10588000000,4753000000.0,8043000000,34596000000,-15661000000,391000000.0,22000000.0,-212000000.0,,,,,,
2014-12-31,147000000,568435000,20755000000.0,50147000000,0.0,1821000000.0,-1228000000.0,1110000000,,772000000,2141000000,1226000000.0,-3077000000,20121000000,15023000000,3448000000,1.36,-41000000.0,128000000,2410000000,931000000.0,3918000000,338000000,569739000,128000000,4428000000.0,7383000000,6540000000.0,128000000,50000000.0,-2017000000.0,18433000000,,5188000000,70000000.0,31206000000,3576000000,6849000000,-650000000.0,1.36,-40000000.0,36718000000,772000000,3368000000,-804000000.0,168000000,1311000000,11085000000,3347000000.0,11000000,46571000000,-3047000000.0,-2000000.0,79000000.0,-2151000000.0,132000000.0,726000000.0,-93000000.0,772000000,7846000000,18031000000,550000000,569000000.0,10185000000,4030000000.0,7775000000,35124000000,-18285000000,291000000.0,-348000000.0,-163000000.0,,,,,,
2015-12-31,272000000,554278000,20742000000.0,47604000000,-8000000.0,1789000000.0,-1198000000.0,1316000000,,878000000,2280000000,968000000.0,-2853000000,18722000000,14060000000,2524000000,1.58,16000000.0,126000000,2605000000,884000000.0,4604000000,438000000,555093000,126000000,4189000000.0,6143000000,5483000000.0,126000000,11000000.0,-1934000000.0,18069000000,,5152000000,-168000000.0,28940000000,2650000000,6817000000,-819000000.0,1.58,-2000000.0,38785000000,878000000,3101000000,-1282000000.0,128000000,1312000000,10218000000,3328000000.0,23000000,44954000000,-2872000000.0,-2000000.0,73000000.0,-2301000000.0,144000000.0,743000000.0,-4000000.0,878000000,7778000000,17900000000,1503000000,544000000.0,10122000000,3569000000.0,7517000000,33544000000,-20716000000,350000000.0,-399000000.0,-132000000.0,,,,,,
2016-12-31,-1000000,539549000,19650000000.0,47017000000,-4000000.0,1882000000.0,-1167000000.0,1020000000,,626000000,1627000000,1179000000.0,-2994000000,18185000000,13399000000,4940000000,1.16,26000000.0,222000000,2331000000,1093000000.0,5349000000,394000000,540679000,222000000,3916000000.0,5166000000,4328000000.0,222000000,6000000.0,-2117000000.0,17039000000,,4608000000,109000000.0,28269000000,5162000000,6254000000,-16000000.0,1.16,96000000.0,39194000000,626000000,3846000000,-2502000000.0,126000000,1318000000,10084000000,3449000000.0,7000000,41855000000,-2981000000.0,0.0,80000000.0,-1518000000.0,134000000.0,672000000.0,-39000000.0,626000000,7774000000,17470000000,1503000000,547000000.0,9696000000,3471000000.0,7365000000,33618000000,-22155000000,11000000.0,-131000000.0,-266000000.0,,,,,,
2017-12-31,1103000000,627808000,30409000000.0,75551000000,,2245000000.0,-1453000000.0,540000000,,1389000000,771000000,1555000000.0,-8871000000,37283000000,23429000000,3638000000,2.21,75000000.0,587000000,2009000000,1287000000.0,4854000000,-849000000,628693000,551000000,3936000000.0,14096000000,12773000000.0,551000000,5000000.0,-1995000000.0,26852000000,,3877000000,-123000000.0,47268000000,4194000000,5957000000,-17000000.0,2.21,363000000.0,51204000000,1389000000,4411000000,-1928000000.0,224000000,1481000000,9985000000,3508000000.0,12000000,71357000000,-3106000000.0,-3000000.0,111000000.0,5358000000.0,128000000.0,892000000.0,-7294000000.0,1389000000,8203000000,17656000000,443000000,1069000000.0,9453000000,2413000000.0,7444000000,52122000000,-24352000000,-1193000000.0,-499000000.0,31000000.0,,,,,,
2018-12-31,-1643000000,1065866000,28059000000.0,70242000000,-61000000.0,2094000000.0,-2312000000.0,-1563000000,,-1733000000,3857000000,1933000000.0,-3078000000,35409000000,19828000000,3328000000,-1.63,18000000.0,518000000,3296000000,1465000000.0,5447000000,170000000,1065866000,488000000,5120000000.0,12144000000,10779000000.0,488000000,,-2461000000.0,26219000000,,7032000000,124000000.0,44967000000,3820000000,5734000000,,-1.63,-69000000.0,53078000000,-1733000000,4795000000,-1936000000.0,587000000,2177000000,2642000000,4165000000.0,-2682000000,66422000000,-3175000000.0,-50000000.0,186000000.0,-4023000000.0,120000000.0,832000000.0,0.0,-1733000000,10862000000,23443000000,652000000,1080000000.0,12581000000,2527000000.0,9285000000,50414000000,-26859000000,522000000.0,680000000.0,25000000.0,,,,,,
