date,annualTaxProvision,annualCurrentAccruedExpenses,annualBasicAverageShares,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetOtherFinancingCharges,annualCommonStockIssuance,annualCurrentDebt,annualFreeCashFlow,annualAccumulatedDepreciation,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualOperatingExpense,annualOtherNonCurrentAssets,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCurrentAssets,annualChangesInAccountReceivables,annualBasicEPS,annualTotalAssets,annualDilutedAverageShares,annualNetIncome,annualRetainedEarnings,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualBeginningCashPosition,annualCashDividendsPaid,annualDilutedEPS,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualLongTermDebt,annualStockholdersEquity,annualCashFlowFromContinuingFinancingActivities,annualCurrentLiabilities,annualCapitalStock,annualPurchaseOfBusiness,annualStockBasedCompensation,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualNetPPE,annualGrossProfit,annualEbitda,annualOperatingCashFlow,annualGoodwill,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualPurchaseOfInvestment,annualOtherNonCurrentLiabilities,annualInterestExpense,annualPretaxIncome,annualInvestingCashFlow,annualOtherIncomeExpense,annualCapitalExpenditure,annualAccountsPayable,annualRepaymentOfDebt,annualOperatingIncome,annualOtherCurrentLiabilities,annualEndCashPosition,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualInventory,annualResearchAndDevelopment
2010-12-31,769800000,,331495000,,952100000,640700000,3003700000,10136700000,6100000,608200000,,420500000,1196400000,-512900000,50200000,-575300000,14917900000,-104100000,22300000,38700000,532500000,393300000,855200000,39700000,5387500000,-28700000,2.87,35044900000,332475000,951400000,2885800000,297500000,951400000,260600000,-912800000,2.862,29657400000,157500000,4000000,4184600000,258000000,2104800000,20058900000,-653400000,4781200000,700000,-37000000,40900000,59100000,7840400000,905400000,20493800000,786700000,2363000000,2120200000,1356400000,7983600000,594600000,1299700000,-10200000,191500000,140300000,1721900000,-108400000,31700000,-160000000,51800000,-399900000,1830500000,4308900000,855200000,,,,,,
2011-12-31,122100000,,332735000,,1814400000,696200000,3280600000,9521200000,-21000000,2300000,0,0,1174100000,-576300000,9381500000,-220400000,19136400000,111600000,-658700000,-142000000,422900000,3966500000,1042300000,17500000,10945800000,-13200000,5.446,40758700000,333810000,1812300000,4324600000,289400000,1812300000,855200000,-372800000,5.43,29812900000,162400000,-300000,232600000,260500000,2106800000,21552000000,-1005600000,9615200000,700000,0,51300000,11300000,7226800000,10423800000,17040500000,821900000,2584400000,2313900000,1346300000,7984000000,187100000,1398200000,-10200000,187600000,116900000,1936500000,-153600000,-108100000,-172200000,31100000,-420500000,2161500000,9584100000,1042300000,,,,,,
2012-12-31,786700000,,331252000,,906700000,714300000,2914600000,9821400000,11200000,6100000,0,7334500000,1075000000,-640400000,56600000,0,17438300000,209300000,82200000,-2000000,508300000,1825400000,1604700000,-24400000,8717900000,-300000,2.71,38863200000,332319000,896300000,3993400000,267500000,896300000,1042300000,-1224300000,2.7,30145300000,159600000,4900000,6749100000,253100000,2106800000,21419100000,-448400000,7616900000,3300000,-230700000,61400000,5100000,7413300000,1661300000,20029000000,724000000,2200300000,2078700000,1216800000,7566900000,562400000,1364400000,-32500000,220500000,132200000,1693400000,-206000000,133600000,-141800000,41700000,0,1692000000,240700000,1604700000,,,,,,
2013-12-31,622900000,,332678000,,978100000,738100000,2936300000,9806300000,-5500000,-79300000,,22105000000,1154900000,-678400000,68400000,0,33117300000,152000000,-6000000,-15300000,561200000,1873300000,2469700000,127800000,24405600000,-35500000,2.94,54277800000,334398000,976800000,3494600000,302700000,976800000,1604700000,-599100000,2.92,29872200000,176200000,6100000,21524800000,238100000,2107200000,21154800000,-606000000,23311000000,3300000,-4000000,54400000,164300000,7249700000,2538100000,19916500000,513400000,2198200000,1990500000,1280500000,7569000000,865000000,1191800000,-36600000,449400000,151400000,1601000000,190500000,115400000,-125600000,36200000,-750000000,1637000000,1169800000,2469700000,,,,,,
2014-12-31,644500000,,334409000,,1126900000,771300000,3112500000,9786800000,700000,-2400000,,40566800000,1150700000,-741000000,74700000,,51318000000,6200000,78900000,-200100000,572800000,1805600000,1366100000,-6200000,42545300000,-38500000,3.37,72241500000,336063000,1127100000,3317300000,341200000,1127100000,2469700000,-1496800000,3.35,29696200000,211000000,6300000,40726300000,233200000,2107900000,20923500000,-2195900000,41531200000,3400000,-59300000,54800000,37500000,7302700000,1440800000,19812700000,508900000,2341200000,2124000000,1291400000,7569000000,-1103600000,1249900000,-38300000,376200000,119400000,1771400000,-199100000,122400000,-140700000,36900000,-750000000,1768400000,927500000,1366100000,,,,,,
2015-12-31,709800000,,336224000,,1247000000,768800000,3326800000,9995200000,-8200000,2000000,,35553000000,1401100000,-788600000,72500000,,46819700000,-80800000,63300000,-155200000,569300000,1693100000,1692600000,0,37904500000,-17300000,3.71,67371500000,337894000,1247000000,2907600000,357800000,1247000000,1366100000,-1343400000,3.69,29467000000,216300000,67400000,35749600000,228600000,2241400000,20551800000,-1206700000,36824500000,3400000,-16700000,60800000,184100000,7358300000,1765100000,19713200000,491700000,2558000000,2302800000,1515300000,7569000000,326500000,1280300000,-35300000,395500000,117400000,1956800000,17900000,85500000,-114200000,28700000,-673000000,1988700000,1242800000,1692600000,,,,,,
2016-12-31,753500000,,337496000,,1534100000,783000000,3595200000,10083100000,-2600000,11700000,,37542700000,1624200000,-597200000,83300000,,49028700000,-14100000,-83000000,-3300000,609500000,1726600000,1868600000,0,40031500000,-8100000,4.55,69369400000,338966000,1534100000,2524500000,364400000,1534100000,1692600000,-1787200000,4.53,29337900000,222500000,300000,37685200000,225300000,2231200000,20340700000,-1593700000,38945600000,3400000,-9100000,66200000,191700000,7291000000,1951900000,19617100000,425200000,2812200000,2636400000,1716000000,7569000000,176000000,1022400000,-45900000,560900000,123500000,2287600000,53700000,208400000,-91800000,26200000,0,2202700000,1376700000,1868600000,,,,,,
2017-12-31,-1537100000,,338707000,,4063400000,781700000,3644700000,7706500000,5100000,-28500000,,44185300000,1758500000,-676600000,90100000,,53379400000,14300000,-2357800000,-16700000,551000000,1394400000,1903600000,,46906500000,6000000,12,75791200000,340226000,4063400000,4497200000,359700000,4063400000,1868600000,-1993500000,11.94,28884700000,226500000,600000,44553100000,208500000,2233100000,22411800000,-1985300000,45672900000,3400000,-5300000,58000000,266100000,4857700000,1993700000,19521600000,399700000,2863000000,2851800000,1840400000,7569000000,35000000,1076300000,-3000000,615700000,117000000,2526300000,179900000,331300000,-81900000,31300000,0,2312000000,1456300000,1903600000,,,,,,
2018-12-31,814100000,,342344000,,1963700000,955500000,4309400000,10237800000,32300000,-61000000,,40029700000,2324100000,-761100000,72900000,,51510400000,5300000,114300000,49700000,746300000,1659600000,1374500000,,41886700000,-65500000,5.73,77475700000,343737000,1962200000,4855300000,553300000,1962200000,1906000000,-2149900000,5.71,35589000000,170600000,11300000,39884500000,248700000,3826800000,25918500000,-1080000000,41272600000,3600000,-1795400000,96500000,11800000,5665900000,1447400000,22675400000,448700000,3353900000,3184200000,2440800000,10805300000,-528800000,1209800000,-10000000,745100000,157700000,2777800000,-1889600000,327900000,-116700000,116000000,-452500000,2607600000,1126900000,1377200000,,,,,,
2019-12-31,573800000,,,,2115800000,1274300000,4868000000,10533500000,-54100000,16800000,,,2427200000,-867500000,83200000,,49056000000,3400000,-3700000,-34600000,1005900000,2068000000,1551400000,,39567800000,60800000,,75215300000,,2116500000,5008700000,491800000,2116500000,1377200000,-1695900000,,35647500000,172200000,11900000,37437100000,473300000,3743200000,26128900000,-2340800000,38522500000,3600000,,73100000,18800000,5635200000,,22293000000,544000000,3593700000,3340900000,2672800000,10742500000,179400000,1411500000,-15400000,1155100000,178000000,2689600000,-152600000,279800000,-245600000,61900000,-661700000,2587800000,38460600000,1556600000,,,,,,
