date,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualCurrentAssets,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualInterestExpense,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualCommonStockIssuance,annualFreeCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualTotalAssets,annualNetIncome,annualCurrentDeferredRevenue,annualCostOfRevenue,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCurrentDebt,annualBasicAverageShares,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,annualInvestingCashFlow,annualChangeInInventory,annualDepreciationAndAmortization,annualNonCurrentDeferredTaxesLiabilities,annualGoodwill,annualStockBasedCompensation,annualRetainedEarnings,annualInventory,annualCurrentLiabilities,annualPurchaseOfInvestment,annualBasicEPS,annualCapitalStock,annualAccountsReceivable,annualOperatingCashFlow,annualSaleOfInvestment,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualDilutedAverageShares,annualOperatingIncome,annualEbitda,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredRevenue,annualGrossPPE,annualOtherNonCurrentLiabilities,annualDilutedEPS,annualAccountsPayable,annualPretaxIncome,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualResearchAndDevelopment,annualCashDividendsPaid
1999-12-31,25700000.0,-900000.0,-300000.0,,400000.0,26300000,4500000.0,2000000,,-1800000,,17000000,72300000,2100000.0,,-100000.0,4500000.0,200000.0,,100000.0,,1000000,33800000,11700000,-3700000.0,1300000.0,3000000.0,10100000,28700000,4500000.0,,38500000.0,,3800000,900000.0,478309344,-100000.0,18600000,900000.0,-1500000,-4700000.0,600000.0,1200000.0,,,7200000,9900000.0,8000000,,0.009375,100000.0,,1300000,,10800000.0,100000.0,500000.0,504508992,7500000,8100000,,,-1300000.0,1200000.0,2000000,-1600000,2000000,,1400000.0,0.0,0.008958,5900000.0,7500000.0,,,,
2000-12-31,29814609.0,-1077689.0,-1191762.0,-814545.0,665731.0,30500344,3915126.0,130665,,-1878490,,19328051,79732709,11006095.0,,-89386.0,3915126.0,382152.0,,0.0,256639.0,-2314602,37400694,19416689,-5687101.0,1705005.0,2615986.0,16690044,38744740,3915126.0,,42332015.0,,2009155,234655.0,477971664,,22054696,9731956.0,-7851166,-1013481.0,685735.0,1274139.0,,,11150878,10907895.0,5683949,,0.008125,50744.0,,-1122840,,16887914.0,0.0,1863044.0,499473744,6900350,7586085,,,-6671837.0,1767338.0,130665,7095516,130665,,2940733.0,0.0,0.007917,3681956.0,6531112.0,,,,
2001-12-31,34766159.0,-1495239.0,-529905.0,,725825.0,35273647,3019353.0,247657,,116992,1304737.0,18540090,92279711,7665383.0,,472581.0,3019353.0,527594.0,,0.0,28621.0,4672801,40824504,20021192,551018.0,0.0,2012902.0,13227733,38561282,3019353.0,,51455207.0,,130665,337872.0,481754256,,25333549,5851105.0,-682234,-1048785.0,943947.0,1814278.0,,,14170231,11956680.0,5562350,,0.00625,51259.0,4412422.0,5202706,,17350221.0,0.0,1945146.0,495115392,5550857,6494804,,,-178745.0,0.0,247657,-4403480,247657,,3440385.0,0.0,0.006042,3919741.0,5032255.0,,,,
2002-12-31,27896202.0,-1917047.0,-416873.0,,336369.0,27950760,3029195.0,537920,,290263,680959.0,20903874,92046362,6138737.0,,522462.0,3029195.0,230732.0,,0.0,8000.0,2309796,33243693,19559631,-1378758.0,0.0,2035980.0,12092761,40463505,3029195.0,,58802669.0,,247657,230740.0,482519952,,28370744,3606040.0,-92209,312946.0,548452.0,2532697.0,,,17199426,11643734.0,5954024,,0.00625,51299.0,5949402.0,2726669,,17360455.0,0.0,1862807.0,496300992,5292933,5841385,,,324664.0,310064.0,537920,-2344197,537920,,3779854.0,0.0,0.006042,4732261.0,5065175.0,,,,
2003-12-31,33887045.0,-2427281.0,-1627490.0,,222102.0,33948933,5930404.0,1098785,,560865,2068801.0,26677940,110352196,3465713.0,,-360524.0,5930404.0,72592.0,,0.0,748430.0,3856924,43775028,21319088,-763543.0,0.0,3828678.0,12947450,47997028,5930404.0,,66577168.0,,537920,244271.0,493378080,,35049578,358064.0,-2437534,-6000052.0,646085.0,3107649.0,,,23129830,17643786.0,9481737,,0.012083,53124.0,5372983.0,5484414,,18293704.0,0.0,2803282.0,516583536,9826095,10472180,,,-880870.0,647263.0,1098785,-2486015,1098785,,5230563.0,0.0,0.011458,6521402.0,9759082.0,,,,
2004-12-31,49507137.0,-2345580.0,-1260068.0,,326312.0,49580183,20386804.0,20976119,,19877334,3414595.0,60380137,180341135,4709925.0,,-172543.0,20386804.0,41988.0,,0.0,1719928.0,18790449,83466385,21642180,-1598969.0,0.0,13551393.0,23451088,82022317,20386804.0,,96874750.0,,1098785,437366.0,512010816,,58571229,146486.0,-1470726,-4762268.0,843459.0,4563439.0,,,43516634,22406054.0,18741163,,0.039792,55599.0,12650055.0,20050517,,18351804.0,0.0,2964064.0,566877120,33886202,34729661,,,-235356.0,346449.0,20976119,1297543,20976119,,5309644.0,0.0,0.036042,14542753.0,33938197.0,,,,
2005-12-31,79030000.0,-2102000.0,-1520000.0,,758000.0,79100000,62776000.0,61654000,,57978000,5828000.0,140286000,348886000,5424000.0,,-946000.0,62776000.0,77000.0,11861000.0,0.0,1168000.0,53129000,182543000,23604000,-8526000.0,-1000.0,42019000.0,38381000,163890000,62776000.0,,166343000.0,,3676000,515000.0,529343592,-1000.0,125509000,10000.0,3216000,-8994000.0,1079000.0,5414000.0,,,106293000,31400000.0,32957000,-22643000.0,0.11875,113000.0,28752000.0,54649000,28082000.0,19103000.0,1000.0,3743000.0,582533640,103443000,104522000,,,-882000.0,0.0,61654000,113000,73515000,,5845000.0,0.0,0.107917,26614000.0,104795000.0,,,,
2006-12-31,158015000.0,-3011000.0,-4901000.0,-27699000.0,1447000.0,158015000,97949000.0,35129000,,-26525000,20867000.0,275157000,605774000,20445000.0,,-10863000.0,97949000.0,,101667000.0,17284000.0,3883000.0,71513000,316594000,33215000,-3575000.0,0.0,64290000.0,83288000,308372000,97949000.0,,289180000.0,,61654000,299000.0,539616000,-8865000.0,225084000,4000.0,-95231000,-45613000.0,1594000.0,,,,204242000,77013000.0,62843000,-249014000.0,0.181667,464000.0,54624000.0,76414000,159208000.0,21202000.0,0.0,5565000.0,591516000,158579000,160173000,,,-878000.0,7315000.0,35129000,-7708000,136796000,,8576000.0,20441000.0,0.165,34362000.0,162239000.0,,,,
2007-12-31,237027000.0,-4651000.0,-7028000.0,-148000.0,227815000.0,237027000,149406000.0,12440000,,-22689000,19055000.0,270149000,904465000,39555000.0,,-14244000.0,149406000.0,,,29454000.0,8191000.0,128423000,468013000,274454000,17313000.0,0.0,90350000.0,122436000,544603000,149406000.0,,436452000.0,,35129000,663000.0,547068000,-19328000.0,422167000,,-194727000,-21127000.0,2184000.0,,,,353647000,98140000.0,82881000,-361600000.0,0.273333,479000.0,81497000.0,135451000,173057000.0,24066000.0,0.0,8567000.0,593244000,230986000,233170000,,-47000.0,583000.0,6397000.0,12440000,36587000,12440000,,13218000.0,,0.251667,56766000.0,239756000.0,,,,
2008-12-31,,-7190000.0,-11072000.0,-103467000.0,2444000.0,375203000,108032000.0,256801000,30609000.0,244361000,121588000.0,561324000,1033780000,138187000.0,7517000.0,-44594000.0,108032000.0,,29145000.0,4334000.0,2257000.0,188424000,538794000,200513000,122426000.0,90722000.0,65445000.0,325521000,761837000,108032000.0,,494986000.0,,12440000,959000.0,555090000,-33000.0,436316000,,143982000,-19671000.0,3472000.0,,,13899000.0,461680000,116326000.0,187334000,-131623000.0,0.195,484000.0,45233000.0,199496000,288238000.0,28365000.0,9886000.0,14389000.0,585180000,163591000,167063000,-1170000.0,-10825000.0,-1720000.0,0.0,256801000,-98046000,285946000,138187000.0,21579000.0,0.0,0.185,64787000.0,173477000.0,89567000.0,0.0,,
2009-12-31,,-12324000.0,-28769000.0,-86173000.0,1226000.0,275007000,208716000.0,328349000,-59418000.0,71548000,26276000.0,585504000,1143299000,131388000.0,-15786000.0,-6294000.0,208716000.0,,18487000.0,3131000.0,2502000.0,127423000,612316000,214566000,-70591000.0,0.0,126979000.0,215117000,800070000,208716000.0,,530983000.0,,256801000,206000.0,539802000,14796000.0,584953000,,-4469000,8545000.0,5907000.0,,,14040000.0,670396000,108143000.0,83729000,-74976000.0,0.386667,486000.0,104206000.0,156192000,97173000.0,33512000.0,-1614000.0,33314000.0,567858000,337309000,343216000,-1539000.0,-4667000.0,1226000.0,0.0,328349000,-82079000,346836000,131388000.0,45638000.0,0.0,0.368333,48863000.0,335695000.0,80836000.0,761000.0,,
2010-12-31,332426000.0,-22297000.0,-22397000.0,-23540000.0,3447000.0,332426000,212029000.0,354842000,2031000.0,26493000,24218000.0,898153000,1303942000,124899000.0,37096000.0,-13735000.0,212029000.0,758000.0,244649000.0,12374000.0,20824000.0,206647000,680240000,183978000,-499000.0,0.0,137273000.0,253733000,1082131000,212029000.0,10140000.0,623702000.0,,328349000,274000.0,531084000,4488000.0,828398000,,-212510000,-44973000.0,11776000.0,,,16862000.0,882425000,153241000.0,128834000,-317381000.0,0.4,494000.0,101222000.0,229044000,128593000.0,43316000.0,-758000.0,34551000.0,558126000,347814000,359590000,-420000.0,281000.0,-1440000.0,0.0,354842000,9238000,599491000,124899000.0,56848000.0,0.0,0.38,85674000.0,349302000.0,44189000.0,925000.0,,
2011-12-31,,-36961000.0,-30684000.0,-176392000.0,4405000.0,437886000,286219000.0,359331000,-56752000.0,4489000,119712000.0,1182677000,1703230000,117151000.0,26250000.0,-4511000.0,286219000.0,772000.0,411282000.0,3824000.0,20318000.0,303143000,894309000,179722000,14807000.0,0.0,171051000.0,383241000,1362399000,286219000.0,11583000.0,808921000.0,,354842000,,528636000,15600000.0,979158000,,-173027000,-4465000.0,17084000.0,,,19424000.0,1168644000,155613000.0,266090000,-616450000.0,0.54,994000.0,218072000.0,333827000,473178000.0,48396000.0,-772000.0,45151000.0,560022000,456423000,473507000,-1942000.0,-1547000.0,410000.0,0.0,359331000,-154192000,770613000,117151000.0,82112000.0,0.0,0.51,113446000.0,457270000.0,23194000.0,10996000.0,,
2012-12-31,515033000.0,-47210000.0,-49236000.0,-727670000.0,3576000.0,515033000,340020000.0,222514000,-17769000.0,-136817000,38916000.0,835068000,2060702000,110383000.0,3659000.0,-22116000.0,340020000.0,,97042000.0,19656000.0,11015000.0,238440000,1065656000,208257000,-78432000.0,0.0,209134000.0,398928000,1043325000,340020000.0,12695000.0,995046000.0,,359331000,,521136000,8757000.0,644397000,,271849000,-47568000.0,20562000.0,,,28413000.0,1508664000,203106000.0,288545000,-606657000.0,0.653333,1019000.0,236710000.0,287676000,927077000.0,54648000.0,787000.0,69137000.0,549249000,550623000,571185000,-2076000.0,2074000.0,377000.0,0.0,222514000,-699075000,319556000,110383000.0,116347000.0,0.0,0.62,127330000.0,549154000.0,21393000.0,5470000.0,,
2013-12-31,600015000.0,-64323000.0,-51937000.0,-67599000.0,10146000.0,600015000,338661000.0,211349000,-50408000.0,-11165000,59113000.0,1183043000,2246428000,112216000.0,-8204000.0,-37422000.0,338661000.0,,402247000.0,30348000.0,21252000.0,290096000,1172931000,237466000,-8648000.0,0.0,225233000.0,428230000,1420509000,338661000.0,13832000.0,1073497000.0,,222514000,,500037000,-1584000.0,992279000,,-339808000,-21552000.0,22762000.0,,,28764000.0,1847325000,221449000.0,316014000,-557419000.0,0.676667,1030000.0,296180000.0,342033000,264886000.0,65774000.0,2715000.0,88143000.0,520161000,572916000,595678000,-1887000.0,-1233000.0,-4360000.0,0.0,211349000,-17886000,613596000,112216000.0,152466000.0,0.0,0.65,119376000.0,563894000.0,9792000.0,9359000.0,,
2014-12-31,592305000.0,-83579000.0,-31363000.0,-8175000.0,7496000.0,592305000,483185000.0,370323000,-9710000.0,158974000,40271000.0,1693429000,2464867000,68009000.0,11282000.0,-21770000.0,483185000.0,,781134000.0,11924000.0,17168000.0,554204000,1339810000,245446000,70316000.0,18079000.0,262603000.0,423725000,1938875000,483185000.0,49926000.0,1125057000.0,,211349000,,501771000,16628000.0,1515150000,,-440403000,42763000.0,25651000.0,,,28552000.0,2330510000,174573000.0,355716000,-1134602000.0,0.963333,1035000.0,280755000.0,585567000,723369000.0,50748000.0,-41000.0,90156000.0,522855000,747505000,773156000,-1619000.0,-11453000.0,1230000.0,0.0,370323000,19298000,1151457000,68009000.0,173735000.0,0.0,0.923333,127641000.0,745788000.0,42940000.0,5848000.0,,
2015-12-31,900118000.0,-92520000.0,-42493000.0,-807967000.0,10874000.0,900118000,546733000.0,2175417000,-76731000.0,1805094000,92804000.0,3582602000,2722564000,351590000.0,20864000.0,-617161000.0,546733000.0,,744610000.0,314737000.0,1696661000.0,165493000,1632301000,2092587000,376112000.0,0.0,344815000.0,865779000,5675189000,546733000.0,32271000.0,1090263000.0,,370323000,,566448000,-282018000.0,4809410000,,400066000,-7068000.0,30860000.0,,1279715000.0,32719000.0,1394863000,156121000.0,514189000,-2033584000.0,0.966667,1035000.0,352955000.0,207986000,2097949000.0,427986000.0,161470000.0,97354000.0,577758000,732183000,763043000,-1083000.0,-21878000.0,-398000.0,0.0,2175417000,1202348000,2920027000,351590000.0,189874000.0,0.0,0.946667,144763000.0,891548000.0,15348000.0,106662000.0,,
2016-12-31,856662000.0,-109909000.0,-105337000.0,-2252437000.0,21630000.0,856662000,712685000.0,377582000,-106363000.0,-1797835000,87710000.0,1432270000,3049393000,353173000.0,45340000.0,-19092000.0,712685000.0,,220554000.0,0.0,16405000.0,596018000,1942000000,2721201000,-78727000.0,0.0,367000000.0,823762000,4153471000,712685000.0,41672000.0,1107393000.0,-688485000.0,2175417000,,587874000,45848000.0,3329709000,,-256193000,20875000.0,40845000.0,,1331643000.0,45848000.0,2107548000,161971000.0,470589000,-452476000.0,1.21,3116000.0,448051000.0,701355000,989291000.0,1032635000.0,-5653000.0,173343000.0,599819000,1085338000,1126183000,-2359000.0,-23249000.0,7000.0,0.0,377582000,-2238391000,598136000,353173000.0,283252000.0,0.0,1.19,193270000.0,1079685000.0,2394000.0,7657000.0,,
2017-12-31,,-138810000.0,-93128000.0,-361178000.0,13932000.0,938903000,820678000.0,528622000,16538000.0,151040000,87566000.0,2086377000,3369045000,335449000.0,29579000.0,67935000.0,820678000.0,,672933000.0,,52626000.0,894603000,2137690000,2704635000,-890000.0,0.0,380945000.0,895800000,4791012000,820678000.0,43236000.0,1231355000.0,0.0,377582000,,566782000,,3895212000,,-531541000,-88867000.0,48887000.0,,1331643000.0,52282000.0,2928226000,255745000.0,560351000,-971813000.0,1.45,3146000.0,449476000.0,987731000,533183000.0,1034085000.0,2836000.0,230276000.0,577141000,1198787000,1247674000,-2583000.0,-16659000.0,-1199000.0,0.0,528622000,-311135000,1201555000,334354000.0,369086000.0,1095000.0,1.42,245910000.0,1201623000.0,2366000.0,10645000.0,,
2018-12-31,,-174041000.0,-74925000.0,-1342076000.0,16462000.0,1011756000,993004000.0,637513000,-38412000.0,108891000,112507000.0,1804170000,3807183000,314845000.0,9852000.0,-510000.0,993004000.0,,320650000.0,,27851000.0,1086956000,2295375000,2722721000,56080000.0,,300268000.0,915990000,4526891000,993004000.0,44045000.0,1511808000.0,0.0,528622000,,557166000,,3610901000,,272956000,-26146000.0,56979000.0,,1331643000.0,57111000.0,3914645000,277705000.0,601145000,-826084000.0,1.78,3155000.0,484562000.0,1161881000,1181484000.0,1045878000.0,9653000.0,243051000.0,564254000,1283619000,1340598000,-1886000.0,-32864000.0,-11814000.0,,637513000,-1316111000,958163000,312224000.0,417092000.0,2621000.0,1.76,248760000.0,1293272000.0,0.0,10189000.0,,
