date,annualEndCashPosition,annualCurrentDebt,annualDilutedAverageShares,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualOperatingExpense,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCashDividendsPaid,annualAccountsReceivable,annualCurrentAssets,annualLongTermDebt,annualBeginningCashPosition,annualBasicAverageShares,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualStockholdersEquity,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualCurrentAccruedExpenses,annualRetainedEarnings,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,annualInventory,annualCapitalStock,annualOperatingCashFlow,annualNetPPE,annualTotalNonCurrentAssets,annualGrossProfit,annualCurrentLiabilities,annualStockBasedCompensation,annualOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualEbitda,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,annualPretaxIncome,annualChangesInAccountReceivables,annualInterestExpense,annualNonCurrentDeferredRevenue,annualPurchaseOfInvestment,annualGrossPPE,annualDeferredIncomeTax,annualGoodwill,annualIncomeTaxPayable,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualOperatingIncome,annualInvestingCashFlow,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,annualBasicEPS,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1989-12-31,0,8700000,142142857,361800000,518800000,17700000,,13700000.0,985400000,74700000,,98300000.0,0.0,,,-97200000,52600000,858800000,27900000.0,53600000,,-80100000.0,36900000,0.116667,1043700000,56600000,-31500000.0,,179000000,485700000,35300000,142142857,49700000,20900000.0,557800000,28400000,-14900000.0,,135400000,1601500000,31000000,24200000.0,27500000,100000.0,100900000,467200000,1422500000,157000000,58300000,,96500000.0,51000000.0,,128600000,448700000,36900000,4700000.0,84600000,,32500000,,-43900000.0,564400000,7100000.0,,,,12800000,35900000.0,104400000,-112800000,1600000.0,-26200000.0,13600000.0,0.116667,,
1990-12-31,0,7200000,140000000,386000000,563200000,5700000,,24000000.0,1152600000,60300000,,2100000.0,0.0,-155100000.0,,-107900000,55200000,1039300000,800000.0,63500000,,156200000.0,17800000,0.43,1219400000,63500000,-30000000.0,,180200000,577300000,36900000,140000000,60200000,24100000.0,434300000,28000000,-10200000.0,,133400000,1653700000,35900000,27200000.0,28200000,,90600000,317100000,1473500000,177200000,66800000,,117100000.0,61100000.0,,149200000,514200000,17800000,200000.0,99400000,,36100000,,-44200000.0,425000000,9300000.0,,,,13600000,35600000.0,122000000,113100000,-19100000.0,-30300000.0,-222900000.0,0.43,,
1991-12-31,0,13800000,141153846,429800000,643200000,9500000,,20800000.0,1427500000,16600000,,3500000.0,0.0,-18000000.0,,-124000000,70400000,1438900000,-41700000.0,73400000,,-123400000.0,38400000,0.52,1507700000,73400000,-26300000.0,,236600000,786700000,17800000,141153846,73400000,25100000.0,615800000,35400000,-15600000.0,,168400000,2123500000,35500000,35000000.0,34900000,,55100000,448000000,1886900000,213400000,80200000,,,69300000.0,,178000000,571500000,38400000,-1500000.0,108900000,,42400000,,-37500000.0,572000000,6200000.0,,,,8200000,45600000.0,143000000,-161800000,20600000.0,-38500000.0,127400000.0,0.52,,
1992-12-31,0,10600000,160185185,503100000,772500000,4400000,,22700000.0,1820900000,78700000,,2500000.0,100000.0,-6600000.0,,-142300000,86100000,1848000000,-4700000.0,86500000,,-117800000.0,31300000,0.54,1928000000,86500000,-29600000.0,,258600000,980000000,38400000,151754386,86500000,30000000.0,683100000,38700000,6200000.0,,220500000,2611100000,52800000,47400000.0,40600000,,145500000,504500000,2352500000,269400000,107100000,,,99200000.0,,230700000,741700000,31300000,200000.0,139300000,,53900000,,-47000000.0,646800000,13300000.0,,,,9900000,73800000.0,183300000,-182800000,-7200000.0,-66800000.0,30100000.0,0.57,,
1993-12-31,0,25000000,174310345,577700000,899200000,9700000,,96900000.0,2658200000,71400000,,4300000.0,0.0,-1600000.0,,-163900000,101900000,2764000000,-52500000.0,103100000,,-236400000.0,20800000,0.58,2798800000,101100000,-32900000.0,,312500000,1062200000,31300000,165737705,101100000,,884500000,43700000,100000.0,,284900000,3683300000,70400000,58200000.0,45200000,,131000000,606800000,3370800000,321500000,140600000,,,147000000.0,,277800000,1449000000,20800000,,173500000,,59600000,,-2400000.0,770700000,29200000.0,,,,13500000,18700000.0,219600000,-274400000,-10400000.0,-59600000.0,133000000.0,0.61,,
1994-12-31,0,277700000,173852000,699900000,1117200000,21500000,,154800000.0,3493700000,81300000,,363600000.0,0.0,,,-203800000,127800000,3737700000,-70100000.0,131000000,,-284700000.0,218300000,0.715,3965300000,131000000,-36000000.0,,591800000,1330200000,20800000,173509934,131000000,,1196600000,51700000,,,381500000,5161900000,88000000,76100000.0,60900000,,162400000,832400000,4570100000,417300000,471600000,,,238100000.0,,365600000,1925400000,218300000,,219000000,,80100000,,,1036200000,27500000.0,,,,9600000,39100000.0,289500000,-352500000,197500000.0,-81100000.0,387500000.0,0.755,,
1995-12-31,0,122200000,216000000,1088500000,1652100000,32400000,,393200000.0,4932000000,-34500000,,335800000.0,100000.0,,,-247000000,152000000,5760600000,-231600000.0,183600000,,-731800000.0,29700000,0.85,5516000000,183600000,-43700000.0,,629500000,1732000000,218300000,204148000,183600000,,2147800000,53600000,-3900000.0,,518600000,7663800000,110600000,98400000.0,120800000,172500000.0,90700000,1273700000,7034300000,563600000,584000000,,,437800000.0,,510000000,2762200000,29700000,,294200000,,118100000,,,1520700000,45200000.0,,,,700000,68600000.0,411600000,-844300000,-188600000.0,-125200000.0,565000000.0,0.9,,
1996-12-31,0,113900000,247943925,1559900000,2294200000,36300000,,440800000.0,5854500000,16700000,,,100000.0,,,-319500000,193000000,6698700000,-230400000.0,265300000,,-317000000.0,44100000,1.07,6462000000,265300000,-55300000.0,,714000000,2048700000,57500000,241178000,265300000,,2235300000,63200000,-1800000.0,,728100000,8869800000,148600000,129800000.0,139000000,,209900000,1457100000,8155800000,734300000,607500000,,,527500000.0,,671100000,3278300000,44100000,,413900000,,138600000,,,1776600000,56900000.0,,,,11200000,52800000.0,541300000,-480100000,-13400000.0,-193200000.0,256900000.0,1.1,,
1997-12-31,0,64600000,257781000,1623200000,2468400000,34800000,,425600000.0,7045500000,68900000,,,100000.0,,,-390900000,224400000,4716400000,-163300000.0,374600000,,-486200000.0,46900000,1.31,7580900000,333800000,-69900000.0,,811400000,2634700000,44100000,245470000,333800000,1531600000.0,2726000000,66800000,600000.0,,983400000,10306900000,205400000,157600000.0,172200000,,299400000,3281000000,9495500000,845200000,535400000,,1498100000.0,701200000.0,,778400000,3709600000,46900000,,580000000,,136700000,,-1495200000.0,3671900000,19200000.0,,,,95900000,45200000.0,620800000,-633400000,2700000.0,-230500000.0,336800000.0,1.36,,
1998-12-31,0,96100000,262520000,1954000000,2875100000,96200000,,452400000.0,9481800000,-643400000,,,0.0,,,-319500000,269100000,6383000000,-213600000.0,342100000,,-98000000.0,358200000,1.31,10112100000,342100000,-88400000.0,,1209100000,3764600000,46900000,256271000,342100000,1200300000.0,3154100000,66800000,-3600000.0,,1232800000,13266200000,176400000,202300000.0,189100000,,329600000,3860900000,12057100000,921100000,630300000,,1813200000.0,797100000.0,,854300000,4920100000,358200000,,518500000,,177100000,,-1233000000.0,4180400000,56300000.0,,,,43600000,81800000.0,652000000,-1059900000,311300000.0,-973000000.0,1041600000.0,1.34,,
1999-12-31,88200000,423900000,273792000,2456000000,3321800000,112600000,,589800000.0,10048400000,118800000,,,0.0,-45800000.0,,-587000000,334700000,7066100000,-88400000.0,-34300000,-60000000.0,-24400000.0,88200000,-0.12,11106300000,-32400000,-96800000.0,,996200000,3636100000,358200000,272281000,-32400000,1716100000.0,3495300000,82600000,7200000.0,,1126900000,14601600000,-3400000,252100000.0,190300000,272100000.0,432900000,4063900000,13605400000,865800000,1057900000,,2475400000.0,873000000.0,,783200000,5539300000,88200000,,-37700000,,238200000,,-1917400000.0,4650900000,-46100000.0,,,,-330600000,44200000.0,531100000,-424000000,-270000000.0,-314100000.0,-266800000.0,-0.12,,
2000-12-31,47909000,176782000,272544000,2013059000,2564730000,239345000,,501355000.0,10238368000,155285000,,,151072000.0,,,-624383000,303963000,8289423000,-153567000.0,-425523000,-237157000.0,308718000.0,47909000,-4.93,10922648000,-1343251000,,,907299000,3114515000,57814000,272172000,-1343251000,,1975821000,79932000,112519000.0,,-216353000,12898469000,-91455000,224031000.0,170056000,272507000.0,238655000,3701747000,11991170000,551671000,684280000,,,503292000.0,,471739000,6620561000,47909000,,-516978000,,281548000,,,4326130000,45039000.0,,,,-483140000,6143000.0,247708000,316034000,-9905000.0,-83370000.0,-564463000.0,-4.93,,
2001-12-31,29292000,220640000,285127000,2150957000,2510343000,245207000,,484150000.0,9436474000,309171000,,,0.0,,,-618194000,70309000,7983265000,62222000.0,-596627000,-291199000.0,272782000.0,29292000,-2.1,10147076000,-597796000,,386479000.0,829953000,2313973000,47909000,285127000,-597796000,,1432861000,70309000,45979000.0,,-814149000,11579937000,61199000,193937000.0,168975000,292154000.0,383335000,1357410000,10749984000,359386000,710602000,,1409309000.0,546747000.0,,483014000,6575754000,29292000,,-535428000,,211626000,,,1975604000,72695000.0,,,,-612879000,5812000.0,289077000,325410000,-18617000.0,-74164000.0,-727438000.0,-2.1,,
2002-12-31,200625000,116679000,294533000,1908508000,2272423000,126980000,,56387000.0,8955731000,252127000,,,-93332000.0,,,-631477000,378806000,7596368000,-39343000.0,-101223000,-207146000.0,350678000.0,200625000,-0.79,9420014000,-231880000,,291765000.0,754899000,1884508000,29292000,294533000,-231880000,,1303771000,89752000,,289174000.0,-1046029000,10723785000,-39740000,128546000.0,135529000,297010000.0,352172000,1188340000,9968886000,363915000,464283000,,1184178000.0,522453000.0,,113655000,6548770000,200625000,,-140963000,,161494000,,,1819817000,104345000.0,,,,-253632000,2043000.0,-14891000,326925000,171333000.0,-100045000.0,-505482000.0,-0.79,,
2003-12-31,239431000,182682000,300790000,1975853000,2341651000,62837000,,456523000.0,9006764000,258108000,,,0.0,,,-615724000,136755000,8083290000,180092000.0,85082000,-111683000.0,-71939000.0,239431000,0.28,9675711000,85082000,,233935000.0,673324000,1528883000,200625000,299801000,85082000,,1526958000,178101000,,,-938063000,11202669000,29251000,161058000.0,137121000,302040000.0,374108000,1250632000,10529345000,365798000,668947000,,1195423000.0,431401000.0,,390101000,7046480000,239431000,,114333000,,143426000,,,1866356000,4692000.0,,,,70062000,29742000.0,229043000,-37422000,38806000.0,-116000000.0,-300149000.0,0.28,,
2004-12-31,287785000,75075000,344675000,1524810000,1859308000,17872000,,221877000.0,3232943000,11798000,,10605000.0,0.0,-110258000.0,,-602306000,104852000,3940451000,12405000.0,117011000,-40342000.0,329864000.0,287785000,0.35,3544856000,113699000,,102156000.0,533497000,1178885000,239431000,318737000,113699000,,1853576000,130896000,,,-824364000,8199196000,-6213000,145293000.0,81526000,323225000.0,107805000,2477329000,7665699000,334498000,311913000,,1247919000.0,279474000.0,,374939000,1774584000,287785000,,110798000,,232878000,,,3079635000,19232000.0,,,,81287000,14961000.0,229646000,289524000,48354000.0,-96007000.0,-349635000.0,0.36,,
2005-12-31,446782000,20468000,306745000,1416778000,1715605000,37527000,,231129000.0,2965820000,213242000,,7834000.0,-1882000.0,-225152000.0,,-631413000,70554000,3464538000,133472000.0,56685000,66906000.0,158921000.0,446782000,-0.42,3237776000,-126730000,-22637000.0,97747000.0,650383000,1175463000,287785000,302213000,-126730000,,1588486000,84812000,,,-955974000,7536692000,34122000,87449000.0,68327000,294809000.0,312658000,2297883000,6886309000,298827000,271956000,,1123888000.0,141676000.0,,315722000,1648681000,446782000,,90807000,,102337000,,,2929296000,26080000.0,,,,-37577000,20359000.0,228273000,171015000,158997000.0,-99416000.0,-326191000.0,-0.42,,
2006-12-31,39880000,46176000,297371000,1402627000,1747295000,38989000,,75037000.0,4290738000,224692000,,5946000.0,-24716000.0,-27870000.0,,-653352000,134857000,4923653000,27639000.0,52604000,72298000.0,10639000.0,39880000,0.19,4698685000,56511000,-29431000.0,89319000.0,238337000,1912696000,446782000,292859000,56511000,,1594775000,94900000,16191000.0,266136000.0,-906394000,9729389000,44845000,141275000.0,39535000,293232000.0,324219000,3136601000,9491052000,344668000,407947000,,166526000.0,177341000.0,,351086000,2200701000,39880000,,97449000,,123399000,,,3789953000,38257000.0,1264272000.0,,,-60091000,20598000.0,209811000,-1297502000,-406902000.0,-99527000.0,565467000.0,0.19,,
2007-12-31,168594000,64283000,290444000,1816803000,2285303000,22368000,,53739000.0,3716843000,199171000,,52938000.0,-468519000.0,-505121000.0,,-768972000,139254000,4173343000,70625000.0,243317000,152590000.0,-17347000.0,168594000,0.85,4143283000,247729000,-34629000.0,98802000.0,421327000,1820106000,39880000,284966000,247729000,158691000.0,1492083000,137406000,-4512000.0,261964000.0,-797965000,8932244000,143670000,172514000.0,36203000,262858000.0,356182000,3021200000,8510917000,468500000,426440000,,118221000.0,140623000.0,,501760000,1756114000,168594000,,386987000,,146854000,,,3790172000,34652000.0,1198153000.0,,,191022000,46454000.0,329246000,378121000,128714000.0,-157011000.0,-605417000.0,0.87,,
2008-12-31,128397000,49148000,260446000,1736851000,2155622000,7555000,,78609000.0,6490922000,196080000,94633000.0,,0.0,-142155000.0,2999402000.0,-861856000,89975000,305353000,-118265000.0,97445000,36649000.0,-16424000.0,33764000,0.37,6817704000,97083000,-41501000.0,84835000.0,355510000,1821404000,168594000,257477000,97083000,0.0,1293179000,87447000,77857000.0,130623000.0,-726756000,8110883000,65717000,170483000.0,31603000,249472000.0,350181000,3026856000,7755373000,418771000,326782000,9970000.0,109219000.0,288677000.0,-8828000.0,467919000,1203861000,128397000,,163162000,,134274000,1359315000.0,-21741000.0,3888712000,109118000.0,1178969000.0,4354000.0,-143799000.0,-36753000,64048000.0,328796000,-151269000,-40197000.0,-154101000.0,-230510000.0,0.38,,
2009-12-31,179745000,68196000,252484000,1632336000,2053520000,7638000,,88683000.0,7042678000,288280000,149017000.0,,-8146000.0,0.0,889689000.0,-953197000,101550000,439927000,6436000.0,123093000,97142000.0,-16459000.0,30728000,0.49,7408193000,123098000,-40195000.0,77194000.0,377461000,1840532000,128397000,251709000,123098000,0.0,1482776000,102290000,69217000.0,147971000.0,-603876000,8890981000,76275000,163464000.0,31117000,254017000.0,372070000,3080139000,8513520000,421184000,365515000,9684000.0,117066000.0,246730000.0,-84932000.0,491813000,1274320000,179745000,,199368000,,128981000,1414509000.0,,4033336000,57866000.0,1201332000.0,2236000.0,-297496000.0,8715000,58429000.0,319634000,-152485000,51348000.0,-83790000.0,-178430000.0,0.49,,
2010-12-31,170846000,22502000,250602000,1741329000,2190552000,8513000,,116543000.0,7343965000,256480000,92464000.0,,-11828000.0,-116878000.0,987019000.0,-984856000,103689000,163353000,-44010000.0,127001000,112768000.0,26437000.0,78382000,0.5,7710592000,126417000,-40001000.0,96088000.0,381918000,1832380000,179745000,248871000,126417000,,1479456000,103689000,-1739000.0,132792000.0,-477459000,9190540000,92458000,174006000.0,34770000,241035000.0,354379000,3136485000,8808622000,449223000,366627000,8878000.0,165275000.0,323304000.0,-299083000.0,521661000,1111255000,170846000,,219459000,,128196000,1393716000.0,,4121341000,76934000.0,1307484000.0,1474000.0,-431238000.0,-73270000,0.0,345534000,-279710000,-8899000.0,-97899000.0,-88186000.0,0.51,,
2011-12-31,128569000,23554000,236669000,1837504000,2316040000,25803000,,358904000.0,7530009000,269737000,,,0.0,-197302000.0,1016506000.0,-1073136000,103860000,0,-46322000.0,146232000,105852000.0,3159000.0,128569000,0.61,7915617000,144903000,-44795000.0,89940000.0,328093000,1861116000,170846000,234242000,144903000,,1392094000,103860000,689000.0,,-367044000,9327812000,79404000,183684000.0,25513000,222956000.0,388112000,3116064000,8999719000,478536000,385608000,9144000.0,,405615000.0,-99570000.0,543102000,1430073000,128569000,,225636000,,133782000,1408849000.0,,4189200000,66512000.0,1361493000.0,3150000.0,-89796000.0,-99910000,0.0,374676000,-190257000,-42277000.0,-118375000.0,-238666000.0,0.62,,
2012-12-31,92708000,53669000,219066000,1885254000,2410481000,9999000,25240000.0,104025000.0,7908637000,253618000,40277000.0,,-7500000.0,-186766000.0,3727610000.0,-1171562000,123905000,1646688000,-93086000.0,154135000,111717000.0,-3816000.0,92708000,0.7,8320741000,152546000,-60296000.0,88319000.0,286199000,1916621000,128569000,215712000,152546000,,1343027000,123905000,1230000.0,135522000.0,-286795000,9683568000,91548000,189056000.0,24560000,211047000.0,369246000,1641101000,9397369000,525227000,412104000,10983000.0,257703000.0,656766000.0,-65463000.0,569807000,1113401000,92708000,,245683000,-67672000.0,135068000,4082013000.0,,2812663000,72984000.0,1382410000.0,6892000.0,-229045000.0,-20571000,0.0,401322000,-174954000,-35861000.0,-115628000.0,-231512000.0,0.71,,
2013-12-31,144873000,151514000,216014000,2006813000,2556382000,37711000,-284000.0,143385000.0,10839108000,271625000,,,-59397000.0,-1708000.0,4601014000.0,-1191085000,155136000,2691159000,-72810000.0,149104000,88441000.0,341000.0,144873000,0.67,11481692000,143848000,-57229000.0,84964000.0,393747000,3155548000,92708000,211811000,143848000,,1414230000,155136000,15916000.0,201145000.0,-145876000,12906070000,96615000,192805000.0,34565000,212317000.0,384709000,1922961000,12512323000,549569000,642584000,11925000.0,422486000.0,800655000.0,-1057122000.0,580884000,1377251000,144873000,,245719000,-14989000.0,142360000,4925645000.0,,3114046000,74100000.0,1922102000.0,6391000.0,-118196000.0,-6354000,21927000.0,394433000,-1156793000,52165000.0,-113084000.0,825115000.0,0.68,,
2014-12-31,177335000,118729000,214200000,2318199000,2994012000,13644000,-12038000.0,137270000.0,9994258000,172856000,,,4623000.0,-242874000.0,4496904000.0,-1281641000,184877000,1946047000,-111855000.0,176620000,59414000.0,-12225000.0,177335000,0.81,10546266000,172469000,-71517000.0,76148000.0,396856000,2963794000,141584000,210741000,172469000,,1368726000,184877000,8717000.0,186734000.0,-81859000,11923644000,225980000,237081000.0,29697000,204867000.0,317355000,1861403000,11526788000,675813000,552008000,13127000.0,393781000.0,688089000.0,-15336000.0,817252000,1343023000,177335000,,402600000,-32251000.0,177571000,4832009000.0,,3143044000,129671000.0,1810853000.0,8035000.0,-1022705000.0,89235000,14000.0,490936000,257286000,35751000.0,-144499000.0,-537967000.0,0.82,,
2015-12-31,134599000,116989000,204450000,2314435000,2986380000,12344000,20567000.0,140045000.0,10010091000,321200000,,,10023000.0,-345261000.0,4297039000.0,-1382188000,128188000,1965475000,-21592000.0,235324000,6164000.0,8066000.0,134599000,1.14,10529487000,233772000,-87570000.0,65769000.0,308409000,3071738000,177335000,200356000,233772000,,1184692000,128188000,9434000.0,162487000.0,-109351000,11718888000,135027000,235322000.0,27835000,195773000.0,472186000,1846722000,11410479000,671945000,519396000,13843000.0,370005000.0,704760000.0,-41258000.0,778570000,1335242000,134599000,,370351000,-47656000.0,172897000,4743483000.0,,3228910000,18048000.0,1796340000.0,1373000.0,-386198000.0,-509000,0.0,543757000,-166419000,-42736000.0,-150986000.0,-338478000.0,1.17,,
2016-12-31,194986000,110901000,196042000,2354703000,3031137000,14500000,47888000.0,155802000.0,10405032000,270149000,,,5492000.0,-227928000.0,4512211000.0,-1465252000,137730000,1965931000,-12905000.0,177305000,16492000.0,5150000.0,194986000,0.9,10942902000,177038000,-98418000.0,64682000.0,354396000,3196616000,134599000,193086000,177038000,,1092713000,137730000,5826000.0,161932000.0,-103387000,12038149000,149353000,244934000.0,26431000,189405000.0,463595000,1827587000,11683753000,676434000,537870000,14056000.0,368065000.0,690263000.0,-69146000.0,733685000,1422081000,194986000,,326658000,-87592000.0,162093000,4940226000.0,,3292839000,7490000.0,1799081000.0,7960000.0,-944643000.0,-49953000,0.0,538704000,-216132000,60387000.0,-193446000.0,-188930000.0,0.92,,
2017-12-31,330039000,364580000,192246000,2372842000,3095031000,13955000,81763000.0,173685000.0,10626087000,287839000,,,-17519000.0,-199637000.0,5009202000.0,-1574959000,154423000,2008577000,552000.0,546847000,41943000.0,175000.0,330039000,2.84,11455066000,546663000,-108750000.0,61092000.0,481296000,3135316000,194986000,187630000,546663000,,1409390000,154423000,5859000.0,182470000.0,210364000,12864503000,-146589000,248893000.0,25378000,186615000.0,502340000,1873044000,12383207000,722189000,828979000,14788000.0,374099000.0,394765000.0,-49988000.0,818276000,1549820000,330039000,,400258000,-73734000.0,169125000,5385988000.0,,3448003000,-317838000.0,1805981000.0,2470000.0,-1637591000.0,1617000,0.0,567766000,-235885000,135053000.0,-214501000.0,-136427000.0,2.91,,
