date,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualFreeCashFlow,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualBasicAverageShares,annualRetainedEarnings,annualNetOtherInvestingChanges,annualEndCashPosition,annualCurrentDebt,annualCurrentDeferredRevenue,annualTaxProvision,annualPretaxIncome,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualCashDividendsPaid,annualBasicEPS,annualNetIncome,annualOperatingIncome,annualAccountsPayable,annualRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualDilutedAverageShares,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualDilutedEPS,annualNetPPE,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualCapitalExpenditure,annualChangeInInventory,annualOperatingExpense,annualNetIncomeContinuousOperations,annualInvestingCashFlow,annualInterestExpense,annualPurchaseOfInvestment,annualCapitalStock,annualGoodwill,annualTotalRevenue,annualStockBasedCompensation,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualNetOtherFinancingCharges,annualResearchAndDevelopment,annualAccumulatedDepreciation,annualGrossProfit,annualInventory
2006-12-31,1269333000,89946000,136159000,8248000,-16746000,41340000,214043000,-962000,84564000,28001000,,20694000,72216000,1770082000,23304000,1149768000,,125266000,-24322000,1.75,72242000,91858000,158361000,,,,5000000,-5002000,493878000,58500000,84564000,78514000,928556000,384487000,72242000,810591000,41880000,417903000,200968000,1.72,294628000,2106000,70594000,458742000,,,150358000,315836000,545715000,86670000,-9323000,-123295000,93887000,11809000,841526000,638766000,189385000,17640000,,-64809000,-69974000,281617000,72242000,-86996000,22293000,-31930000,11876000,58401000,1523243000,,,-4659000,-3551000,92232000,-344138000,373475000,371962000
2007-12-31,2225145000,80791000,157503000,427000,-24367000,42041000,258202000,-916000,363887000,29077000,,13810000,88992000,2781492000,39287000,1454913000,,431312000,-27410000,1.82,76709000,145477000,273010000,,,,194694000,28196000,536262000,99414000,363887000,,1424091000,439370000,76709000,1267945000,42342000,353997000,261708000,1.81,350514000,12898000,298925000,957200000,,,244891000,433695000,963675000,376785000,279323000,280230000,84564000,-16445000,1357401000,778891000,264858000,92193000,,-104205000,-124381000,381371000,76709000,-262615000,25114000,-3377000,11886000,331810000,1981761000,,,-33138000,46000,126995000,-428377000,526848000,480603000
2008-12-31,2133839000,-125848000,80187000,188000,-13573000,42075000,429608000,-22228000,204670000,15413000,,54367000,306480000,2934147000,84801000,1870830000,,269760000,-32770000,4.85,204176000,250001000,340315000,,,,54138000,47811000,723833000,129437000,204670000,,1606604000,477010000,204176000,1316598000,42758000,339973000,209428000,4.78,384086000,73373000,270511000,817241000,,,379438000,477413000,960870000,278043000,-158132000,-195853000,362802000,91957000,1327543000,858176000,332456000,70068000,,-129241000,-169482000,517440000,204176000,-171707000,21043000,-62518000,11892000,323772000,2638271000,,,-8488000,-12892000,184984000,-474090000,767441000,647561000
2009-12-31,2196483000,-135967000,101829000,,-22413000,42305000,575469000,0,140709000,2663000,,38109000,247330000,3053677000,54772000,1982954000,,386534000,-76172000,5.08,214947000,262457000,299238000,,,375836000,145645000,3017000,832868000,123473000,140709000,,1625500000,659524000,214947000,1221844000,42983000,36338000,209722000,5,404675000,139563000,266426000,974639000,,-156183000,393231000,177225000,367137000,280272000,-63961000,-76380000,204670000,458000,1428177000,941227000,370274000,59602000,-48234000,-107893000,75431000,587026000,228513000,-197303000,22428000,-195876000,12006000,336910000,2832437000,5134000,-136224000,7606000,-110250000,216752000,-536552000,849483000,569848000
2010-12-31,2605649000,-89860000,46210000,,-18460000,42645000,695830000,0,151059000,58208000,,24037000,199361000,3611100000,0,1872263000,177191000,565396000,-63137000,4.3,183498000,207353000,360736000,0,40870000,397646000,310731000,1284000,966693000,132141000,151059000,143166000,1748303000,508035000,183498000,1366781000,43217000,346752000,184854000,4.25,503851000,63486000,313593000,1238868000,,-529629000,358011000,222233000,302691000,214545000,10350000,79909000,140709000,13259000,1862797000,1112829000,361142000,55936000,-229556000,-138644000,-49724000,590517000,194667000,-254413000,26509000,-208785000,12050000,483071000,2670133000,5211000,-84708000,-28162000,-1820000,234131000,-608978000,797870000,665270000
2011-12-31,2792790000,-59375000,68938000,,-56226000,42764000,724485000,0,202577000,130625000,407222000,13624000,104004000,3720510000,84989000,2085451000,154696000,537574000,-61633000,2.11,90288000,115664000,316264000,-10101000,63565000,405851000,167031000,18395000,898337000,150618000,202577000,147051000,1835087000,449618000,90288000,1597977000,43131000,162762000,190915000,2.09,517608000,21693000,263746000,1194813000,,-117902000,271391000,59961000,25954000,224270000,51518000,-84331000,151059000,2530000,1885423000,1198581000,375258000,48467000,-12173000,-121977000,-95363000,616350000,105757000,-55066000,16769000,-103006000,12093000,499326000,2817465000,1996000,-65062000,-8777000,-70831000,241092000,-680973000,732014000,761269000
2012-12-31,2760079000,-120341000,116745000,,-33544000,42190000,841748000,2070000,199241000,90237000,453382000,17099000,177042000,3810705000,103083000,2072742000,156497000,582355000,-50616000,3.98,167879000,203050000,260975000,-26006000,34451000,134196000,302583000,153000,1017115000,138796000,199241000,136240000,1884275000,454641000,167879000,1509044000,42277000,302680000,198382000,3.97,501286000,65555000,214963000,1251035000,-75724000,-373131000,336301000,55735000,4956000,264796000,-3336000,-84081000,202577000,204000,1926430000,1243744000,379428000,48787000,-4241000,-81637000,10022000,612815000,171103000,-117638000,20463000,-341678000,12105000,500598000,2888607000,3326000,-91988000,6579000,-1874000,233387000,-742458000,815865000,751247000
2013-12-31,2738999000,-155809000,103956000,,-25219000,42139000,974516000,795000,193737000,63111000,349998000,25313000,203019000,3933168000,45945000,2100304000,164854000,602021000,-75549000,4.35,183417000,239392000,301480000,0,18321000,141086000,47244000,-92000,1177012000,129348000,193737000,159840000,1996006000,572398000,183417000,1435133000,42295000,1152000,166975000,4.34,481408000,71625000,167957000,1303866000,,-286067000,349351000,55634000,4766000,265362000,-5504000,-101186000,199241000,-11370000,1937162000,1295517000,364973000,73502000,-6222000,-63019000,-4785000,585455000,190738000,-71293000,16984000,-53051000,12302000,501793000,2925151000,440000,-108337000,221000,0,220482000,-814109000,824847000,756032000
2014-12-31,2782386000,-75985000,106626000,,-96583000,42654000,1091671000,0,200407000,82515000,413223000,25624000,199488000,4021281000,130215000,2133151000,120299000,514639000,-68277000,4.01,170980000,246866000,369659000,0,3100000,135546000,60274000,-91000,1226667000,122408000,200407000,153496000,2249044000,574090000,170980000,1624157000,42677000,984000,177837000,4.01,441535000,105519000,132921000,1158229000,,-401371000,335465000,58217000,40313000,305926000,8670000,-89049000,191737000,-12396000,1772237000,1268546000,356171000,68435000,-4620000,-71211000,-112747000,578231000,179413000,-80118000,13569000,-90317000,12330000,504611000,2958248000,322000,-67177000,-47456000,0,228011000,-827011000,825097000,868799000
2015-12-31,2724171000,67864000,335653000,,-71610000,42711000,1232610000,0,299322000,113359000,437202000,46235000,248554000,4126558000,74828000,2210528000,167601000,392729000,-69792000,4.74,202509000,268578000,347366000,,31435000,140207000,128908000,-92000,1394334000,122354000,299322000,160413000,2282807000,562616000,202509000,1637794000,42733000,652000,434828000,4.74,449759000,33102000,147622000,1086377000,,-282167000,382689000,99668000,8289000,332424000,98915000,-154350000,200407000,-6125000,1843751000,1314847000,385059000,44738000,-165288000,-99175000,39801000,628475000,206861000,-181563000,11781000,-57571000,12341000,622654000,3107581000,139000,31860000,15928000,0,243416000,-865088000,897053000,837111000
2016-12-31,2784623000,-134632000,83781000,,-72181000,42742000,1398112000,-1538000,222810000,233983000,347393000,45617000,279201000,4351864000,65389000,2300636000,174529000,171541000,-68447000,5.54,236909000,298976000,514106000,,9762000,188353000,37513000,-92000,1559840000,122888000,222810000,187051000,2453234000,723538000,236909000,1925998000,42752000,462000,208002000,5.54,474109000,22252000,109401000,858625000,,-103782000,415600000,78142000,5429000,245062000,-76512000,-166697000,299322000,1743000,1898630000,1396980000,422390000,58298000,-20815000,-124221000,-8040000,660607000,238808000,-117817000,13511000,-26039000,12345000,616997000,3260219000,70000,-297439000,2683000,0,255792000,-922871000,959583000,840266000
2017-12-31,2996945000,-279372000,-6987000,,-87652000,42750000,1561921000,,156074000,201306000,418560000,55585000,284846000,4714917000,80198000,2379905000,133649000,244379000,-75300000,5.59,239109000,319300000,633689000,,4954000,182612000,58734000,-92000,1708310000,114017000,156074000,204187000,2611034000,747327000,239109000,2088949000,42753000,298590000,100893000,5.59,495716000,16497000,105688000,907996000,,-222957000,416186000,48692000,12200000,172571000,-66736000,-52060000,222810000,-4439000,2103883000,1495224000,413560000,68159000,-30404000,-107880000,-59699000,678620000,240622000,-115569000,17323000,-42289000,12347000,646715000,3377825000,13000,-315236000,28774000,,265060000,-999508000,997920000,902954000
2018-12-31,4596377000,-141741000,89358000,,-94944000,42753000,1691921000,,208479000,271367000,780994000,26445000,237322000,6450785000,,2707505000,175890000,523952000,-75305000,4.84,206738000,292832000,776100000,,4149000,205182000,30445000,-92000,1832453000,118205000,208479000,293902000,3278985000,968064000,206738000,2910453000,42753000,365436000,191659000,4.84,686620000,16447000,239297000,1685924000,,-56307000,383812000,170607000,23936000,224926000,52405000,453616000,156074000,-14811000,3171800000,2195270000,441362000,78677000,-514858000,-102301000,-117221000,683347000,208655000,-592870000,28285000,-10544000,12348000,1022624000,3683684000,1387000,-89099000,13724000,,287352000,-1508650000,976179000,1141996000
2019-12-31,5175518000,-378097000,-190922000,184840000,-144963000,,1862059000,344913000,221060000,408281000,723581000,19414000,246295000,7335358000,,3371933000,62830000,440124000,-62578000,,227857000,321610000,926338000,,1318000,212063000,17545000,-93000,2141406000,137146000,221060000,263390000,3671767000,1030372000,227857000,3172845000,,,-53318000,,1132295000,2213000,295323000,2002673000,,-298856000,411628000,225478000,8326000,,12581000,172688000,208479000,-30850000,3663591000,2678429000,516149000,114419000,-365711000,-137604000,-55841000,814857000,228655000,-106789000,28187000,-2603000,12742000,1340617000,4508400000,3994000,-267924000,-15059000,,331757000,-1546134000,1136467000,1219920000
