date,annualNetOtherInvestingChanges,annualGoodwill,annualTotalAssets,annualDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualRetainedEarnings,annualAccountsReceivable,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualBasicAverageShares,annualOperatingIncome,annualInvestingCashFlow,annualLongTermDebt,annualCashDividendsPaid,annualEndCashPosition,annualFreeCashFlow,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualOtherNonCashItems,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualStockholdersEquity,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentAccruedExpenses,annualOperatingCashFlow,annualChangeInAccountPayable,annualOtherIntangibleAssets,annualDilutedAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualNetPPE,annualGrossPPE,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualPurchaseOfBusiness,annualNetOtherFinancingCharges,annualCurrentDebt,annualBasicEPS,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualTotalRevenue,annualCapitalStock,annualChangesInAccountReceivables,annualInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualInventory,annualResearchAndDevelopment,annualGrossProfit,annualOtherNonCurrentAssets,annualOtherCurrentAssets,annualCurrentAssets,annualOtherCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,annualStockBasedCompensation,annualIncomeTaxPayable,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,annualOperatingExpense,annualChangeInInventory,annualEbitda,annualDeferredIncomeTax,annualCurrentLiabilities,annualCostOfRevenue,annualCashFlowFromContinuingFinancingActivities
2002-12-31,353000000,,147226000000,0.434557,147226000000,449000000,4354000000,378286440,-145000000,-32882000000,,1033899160,,-8522000000,8330349200,-509000000,1086000000,4135000000,484000000,,-453000000,1086000000,335000000,4878000000,96735000000,44000000,,4189000000,,1604000000,1033899160,8636000000,40000000,7550000000,24068000000,,10972791400,,449000000,-165000000,-57000000,1313000000,,693000000,-12000000,509000000,1633650800,0.434557,-54000000,440000000,4130000000,100000000,,,591000000,,2283000000,,,,,,,,,,,,,,,,,,,,
2003-12-31,-31130000000,0,161709000000,0.192282,158362000000,208000000,4572000000,150266090,-155000000,-626000000,2225000000,1079665320,,0,4445000000,-447000000,332000000,5165000000,350000000,,88000000,1221000000,367000000,3240000000,101495000000,144000000,,5230000000,,2657000000,1079665320,1221000000,30000000,6470000000,27577000000,,11106842630,,208000000,-125000000,332000000,1086000000,,681000000,0,296000000,,0.192282,-65000000,206000000,16950000000,100000000,,,1265000000,,2890000000,,,,,,,,,,,,,,,,,,,,
2004-12-31,-28498000000,,178006000000,0.55,145826000000,516000000,4339000000,98963400,-228000000,-3653000000,,1064500000,,7416000000,11806000000,-323000000,4341000000,-7168000000,1561000000,,-7854000000,4341000000,241000000,32043000000,135231000000,952000000,,-6941000000,,5287000000,1064500000,4341000000,1484000000,10840000000,24445000000,-61000000,12349590600,,516000000,-255000000,1655000000,2756000000,,2106000000,-92000000,-31000000,,0.55,-227000000,609000000,22240000000,119000000,,,1758000000,,4880000000,,,,,,,,,,,,,,,,,,,,
2005-12-31,21394000000,1341000000,207436000000,0.632,201098000000,748000000,3511000000,1305000000,,,49879000000,1182500000,,5976000000,16257000000,-328000000,3586000000,-6518000000,998000000,,-30829000000,3586000000,,6166000000,159019000000,241000000,,-6358000000,20487690000,2440000000,1182500000,3586000000,171000000,3879000000,,-308000000,910000000,910000000,748000000,-308725000,-847000000,4341000000,,2084000000,-68000000,-212617500,,0.632,-160000000,757000000,41125000000,5194000000,-22478675000,208000000,0,0,20432000000,,,,,,,,,,,,,,,,,,,,
2006-12-31,-6000000,1341000000,216520000000,0.724,210900000000,874000000,3642562550,1052000000,-125182750,,9758000000,1206500000,2071000000,-102000000,16002000000,-323000000,5071000000,1822000000,1372000000,517000000,-9134000000,5071000000,,5488000000,186180000000,392000000,,1996000000,14410833800,830000000,1206500000,5071000000,15000000,,,-1000000,1133000000,1133000000,874000000,-1000000,1585000000,3586000000,,1917000000,-70000000,-213000000,,0.724,-174000000,980000000,35031000000,122000000,-13990321950,177000000,0,0,420000000,,,,,,,,,,,,,,,,,,,,
2007-12-31,-538000000,1341000000,219382000000,0.772,213218000000,947000000,4301000000,909000000,-111523920,,3556000000,1222500000,1185000000,-719000000,6560000000,-255000000,4951000000,727000000,1063000000,599000000,-237000000,4951000000,,6062000000,190362000000,354000000,,958000000,12934262920,271000000,1222500000,4951000000,6000000,,,-150000000,1012000000,1012000000,947000000,-150000000,-160000000,5071000000,,2457000000,-168000000,-180000000,,0.774,-231000000,709000000,32870000000,123000000,-12512280520,168000000,0,0,551000000,,,,,,,,,,,,,,,,,,,,
2008-12-31,0,1341000000,215542000000,-0.32,210429000000,-396000000,3604000000,1232000000,,,3843000000,1236000000,-2074000000,-229000000,6243000000,-297000000,5955000000,728000000,-450000000,630000000,-107000000,5955000000,,5058000000,181442000000,-59000000,,968000000,,174000000,1236000000,5955000000,12000000,,,,635000000,635000000,-396000000,,454000000,4951000000,,1146000000,0,-176000000,,-0.32,-240000000,-391000000,-10267000000,125000000,,172000000,0,0,3978000000,,,,,,,,,,,,,,,,,,,,
2009-12-31,0,1310000000,227754000000,0.54,221451000000,676000000,3964000000,636000000,,,3809000000,1250500000,1564000000,-554000000,5442000000,-344000000,5307000000,17000000,1564000000,594000000,697000000,5307000000,,6271000000,187148000000,873000000,594000000,108000000,,4279000000,1253000000,107058000000,3000000,101751000000,,,367000000,367000000,676000000,-249000000,-430000000,5955000000,41195000000,1234000000,-517000000,-216000000,2896000000,0.54,-91000000,691000000,48099000000,127000000,,209000000,0,0,-2139000000,,,,,,,,,,,,,,,,,,,,
2010-12-31,0,1466000000,260806000000,1.132,252731000000,1431000000,4982000000,555000000,,,3372000000,1262000000,2072000000,-234000000,5722000000,-449000000,6631000000,1855000000,2072000000,707000000,12000000,6631000000,,8031000000,220084000000,636000000,707000000,1948000000,,4885000000,1264500000,122983000000,13000000,116352000000,,,612000000,612000000,1431000000,0,1268000000,5307000000,41188000000,1666000000,-145000000,-10000000,3843000000,1.134,-93000000,1436000000,47646000000,127000000,,257000000,0,0,-136000000,,,,,,,,,,,,,,,,,,,,
2011-12-31,0,1465000000,273580000000,1.174,264420000000,1490000000,5839000000,987000000,,,2544000000,1266500000,1926000000,-167000000,7923000000,-642000000,7257000000,1614000000,1926000000,736000000,1560000000,7257000000,,9117000000,219426000000,432000000,736000000,1738000000,,6801000000,1269000000,7257000000,17000000,,,,748000000,748000000,1490000000,-333000000,658000000,6631000000,,1869000000,-53000000,-295000000,2544000000,1.176,-124000000,1494000000,36506000000,127000000,,286000000,4211000000,0,137000000,,,,,,,,,,,,,,,,,,,,
2012-12-31,23000000,1647000000,310253000000,1.728,299889000000,2197000000,6851000000,294000000,,,1134000000,1270500000,3188000000,-326000000,5187000000,-655000000,6384000000,307000000,2810000000,833000000,-8445000000,6384000000,,10359000000,248074000000,613000000,,446000000,,4345000000,1272000000,6384000000,17000000,,,,765000000,765000000,2197000000,0,-772000000,7257000000,,2021000000,-224000000,-279000000,1535000000,1.73,-139000000,2197000000,55476000000,128000000,,280000000,3970000000,-489000000,25741000000,,,,,,,,,,,,,,,,,,,,
2013-12-31,0,1638000000,325932000000,1.054,316281000000,1346000000,7425000000,319000000,,,1159000000,1274000000,2082000000,-584000000,5945000000,-781000000,6785000000,1103000000,1635000000,824000000,-9410000000,6785000000,,9650000000,260201000000,289000000,,1324000000,,5367000000,1276000000,6785000000,6000000,,,,920000000,920000000,1346000000,,789000000,6126000000,,2184000000,-405000000,-300000000,1634000000,1.056,-221000000,1346000000,52255000000,128000000,,305000000,3778000000,-497000000,23858000000,,,,,,,,,,,,,,,,,,,,
2014-12-31,152000000,1649000000,369204000000,1.736,357392000000,2216000000,8788000000,396000000,,,1431000000,1274500000,3154000000,-545000000,5887000000,-895000000,6409000000,1656000000,2614000000,947000000,-9662000000,6409000000,,11811000000,298753000000,398000000,,1828000000,,7322000000,1276000000,6409000000,13000000,,,,978000000,978000000,2216000000,-445000000,-383000000,6785000000,,2306000000,-535000000,-339000000,1704000000,1.738,-172000000,2216000000,60113000000,128000000,,341000000,4291000000,-577000000,31089000000,,,,,,,,,,,,,,,,,,,,
2015-12-31,0,1648000000,386985000000,2.018,374029000000,2579000000,10436000000,414000000,,,1828000000,1276500000,3321000000,-469000000,7122000000,-974000000,7782000000,2277000000,3148000000,952000000,-9555000000,7782000000,,12955000000,313511000000,569000000,,2533000000,,8472000000,1278000000,7782000000,7000000,,,,1197000000,1197000000,2579000000,0,1390000000,6409000000,,2495000000,-286000000,-297000000,1107000000,2.02,-256000000,2579000000,41305000000,128000000,,312000000,4010000000,-670000000,7828000000,,,,,,,,,,,,,,,,,,,,
2016-12-31,0,1628000000,470498000000,1.5,455831000000,1921000000,10942000000,493000000,,,2520000000,1280000000,3212000000,-549000000,10404000000,-1267000000,10065000000,1853000000,2275000000,1150000000,-11405000000,10065000000,,14666000000,379684000000,354000000,,2201000000,,10807000000,1281000000,10065000000,13000000,,,,743000000,743000000,1921000000,0,1281000000,7782000000,,2370000000,-303000000,-344000000,1052000000,1.5,-348000000,1921000000,71604000000,129000000,,360000000,5370000000,-773000000,38996000000,,,,,,,,,,,,,,,,,,,,
2017-12-31,,1482000000,493941000000,1.86,477847000000,2390000000,12326000000,542000000,,,2296000000,1283500000,,816000000,11741000000,-1159000000,10690000000,1486000000,3296000000,,-9413000000,10690000000,,16087000000,406604000000,906000000,,1620000000,,12493000000,1284000000,10690000000,21000000,,,,789000000,1408000000,2390000000,-751000000,734000000,10065000000,,2430000000,-351000000,,485000000,1.862,-134000000,2390000000,86562000000,129000000,,425000000,4715000000,-619000000,48237000000,,,,,,,,,,,,,,,,,,,,
2018-12-31,,1857000000,508645000000,2.336,491378000000,3010000000,14206000000,670000000,,,2363000000,1287500000,,-789000000,12507000000,-1244000000,12125000000,2175000000,3635000000,,-10782000000,12125000000,,17249000000,401828000000,622000000,,2464000000,,11923000000,1288000000,12125000000,17000000,,,,1409000000,2053000000,3010000000,-534000000,1131000000,10690000000,,1993000000,-504000000,654000000,472000000,2.338,-289000000,3013000000,24931000000,130000000,,410000000,4022000000,-644000000,-13048000000,,,,,,,,,,,,,,,,,,,,
2019-12-31,,969000000,454214000000,,434545000000,783000000,13575000000,790000000,,,2831000000,,,-324000000,7089000000,-1634000000,6965000000,-273000000,1922000000,,-7290000000,6965000000,,19477000000,386398000000,-31000000,,-209000000,,17476000000,,,22000000,,,,1065000000,1772000000,783000000,-504000000,-2990000000,15442000000,5019000000,700000000,-635000000,,520000000,,-64000000,1953000000,93736000000,172000000,,516000000,5237000000,-707000000,61164000000,,,,,,,,,,,,,,,,,,,,
