date,annualChangeInCashSupplementalAsReported,annualChangesInAccountReceivables,annualCurrentAssets,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualGrossPPE,annualInterestExpense,annualNetIncomeCommonStockholders,annualBasicEPS,annualDeferredIncomeTax,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualRepaymentOfDebt,annualOtherIncomeExpense,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualStockBasedCompensation,annualCurrentDebt,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualCostOfRevenue,annualCapitalStock,annualNetOtherFinancingCharges,annualDilutedEPS,annualAccumulatedDepreciation,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualGrossProfit,annualOperatingExpense,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualTotalAssets,annualRetainedEarnings,annualNetIncome,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualAccountsReceivable,annualCashDividendsPaid,annualPretaxIncome,annualSaleOfInvestment,annualCommonStockIssuance,annualOperatingIncome,annualOtherNonCashItems,annualDilutedAverageShares,annualTotalRevenue,annualPurchaseOfInvestment,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualTaxProvision,annualEndCashPosition,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualOperatingCashFlow,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualBasicAverageShares,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualEbitda,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualResearchAndDevelopment,annualPurchaseOfBusiness,annualGoodwill
1989-12-31,,,,,,,,-551400000,-6.36,,,,,,,,,,,,,,,,,-6.36,,,,,,,124600000,,,,,-551400000,,,,,,,,1507900000,,86698113,1507900000,,,,,,,,,,,,,,,,,86698113,,,,,1507900000,,,,,,
1990-12-31,,,,,,,,97300000,1.12,,,,,,,,,,,,,,,,,1.12,,,,,,,70200000,,,,,97300000,,,,,,,,1596600000,,86875000,1596600000,,,,,,,,,,,,,,,,,86875000,,,,,1596600000,,,,,,
1991-12-31,,,,,,,,-186800000,-2.15,,,,,,,,,,,,,,,,,-2.15,,,,,,,-340300000,,,,,-186800000,,,,,,,,1474600000,,86883721,1474600000,,,,,,,,,,,,,,,,,86883721,,,,,1474600000,,,,,,
1992-12-31,,,,,,,,156400000,1.8,,,,,,,,,,,,,,,,,1.8,,,,,,,150400000,,,,,156400000,,,,,,,,1689600000,,86888889,1689600000,,,,,,,,,,,,,,,,,86888889,,,,,1689600000,,,,,,
1993-12-31,,,,,,,,189300000,2.17,,,,,,,,,,,,,,,,,2.16,,,,,,,170000000,,,,,189300000,,,,,,,,1718500000,,87638889,1718500000,,,,,,,,,,,,,,,,,87235023,,,,,1718500000,,,,,,
1994-12-31,-17400000,,435600000,52100000,4211300000,6827100000,245000000,200600000,2.3,78800000,,6474200000,,50700000,-255300000,210000000,-261400000,125600000,,210000000,83800000,,300700000,1909800000,-100000,2.3,-2203000000,241900000,1418700000,1384800000,850900000,-5900000,200600000,4864800000,4800000,6909800000,135200000,200600000,,2588500000,136100000,-72100000,323600000,,,533900000,271700000,87410967,1685500000,,2045000000,-253100000,,123000000,34700000,195300000,532100000,497200000,,126800000,,,,,,87410967,4624100000,,1119000000,-124100000,805600000,2000000,34700000,34700000,,,
1995-12-31,44800000,,430500000,34700000,4245000000,6878700000,226300000,188000000,2.15,61100000,,6566600000,,-3500000,-295800000,-100000,-206600000,100000000,,186600000,66100000,,269800000,1907300000,-14000000,2.15,-2231600000,260100000,1425800000,1400000000,837500000,31300000,199600000,4847400000,25600000,6997100000,242400000,188000000,,2510700000,131400000,-80900000,327600000,,,562500000,276300000,87419300,1669800000,,2149700000,-304400000,,128000000,79500000,203000000,504500000,555900000,,115000000,,,,,,87419300,4647100000,,1111300000,,838800000,-8600000,79500000,79500000,,,
1996-12-31,-52900000,,450300000,79500000,4175200000,7081200000,195300000,181300000,2.07,13400000,,6539000000,,-6700000,-258600000,-100000,-341300000,88000000,,173200000,110900000,,325500000,1855100000,-22200000,2.07,-2426100000,313900000,1433700000,1492300000,948400000,51800000,211100000,4800300000,11900000,6989300000,334000000,181300000,,2372100000,169200000,-89600000,339600000,,,543900000,334800000,87441515,1817800000,,2189000000,-284100000,,128500000,26700000,193400000,550600000,572500000,,184100000,,,,,,87441515,4655100000,,1088400000,-50400000,878700000,-25500000,26700000,26700000,,,
1997-12-31,800000,,449100000,26700000,4077300000,7298200000,179400000,235900000,2.76,24800000,,6401300000,,4600000,,239500000,-291900000,80200000,,239500000,99300000,,436600000,1725000000,-2900000,2.74,-2620600000,637600000,1414400000,1558500000,1000800000,3200000,235900000,4651800000,7800000,6850400000,473700000,235900000,,2244200000,183500000,-96200000,386200000,,,557700000,401900000,86094891,1995100000,,2198600000,-344900000,,150300000,27500000,166800000,523700000,637600000,,117400000,,,,,,85502909,4677600000,,1039200000,-127200000,959500000,-344900000,27500000,27500000,,,
1998-12-31,-6900000,,456800000,27500000,3898400000,7545400000,169100000,242900000,2.87,41300000,,6367900000,,600000,-319100000,100000,-272900000,83100000,,346800000,51600000,,537500000,1645800000,-3600000,2.85,-2814800000,286700000,1370800000,1593100000,1025900000,-68600000,242900000,4566100000,-2800000,6824700000,612700000,242900000,,2049000000,233900000,-103800000,407500000,,,567200000,412500000,85345946,2130600000,,2258600000,-339900000,,164600000,20500000,137500000,640200000,605800000,,155800000,,,,,,84774218,4730600000,,968500000,-75500000,979800000,-20800000,20500000,20500000,,,
1999-12-31,200000,,498800000,20500000,3903500000,7804700000,162400000,167900000,1.98,-17400000,,6109700000,,10800000,-343400000,153100000,-264200000,91900000,,153100000,68700000,,796100000,1537400000,-12000000,1.97,-3026200000,292200000,1187700000,1627300000,1048500000,19500000,269800000,4402800000,-8800000,6608500000,668300000,167900000,,2206100000,244600000,-112300000,437900000,,,578800000,399800000,85008527,2423400000,,2205700000,-371300000,,168100000,20700000,155900000,495500000,635600000,,186500000,,,,,,84717135,4778500000,,1225500000,-96500000,995800000,-27900000,20700000,20700000,,,
2000-12-31,-10342000,,793913000,20705000,,8321495000,171239000,302332000,3.57,-8973000,,6355238000,,-186000,-658608000,546244000,12105000,91371000,,546244000,103791000,,1934783000,1532831000,-4618000,3.56,-3188302000,40952000,1143040000,1755392000,1079421000,3822000,302332000,4766437000,475000,7149151000,849883000,302332000,,1955083000,513822000,,526184000,,,675971000,-23332000,84935000,3690175000,,2382714000,-722007000,,223852000,10363000,269249000,1191298000,699560000,,375805000,,,,,,84733000,5133193000,,1159439000,-120733000,1100464000,-63399000,10363000,10363000,,,
2001-12-31,18256000,,727405000,10363000,,9285404000,175822000,312166000,3.68,-16939000,,7254343000,,-5765000,-1040585000,531902000,567130000,108238000,,531902000,147176000,,2664218000,1531038000,-1048000,3.68,-3378089000,-469655000,1064993000,1887155000,1212528000,-40767000,327367000,5482425000,-16867000,7981748000,1032850000,312166000,,2673078000,367241000,-129199000,540902000,,,674627000,-21159000,84930000,4551373000,,2499323000,-1119804000,,213535000,28619000,289903000,1090929000,570930000,,269124000,,,,,,84718000,5907315000,-64565000,1282431000,,1130892000,-79219000,28619000,28619000,,,
2002-12-31,49088000,,812688000,28619000,,9953723000,188353000,149408000,1.76,196324000,,7613118000,,-18551000,-895522000,383206000,81311000,119837000,,383206000,167234000,,693582000,1737258000,2624000,1.76,-3474325000,-24748000,1209074000,1943697000,1427650000,2072000,215153000,5739653000,-11599000,8425806000,1044537000,149408000,,2881695000,374995000,-137721000,353253000,,199238000,516047000,-29892000,84964000,2637279000,,2686153000,-902997000,,138100000,77707000,315604000,1055115000,870774000,,356305000,,,,,,84903000,6479398000,-91284000,1018603000,,972118000,-7475000,77707000,77707000,,,
2003-12-31,151213000,,969047000,77566000,5045202000,10698818000,175146000,240579000,2.64,81756000,,8567331000,,14989000,-693475000,511561000,-33851000,124466000,,511561000,250070000,,862181000,1744354000,8181000,2.63,-3218728000,208355000,1329253000,1955671000,1473617000,119428000,230576000,6706599000,-4629000,9536378000,1127699000,240579000,,2897725000,365732000,-157417000,336136000,,,482054000,,91405000,2817852000,,2829779000,-716766000,,105560000,228779000,345986000,1150974000,901830000,,293427000,,,,,,91265000,7480090000,-39001000,976533000,,948954000,-50484000,228779000,228779000,,,
2004-12-31,32304000,,1137130000,131062000,4814009000,10795955000,179548000,243195000,2.66,-113850000,,8759617000,,32479000,-538232000,688195000,-277823000,121845000,,688195000,488952000,,949580000,1769047000,11396000,2.66,-3365954000,303848000,1227553000,1950145000,1443886000,299976000,235218000,6946551000,2621000,9896747000,1204122000,243195000,,2584985000,362967000,-166772000,364075000,951630000,18291000,506259000,47579000,91532000,2899725000,-1040955000,2950196000,-531953000,,128857000,163366000,564175000,1625896000,842080000,,373526000,,,,,,91397000,7430001000,-22545000,1116702000,,937810000,4637000,163366000,163366000,,,
2005-12-31,-9363000,,1891392000,163366000,5033114000,11109051000,173069000,176267000,1.83,-23806000,,9431253000,,-3356000,-633532000,400620000,-154567000,133394000,,400620000,1106293000,,888232000,2067377000,-20426000,1.82,-3622884000,96764000,1225253000,2099723000,1584434000,-45015000,223163000,7897681000,-16836000,11322645000,1193712000,176267000,,2608455000,497702000,-186677000,350055000,3143481000,298168000,515289000,207276000,96590000,2987955000,-2962278000,3424964000,-585092000,,126892000,154003000,1494346000,2272073000,730296000,,377107000,,,,,,96484000,7486167000,165120000,1718286000,,896893000,52283000,154003000,154003000,,,
2006-12-31,-66793000,,1474662000,154003000,5915836000,11583303000,175837000,327255000,3.29,27738000,,9981281000,,-2651000,-737779000,37346000,108438000,147775000,,37346000,743646000,,1251286000,0,30427000,3.27,-3797475000,-344277000,1225798000,2150462000,1531592000,-374891000,317143000,8009827000,-9094000,11455943000,1319747000,327255000,,3232633000,496031000,-201220000,473561000,1446325000,39548000,618870000,-238697000,100010000,3401748000,-1439404000,3446116000,-568733000,,156418000,87210000,1075167000,1458560000,393502000,,346047000,,,,,,99417000,7785828000,12268000,1994662000,,1270967000,-45495000,87210000,87210000,,,
2007-12-31,-30889000,,947447000,87210000,5684570000,12335587000,189557000,307143000,3.06,-58027000,,10296265000,,-12845000,-918581000,504434000,184529000,177551000,,504434000,262350000,,1435159000,0,-2509000,3.05,-4004944000,-260645000,1243743000,2088461000,1469210000,-65978000,298780000,7712101000,-29776000,11243712000,1413741000,307143000,,3127125000,451225000,-210473000,449700000,69225000,24089000,619251000,70902000,100835000,3523620000,-36525000,3531611000,-873354000,,150920000,56321000,557187000,1384967000,657936000,,323346000,,,,,,100256000,8330643000,-15863000,1745082000,,1023147000,12527000,56321000,56321000,,,
2008-12-31,48924000,80834000,882482000,56321000,969891000,12926482000,197470000,242125000,2.4,158024000,,10737611000,-181491000,-54112000,-935577000,246245000,50515000,253692000,,848115000,54428000,,1478813000,0,3891000,2.4,-4141546000,-122009000,1403318000,1888263000,1357717000,-157181000,213557000,8174114000,22588000,11620093000,1444208000,242125000,,3031603000,292682000,-204247000,278964000,411790000,3687000,530546000,84307000,100965000,3367076000,-338361000,3445979000,-815159000,,65407000,105245000,40741000,1505928000,813568000,-69439000,261029000,,131722000,,109798000,909958000,100691000,8784936000,-146698000,795490000,,866792000,46989000,105245000,105245000,,,
2009-12-31,40133000,12292000,928737000,105245000,1614067000,13498625000,223114000,68330000,0.68,105492000,,10879418000,-951881000,-253714000,-764609000,252508000,-286015000,218547000,,431408000,78084000,,1281001000,0,171000,0.67,-4405189000,266456000,1496095000,2016100000,1435874000,-16050000,67231000,8462475000,21572000,11808155000,1298213000,68330000,,3370524000,301915000,-205076000,105058000,484612000,3302000,580226000,283752000,101264000,3297101000,-463033000,3316109000,-704917000,,37827000,145378000,54596000,1083160000,1031065000,-27328000,240637000,7379315000,164380000,,,673511000,101161000,9093436000,-131587000,781714000,,771332000,38113000,145378000,145378000,,,
2010-12-31,-35190000,-67943000,931930000,145378000,1622621000,13855385000,227635000,350053000,3.28,260411000,,11430773000,-243687000,15415000,-748374000,266361000,-209747000,202989000,,648479000,102150000,,1046815000,0,-5052000,3.27,-4812568000,2083000,1833566000,2216830000,1492946000,-262745000,350598000,8587477000,12276000,12362703000,1423961000,350053000,,2948991000,324207000,-216979000,514919000,632507000,255971000,723884000,-50916000,107138000,3263645000,-584885000,3683327000,-575900000,,164321000,110188000,54831000,1310736000,750457000,9125000,236354000,7276741000,184952000,,,625134000,106573000,9042817000,-159767000,1512767000,,1215361000,124852000,110188000,110188000,,,
2011-12-31,-76605000,,956470000,110188000,190166000,14833239000,223637000,339473000,3.11,176192000,,12154548000,-655169000,14517000,-884350000,290946000,-420181000,226387000,,477435000,95976000,72176000,1009464000,0,-12878000,3.09,-5041552000,241233000,1925388000,2231915000,1485407000,204705000,355634000,9180432000,-23398000,13111018000,1534483000,339473000,116805000,2953507000,284183000,-221728000,539238000,499155000,15841000,746508000,49523000,109864000,3241379000,-513799000,3821850000,-782007000,493784000,183604000,33583000,54872000,1342705000,1125583000,58346000,326987000,7837727000,170571000,0,,513733000,109053000,9791687000,-152163000,64588000,,1256659000,33780000,33583000,33583000,,,
2012-12-31,-7381000,14587000,1005726000,33583000,354789000,15519861000,199645000,381542000,3.48,228602000,,12373889000,-654286000,2961000,-889551000,333430000,-305509000,249430000,,215003000,108359000,79689000,1879559000,0,-10359000,3.45,-5285618000,281571000,2151371000,1422245000,570490000,116422000,418993000,9277326000,-23043000,13379615000,1624102000,381542000,109359000,3199088000,277225000,-225075000,656310000,417603000,15955000,851755000,49137000,110527000,3301804000,-434852000,3972806000,-872994000,481262000,237317000,26202000,49380000,1083542000,1171122000,-96600000,221312000,8193784000,162150000,,,570625000,109510000,10234243000,-114008000,62694000,,1337217000,33806000,26202000,26202000,,,
2013-12-31,-16676000,-44991000,1043609000,26202000,227868000,16403497000,187027000,406074000,3.69,301838000,,12465077000,-122828000,9632000,-1016322000,289705000,-160582000,259710000,,693549000,116283000,76101000,2020436000,0,-17086000,3.66,-5672201000,136985000,2504243000,1434192000,587869000,-108640000,439966000,9168226000,-11878000,13508686000,1785273000,406074000,114480000,2796465000,299904000,-235244000,670557000,446025000,17319000,846323000,-3903000,110806000,3454628000,-463274000,4194470000,-1009401000,492322000,230591000,9526000,48351000,1618644000,1153307000,45414000,284516000,7549582000,157689000,0,,642007000,109984000,10731296000,-78053000,60875000,,1349906000,24170000,9526000,9526000,,,
2014-12-31,-1922000,-52672000,973435000,9526000,207663000,16845675000,185493000,397595000,3.59,185269000,,13340097000,-658303000,18652000,-910634000,369187000,-178881000,255986000,,530970000,168625000,72307000,2087854000,0,-20321000,3.58,-5771100000,188993000,2761243000,1403778000,592536000,10796000,423696000,9794430000,3724000,14313532000,1926065000,397595000,123052000,3031215000,297740000,-246671000,644401000,356195000,15288000,811242000,-57717000,111178000,3491632000,-373444000,4367493000,-922668000,496487000,220705000,7604000,52603000,1559143000,1099627000,-353000,295211000,8235287000,119755000,0,,713866000,110626000,11074575000,-68141000,54047000,,1247252000,5215000,7604000,7604000,,,
2015-12-31,31884000,-22219000,890516000,7604000,195869000,17658956000,178705000,437257000,3.94,245292000,,14137742000,-562970000,17520000,-1076087000,411655000,3790000,279931000,,357580000,186797000,73073000,1969675000,0,-35001000,3.92,-5973987000,18240000,2910505000,1525768000,671166000,-159837000,456190000,10308801000,-23945000,15028258000,2092803000,437257000,115609000,3462391000,274691000,-260027000,693910000,478813000,,854602000,-20218000,111552000,3495443000,-496062000,4583917000,-1066233000,571664000,237720000,39488000,56305000,1442317000,1094327000,-34266000,297480000,8866484000,123975000,0,,735196000,111026000,11684969000,-44748000,52518000,,1444279000,27103000,39488000,39488000,,,
2016-12-31,-30607000,-2489000,822219000,39488000,166830000,18979091000,185750000,442034000,3.97,229952000,,15182034000,-370430000,27704000,-1275472000,369735000,198081000,282587000,18883000,302200000,139438000,82520000,1986829000,0,-22744000,3.95,-6354837000,-252082000,3155394000,1511853000,655869000,-187289000,461527000,11068341000,-1491000,16004253000,2255547000,442034000,88672000,4021785000,250491000,-274229000,697938000,633410000,,855984000,-102443000,112046000,3498682000,-635691000,4803622000,-1252078000,565011000,236411000,8881000,52835000,1292946000,1023390000,-66917000,264631000,9775395000,90022000,0,,779586000,111409000,12624254000,-43822000,69063000,,1369517000,25675000,8881000,8881000,,,
2017-12-31,5011000,-93797000,1016288000,8881000,162024000,19702087000,197684000,488456000,4.37,243577000,,16002794000,-264800000,29478000,-1408774000,405867000,315512000,289270000,20502000,177400000,220490000,70388000,1905744000,0,-22744000,4.35,-6514010000,-290738000,1896380000,1659552000,725125000,-154065000,507949000,11883352000,-6683000,17019082000,2442511000,488456000,113996000,4789713000,305147000,-289793000,766221000,542246000,,934427000,-95416000,112367000,3565296000,-544527000,5006690000,-1428537000,610629000,258272000,13892000,56397000,1197852000,1118036000,-23769000,256442000,10685500000,257189000,0,,871000000,111839000,13188077000,-45002000,84531000,,1498023000,-17482000,13892000,13892000,,,
2018-12-31,-8126000,37530000,924991000,13892000,170157000,20515807000,218285000,511047000,4.56,112185000,49791000,16739211000,-246000000,109040000,-1178169000,385611000,-92446000,294094000,19547000,576400000,185866000,91174000,2112860000,0,-22744000,4.54,-6749139000,98975000,2007826000,1578387000,804700000,-22237000,530540000,12315497000,-6103000,17664202000,2641183000,511047000,137153000,4638232000,267887000,-308892000,664442000,653033000,,773687000,-130596000,112550000,3691247000,-672165000,5222915000,-1192824000,650955000,133902000,5766000,61107000,1648964000,1277144000,-14602000,277336000,10666533000,,,,1087235000,112129000,13766668000,-47708000,103247000,,1465081000,4477000,5766000,5766000,,,
2019-12-31,4517000,-12789000,1030030000,5766000,166033000,21402118000,216723000,538320000,,-5417000,,17449217000,-665000000,76426000,-1191447000,442181000,178768000,345920000,18376000,914675000,195028000,64908000,1983853000,2659561000,-22744000,,-7024331000,-234721000,2188807000,1487356000,815396000,-213782000,557813000,12926059000,-51826000,18479247000,2837610000,538320000,215330000,4832558000,266426000,-329643000,542040000,719034000,,671960000,-113912000,,3471209000,-722181000,5430648000,-1130977000,664140000,-15773000,10283000,53534000,2078365000,956726000,50641000,346448000,10847694000,,,,1255870000,,14377787000,-57096000,96953000,,1422903000,63617000,10283000,,,,
