date,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentDebt,annualCurrentAccruedExpenses,annualBasicEPS,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualOperatingExpense,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualChangesInAccountReceivables,annualInterestExpense,annualCommonStockIssuance,annualOtherShortTermInvestments,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualDilutedEPS,annualBeginningCashPosition,annualRetainedEarnings,annualAccountsReceivable,annualCostOfRevenue,annualLongTermDebt,annualCashDividendsPaid,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherNonCashItems,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualPurchaseOfBusiness,annualStockBasedCompensation,annualChangeInInventory,annualStockholdersEquity,annualCashFlowFromContinuingFinancingActivities,annualOperatingCashFlow,annualDilutedAverageShares,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualGoodwill,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualOperatingIncome,annualInvestingCashFlow,annualBasicAverageShares,annualEndCashPosition,annualPretaxIncome,annualOtherIncomeExpense,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualIncomeTaxPayable,annualDeferredIncomeTax,annualChangeInAccountPayable
1994-12-31,211059518.784297,,,75668745.993778,175257570.783109,,-0.095539,-99745165.173616,-84267467.129434,1015743476.697466,45338711.442553,102402951.706455,1508059346.809874,,16884761.502744,109594609.38355,,,,-211059518.784297,922720948.04809,2032424.995701,-84267467.129434,1321857949.126839,624736175.60152,-84267467.129434,-0.095539,-7817019.214233,380532495.348874,349108078.107656,,27984928.786955,,17353782.655598,,399137001.078749,,,57220580.648187,-4690211.52854,,-15321357.659897,696652752.372465,,117098947.829214,889383400.0,171036380.407423,,211059518.784297,,,304863749.355096,,522333223.895064,380532495.348874,65506621.015274,,,,,,-134609070.869096,98338101.715054,,,146334599.690446,492315870.112409,-67226365.242406,889383400.0,102402951.706455,-8598721.135657,,,,,,
1995-12-31,61344953.33457,,,98893627.541875,171827677.854008,,0.194521,-108164905.123926,174300018.542555,1331046418.196427,45429260.152049,95494159.095123,1585852030.40979,,17460906.112862,17460906.112862,,-342419185.363743,,-61344953.33457,841832004.450213,-18542555.164102,174300018.542555,1272482848.136473,647135175.227146,174300018.542555,0.194521,-89158786.080722,294981148.40225,379813338.278015,,16224735.768589,,-35694418.690896,,430650843.68626,,,61190432.041535,-233327152.481612,,-26114098.522776,624884109.030224,,72470486.43303,896747200.0,170746028.802769,18233512.578033,61344953.33457,,,339792323.382162,,551641016.132023,410408554.298782,351844984.238828,752827739.662525,,108164905.123926,,,,-21323938.438717,,,176772359.231102,254805612.213363,-101365968.230422,896747200.0,-110482724.519439,273193646.08443,,,,,,
1996-12-31,137856629.10573,,,99325273.144501,188718018.974552,,0.228139,-124499092.372504,206699318.423126,1518477925.814296,70726444.497722,78090214.748091,1831010035.277597,,17125047.09388,8905024.488817,,-401582354.351474,,-137856629.10573,966708908.449498,-28770079.117718,206699318.423126,1441586464.362777,695961913.895263,206699318.423126,0.228139,-70555194.026784,370928520.05343,374524779.943145,,22776312.63486,,17638798.506696,,474877555.913279,,,72781450.148988,-76891461.451519,,-8048772.134123,745110799.054697,,142137890.8792,904111000.0,190088022.742063,31338836.181799,137856629.10573,,,393533582.217351,,617871699.147173,442682467.376785,395931088.810494,844264821.72826,,-10103777.785389,,,,19693804.157961,,,199506798.643696,312532109.463301,-191629276.980512,904111000.0,-50861389.868822,306024591.567627,,,,,,
1997-12-31,94392646.961582,,,63975401.706011,147292203.927792,,0.206083,-119354625.405012,187958738.345566,1449778483.105204,69265357.402632,73563446.406136,1732625801.75891,,20663889.439926,7108377.967335,,-418898366.726179,,-94392646.961582,927891291.410434,-26945711.829663,187958738.345566,1427130860.279045,664550684.388018,187958738.345566,0.206083,-61661046.088739,393936388.282748,363519143.027177,,24135422.865833,,-5785889.043179,,499239568.868611,,,67446935.131918,-28433511.869338,,2810288.96383,762084242.544469,,113568736.361833,910656600.0,184321893.804139,31905045.295246,94392646.961582,,,373107187.727303,,590987237.981882,466177345.764729,340044964.623421,885075712.490908,,7108377.967335,,,,8761489.122529,,,198703960.854328,282847318.653706,-116544336.441182,908202000.0,-52899556.96621,251934140.051577,,,,,,
1998-12-31,82828450.493817,-1500000.0,,67723462.528011,143746368.993277,,0.170411,-115030292.970371,155531579.384181,1511494729.8531,71541206.739148,73367084.405345,1748526848.701137,,16266910.117022,4979666.362354,,-473234293.302349,,-82828450.493817,947630508.755913,-20416632.08565,155531579.384181,1502697319.279608,696821312.972031,155531579.384181,0.170411,-51622541.289734,430741140.343597,386920076.354884,669800000.0,21246576.479376,-114500000.0,2157855.423687,701800000.0,555066810.523695,14600000.0,-100000.0,81998506.100091,-35189642.293966,,-34027720.14275,805378039.671342,-111000000.0,117188148.394058,912293000.0,185409577.558304,46974852.68487,82828450.493817,,,402357042.078181,1078400000.0,623454228.566686,484189559.299527,322018424.765541,957423852.601876,266500000.0,2489833.181177,52100000.0,,-3983733.089883,-9295377.209727,,,213129720.308739,237032118.848037,-127479458.876255,910656600.0,-60917918.499461,223255041.912192,3500000.0,,,,,
1999-12-31,162579267.503559,-116822000.0,,125048531.124628,93826840.947328,,0.185852,-108547948.751132,169535395.366895,1645366895.302187,73120227.772745,94150381.77818,1811666882.360554,,11162158.664423,7117898.278763,,-523165523.489064,,-162579267.503559,1001682412.320435,72149605.280186,169535395.366895,1585835382.425262,693348000.517665,169535395.366895,0.185852,97062249.255856,519768344.765109,391160864.5011,664901000.0,32677623.916138,-113591000.0,6470816.617057,710305000.0,584152970.104827,-36355000.0,0.0,87841335.57655,-82341141.452051,,970622.492559,892002070.661317,-262244000.0,115018765.368189,915565800.0,181344635.693024,119710107.415556,162579267.503559,,,384366507.05319,1144633000.0,599197618.739485,437588973.728485,393587420.732496,960754497.217549,297146000.0,-116960010.353307,61401000.0,,-38986670.117769,-24427332.72939,,-10838617.833571,207874983.822958,166299987.058367,-107577326.258574,913111200.0,68752426.556231,294583926.491523,18095000.0,,,,,
2000-12-31,36742741.068228,-14338630.660772,,86181144.700681,122475803.56076,88964000.0,0.297228,-95441510.335763,309923527.303143,1603238140.757558,69303381.527064,434191659.696499,1694796271.956028,,17027123.909667,11500776.675827,,-475564583.582268,,-36742741.068228,797287609.033337,-22254749.671406,309923527.303143,1437895805.950532,1037609033.337316,309923527.303143,0.294241,-80654797.466842,44658860.078862,367726132.154379,459774000.0,267206356.792926,-711566000.0,-581461345.44151,661626000.0,640608196.917194,-109747000.0,0.0,79161190.106345,-76323336.1214,,-10604612.259529,399838690.405066,-366174000.0,-486019835.105747,1040000000.0,168329549.52802,229716812.04445,36742741.068228,,83044569.243637,340841199.665432,1043500000.0,603417373.640817,375044808.220815,495877643.685028,850609391.803083,106160000.0,107987812.163938,84029000.0,,,-3584657.665193,,-13293105.508424,171167403.512965,91558131.198471,245399689.329669,1034000000.0,-85733062.492532,396104672.003824,179722000.0,,,,,
2001-12-31,43686000.0,-20387000.0,,93197000.0,160910000.0,69315000.0,0.204774,-108778000.0,117079000.0,839354000.0,74121000.0,385601000.0,1575172000.0,,27607049.96876,13106000.0,,-442102000.0,,203432000.0,765087000.0,-31600000.0,188724000.0,1598762000.0,1009583000.0,188724000.0,0.203027,32910000.0,226293000.0,383272000.0,509961000.0,246826000.0,-61160000.0,35677000.0,750089000.0,833675000.0,-136009000.0,-1000.0,87809000.0,-100693082.254479,,-58248000.0,589179000.0,-35240000.0,144455000.0,929551242.0,165133000.0,273474000.0,43686000.0,,80496345.698386,338130000.0,1065211000.0,623982000.0,356769000.0,313666000.0,798871000.0,182462000.0,18931000.0,138775000.0,,-10752219.461517,10776000.0,,-3495000.0,211295000.0,225857000.0,-98439000.0,921000000.0,43686000.0,210276000.0,81402000.0,,,,,
2002-12-31,36240637.835226,79246194.733027,,105983731.98035,244787000.0,87021000.0,0.195055,-137300000.0,184746718.208907,1516791495.530321,98785000.0,651042925.022147,1787710397.036321,,20455826.689216,9825239.590883,,-496664000.0,-3865668.035757,98946000.0,858017234.436659,-57662881.533382,184746718.208907,1993074011.435935,1159861480.228719,184746718.208907,0.193606,-392204236.127889,418507000.0,358720000.0,531634000.0,264608000.0,-70065233.148103,105553000.0,872144000.0,1135056776.999275,-138680840.782798,452122090.682129,152049609.406459,-332286381.573649,,-18532000.0,833212531.207216,82670000.0,242853000.0,954242928.0,183388000.0,510912458.72594,36240637.835226,,90198920.83434,369654505.919304,1256970000.0,508818555.206572,412015784.811146,463235886.284932,412015784.811146,508818555.206572,71068000.0,509140694.209551,0.0,,-163646613.513731,,-2095000.0,227866000.0,270918901.506,0.0,925681000.0,-446001449.625513,290730450.189257,64299000.0,,,,,
2003-12-31,46428571.428571,78214285.714286,,146428571.428571,173214285.714286,93985000.0,0.568571,-130357142.857143,264464285.714286,1094821428.571429,119285714.285714,511964285.714286,2105178571.428571,,10714285.714286,15178571.428571,,-583928571.428571,-1785714.285714,225778000.0,1055535714.285714,-81250000.0,264464285.714286,2222678571.428571,1078392857.142857,264464285.714286,0.565,-494464285.714286,616071428.571429,439285714.285714,616250000.0,194642857.142857,-80535714.285714,146428571.428571,975535714.285714,1167142857.142857,-84355000.0,597321428.571429,143214285.714286,-7142857.142857,10714285.714286,-17857142.857143,1144285714.285714,-246466000.0,276785714.285714,468000000.0,203571428.571429,481071428.571429,46428571.428571,,110535714.285714,411785714.285714,1488928571.428571,566428571.428571,460000000.0,564821428.571429,460000000.0,566428571.428571,-127500000.0,350892857.142857,0.0,-180357142.857143,185892857.142857,-3745000.0,-1785714.285714,237500000.0,394107142.857143,-127500000.0,465000000.0,-226964285.714286,410892857.142857,100406000.0,,,,,
2004-12-31,62528770.906859,-39895657.511125,,85545496.394046,61953352.769679,99119000.0,0.566979,-195554000.0,260280804.050944,1282031609.636336,127359214.362437,744015651.373331,2394698480.896118,,0.0,15344483.658125,,-658942000.0,-7864047.874789,241375000.0,1223147153.598281,-30113549.17907,290010741.138561,2919479822.00399,1573001381.003529,290010741.138561,0.562759,27620070.584625,826108638.9443,571965628.356606,642166641.092527,292696025.778733,-89573423.354304,363280650.606107,1146232929.26193,1696332668.405708,-32017000.0,110431000.0,137333128.740218,-67132116.004296,11700168.78932,-114073000.0,1346478441.00046,-121934000.0,363280650.606107,470500000.0,219617922.356913,719848089.611785,62528770.906859,,78448672.702164,546455424.274973,1752531839.803591,828985729.630198,556812950.744207,483159429.185208,1200551000.0,331676000.0,-233811569.740678,204565000.0,,-118919748.350468,14769065.520945,-8052000.0,-575000.0,444030995.856989,470500230.167255,-226522940.003069,467500000.0,42772748.197023,345826300.44499,-79088000.0,,,,,
2005-12-31,151000000.0,-4000000.0,6000000.0,126000000.0,227000000.0,89000000.0,0.71,-200000000.0,302000000.0,1345000000.0,122000000.0,529000000.0,2552000000.0,,18000000.0,19000000.0,,-430000000.0,0.0,127000000.0,1556000000.0,-240000000.0,333000000.0,2976000000.0,1541000000.0,333000000.0,0.706,44000000.0,937000000.0,323000000.0,701000000.0,211000000.0,-91000000.0,60000000.0,1212000000.0,1420000000.0,-3000000.0,6000000.0,180000000.0,-25000000.0,13000000.0,-48000000.0,1435000000.0,,260000000.0,471500000.0,203000000.0,673000000.0,151000000.0,,48000000.0,557000000.0,1851000000.0,1012000000.0,589000000.0,626000000.0,589000000.0,17000000.0,14000000.0,0.0,339000000.0,,27000000.0,,,452000000.0,506000000.0,-191000000.0,465000000.0,65000000.0,428000000.0,-2000000.0,,,,,
2006-12-31,346000000.0,-9999086.9,,156000000.0,119000000.0,,1.584,-222000000.0,394000000.0,1453000000.0,120000000.0,241000000.0,2779000000.0,,9000000.0,16000000.0,,-885000667.6,,10000000.0,1645000000.0,-217000000.0,745000000.0,3231000000.0,1057000000.0,745000000.0,1.578,65000000.0,1657000000.0,680000000.0,769000000.0,15000000.0,-96000000.0,130000000.0,1319000000.0,1586000000.0,3000000.0,0.0,169000000.0,-83000000.0,14000000.0,-37000351.8,2174000000.0,-383000000.0,352000000.0,472000000.0,189000000.0,191000000.0,346000000.0,,35000000.0,619000000.0,2010000000.0,816000000.0,635000000.0,728000000.0,635000000.0,292000000.0,0.0,191000000.0,640000000.0,-293000000.0,221000000.0,63000000.0,,421000000.0,557000000.0,242000000.0,470500000.0,291000000.0,550000000.0,3000000.0,,,,,
2007-12-31,169999989.8,-13999692.1,,153000793.9,1442000409.5,,0.684,-200001050.9,315999933.8,1745000485.8,142000605.6,357001183.2,3369000908.0,,33000564.9,27999384.2,,-925999424.8,-640000552.1,20000000.0,1918999814.0,-130000582.7,315999933.8,4460998976.5,2645002203.3,315999933.8,0.682,291000000.0,1810999607.9,775000307.8,994000223.8,36000068.7,-105000702.3,228000435.1,48000091.6,2541999162.5,-60000000.0,0.0,228000435.1,-780999315.4,23000211.2,-84000160.3,1815996773.2,347000000.0,428001486.0,464000000.0,190000697.2,418999121.9,169999989.8,,57000610.7,834000587.7,2375000684.2,2288001020.1,741999742.9,730001727.7,1667999167.7,321000000.0,0.0,264000000.0,1225000000.0,-733999058.4,-190000697.2,,,524999496.1,630000198.4,-965001005.0,461500000.0,109000000.0,469000727.7,6000000.0,,,,,
2008-12-31,145000491.6,5000167.8,,186999568.0,115000943.0,,0.852,-292000175.4,377000111.6,2000997451.6,151999851.6,1841000831.2,3800999531.6,,70999758.0,23000188.6,,-977001291.0,-193000061.0,19000000.0,1985000997.6,-124000953.4,377000111.6,4507999052.4,2809002111.8,377000111.6,0.848,109000000.0,1956000316.0,786000422.2,1077000272.4,1357999787.0,-109000450.0,268998528.6,1395000153.8,2522998054.8,14000000.0,0.0,258999651.2,-15999370.4,24000513.8,-117000135.2,1698996940.6,-243000000.0,560998704.0,445000000.0,190000543.6,376000026.2,145000491.6,,46000377.2,879000043.6,2723999259.2,968001280.6,724999541.6,893999088.8,1702000832.6,309000000.0,0.0,437000000.0,1189000000.0,-1077000272.4,17998562.6,1000000.0,,544000466.6,723001807.6,-299999860.6,443000000.0,122000000.0,563999679.6,0.0,,,,,
2009-12-31,192000000.0,-12000000.0,20000000.0,198000000.0,45000000.0,,1.068,-318000000.0,472000000.0,2019000000.0,155000000.0,1523000000.0,3772000000.0,46000000.0,42000000.0,17000000.0,,-1128000000.0,0.0,14000000.0,2085000000.0,-8000000.0,472000000.0,4565000000.0,2386000000.0,472000000.0,1.066,122000000.0,2338000000.0,946000000.0,1030000000.0,1117000000.0,-120000000.0,401000000.0,1864000000.0,2480000000.0,-13000000.0,14000000.0,312000000.0,-25000000.0,18000000.0,-17000000.0,2179000000.0,,719000000.0,442776735.0,190000000.0,412000000.0,192000000.0,,31000000.0,933000000.0,2742000000.0,863000000.0,753000000.0,1024000000.0,1881000000.0,49000000.0,137000000.0,322000000.0,1093000000.0,-354000000.0,44000000.0,63000000.0,,596000000.0,723000000.0,-206000000.0,441947566.0,174000000.0,670000000.0,-13000000.0,,,,,
2010-12-31,207000000.0,-3000000.0,13000000.0,280000000.0,57000000.0,,1.386,-315000000.0,615000000.0,2011000000.0,151000000.0,1046000000.0,3962000000.0,-100000000.0,18000000.0,23000000.0,,-1214000000.0,-5000000.0,28000000.0,2154000000.0,-108000000.0,615000000.0,4733000000.0,1960000000.0,615000000.0,1.384,174000000.0,2848000000.0,1024000000.0,1031000000.0,642000000.0,-132000000.0,544000000.0,1860000000.0,2579000000.0,5000000.0,0.0,288000000.0,0.0,21000000.0,21000000.0,2773000000.0,,859000000.0,444500000.0,191000000.0,426000000.0,207000000.0,,69000000.0,923000000.0,2931000000.0,914000000.0,787000000.0,1201000000.0,2001000000.0,37000000.0,0.0,262000000.0,1101000000.0,-420000000.0,15000000.0,116000000.0,,617000000.0,920000000.0,-307000000.0,444000000.0,195000000.0,895000000.0,-10000000.0,,,,,
2011-12-31,184000000.0,-1000000.0,17000000.0,266000000.0,306000000.0,,1.306,-321000000.0,582000000.0,2268000000.0,167000000.0,422000000.0,4270000000.0,-47000000.0,12000000.0,24000000.0,,-1331000000.0,-6000000.0,0.0,2205000000.0,-57000000.0,582000000.0,4747000000.0,1560000000.0,582000000.0,1.3,195000000.0,3258000000.0,1037000000.0,1140000000.0,16000000.0,-146000000.0,521000000.0,2101000000.0,2542000000.0,8000000.0,125000000.0,306000000.0,-33000000.0,30000000.0,40000000.0,3187000000.0,,842000000.0,447500000.0,191000000.0,423000000.0,184000000.0,,66000000.0,859000000.0,3130000000.0,1138000000.0,783000000.0,1166000000.0,2114000000.0,19000000.0,-32999759.4,27000000.0,1096000000.0,-392000000.0,-33000000.0,91000000.0,,564000000.0,862000000.0,-354000000.0,445500000.0,161000000.0,848000000.0,-6000000.0,,,,,
2012-12-31,178000000.0,-1000000.0,118000000.0,371000000.0,38000000.0,,1.626,-265000000.0,729000000.0,2221000000.0,171000000.0,828000000.0,4137000000.0,,9000000.0,83000000.0,,-1436000000.0,0.0,173000000.0,2144000000.0,-24000000.0,729000000.0,5642000000.0,1758000000.0,729000000.0,1.618,161000000.0,3817000000.0,915000000.0,1070000000.0,430000000.0,-186000000.0,637000000.0,2050000000.0,3498000000.0,-2000000.0,0.0,324000000.0,-792000000.0,34000000.0,12000000.0,3884000000.0,,902000000.0,450500000.0,193000000.0,1064000000.0,178000000.0,,61000000.0,901000000.0,3067000000.0,930000000.0,793000000.0,1433000000.0,2229000000.0,0.0,103000000.0,441000000.0,1186000000.0,-297000000.0,2000000.0,121000000.0,-10000000.0,656000000.0,846000000.0,-954000000.0,448500000.0,167000000.0,1100000000.0,255000000.0,,,,,
2013-12-31,137000000.0,-1000000.0,109000000.0,246000000.0,42000000.0,,1.234,-340000000.0,556000000.0,2441000000.0,231000000.0,699000000.0,4351000000.0,,10000000.0,51000000.0,,-1463000000.0,-231000000.0,178000000.0,2256000000.0,-74000000.0,556000000.0,5819000000.0,1772000000.0,556000000.0,1.228,167000000.0,3520000000.0,1113000000.0,1100000000.0,335000000.0,-239000000.0,527000000.0,2210000000.0,3563000000.0,-4000000.0,0.0,384000000.0,-74000000.0,28000000.0,-99000000.0,4047000000.0,,867000000.0,453000000.0,184000000.0,1054000000.0,137000000.0,7000000.0,50000000.0,1006000000.0,3251000000.0,1073000000.0,816000000.0,1196000000.0,2279000000.0,0.0,0.0,7000000.0,1256000000.0,-78000000.0,-38000000.0,,0.0,785000000.0,810000000.0,-407000000.0,450500000.0,126000000.0,802000000.0,-12000000.0,,,,,
