date,annualStockholdersEquity,annualIncomeTaxPayable,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualPurchaseOfBusiness,annualAccountsReceivable,annualPurchaseOfInvestment,annualInventory,annualBasicEPS,annualStockBasedCompensation,annualChangeInInventory,annualGoodwill,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,annualOperatingCashFlow,annualChangeInWorkingCapital,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualCapitalStock,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualPretaxIncome,annualGrossPPE,annualAccountsPayable,annualOperatingIncome,annualBasicAverageShares,annualOtherIncomeExpense,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualCapitalExpenditure,annualCashAndCashEquivalents,annualOperatingExpense,annualBeginningCashPosition,annualNetIncomeContinuousOperations,annualDilutedAverageShares,annualInterestExpense,annualNetOtherFinancingCharges,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualCurrentAssets,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualEbitda,annualTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,annualOtherShortTermInvestments,annualCommonStockIssuance,annualOtherIntangibleAssets,annualFreeCashFlow,annualCostOfRevenue,annualRetainedEarnings,annualTaxProvision,annualCurrentDebt,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,annualTotalAssets,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,annualCurrentAccruedExpenses,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualChangesInAccountReceivables,annualCurrentDeferredRevenue,annualDeferredIncomeTax
2005-12-31,13123155723.56885,,,205721232.400722,,-1328162574.587416,-1051860673.349665,,-10151208.354822,30547309.308922,0.792777,,,,1524180201.134605,1662976532.104177,2919863092.573491,1434627431.859206,,1906496234.334709,331216482.529654,,1009162517.534812,1233509.218669,567055117.650851,,3516618197.588963,-345882230.531202,1906496234.334709,,4425156550.025786,,325668293.385766,3494663815.368747,4785338761,,,,,-618733428.764827,1906496234.334709,-1831687283.264569,1334898471.763796,3594930939.401753,4806797679,,48819900.722022,1067107263.666839,3793706005.544095,2740665951.650335,3284153.236204,2250503.739041,3494663815.368747,2591287464.801444,0.789238,,,3999276.302218,815894003.094379,1853641665.484786,,432675478.33935,989380568.849923,-212916182.374936,861386031.266117,3793706005.544095,16723605705.905106,34043813.499226,13982939754.25477,0.0,1434627431.859206,,,,,,
2006-12-31,14056890608.564264,,,124455179.065132,,659769873.014852,-202545.489616,,0.0,32015222.465119,0.359368,,-2589975.245933,,647054628.688999,1797913087.185752,2977946117.79078,1920085117.340706,194707380.248184,2864451457.275124,1308683508.326368,,-1601878131.550183,51084579.502347,350357572.815534,,3904246803.832058,-1627365774.127178,2133357496.302964,,2784591380.441072,,485261893.203883,1558952525.55777,4831029576,,,,,-678052110.203819,2133357496.302964,238960561.627982,1836466919.243876,1736116658.843953,4892458322,,573472459.332605,-647054628.688999,1736116658.843953,3178431057.995242,4186274.352215,-1547362311.129686,1558952525.55777,0.0,0.354856,731093960.97216,12056470.134379,,1242033007.136887,2106333716.646306,,724025925.544911,0.0,-1187660572.87983,830368323.796052,2060565454.896162,19472333321.2242,33869215.585418,16293902263.228958,31796633.768405,1920085117.340706,,,,,,
2007-12-31,14327668190.742683,,,510137952.392555,,742169238.203936,0.0,,-4126586.944757,28563850.745197,0.264458,,1347112.832363,,815312406.302177,1427474014.629505,2934167257.044809,1321303162.235154,110057619.530286,3976118750.644401,1353080223.700105,,-2105448361.351844,47195788.93913,1071643246.883151,,3599848028.176672,0.0,3131982064.273385,,2169098037.486823,,680734148.116041,791697649.502304,4843436061,,,,,-606784398.551412,3131982064.273385,635776365.1272,1993138683.929345,1280883219.691354,4904239598,,-72117376.337853,-815312406.302177,1280883219.691354,4365321943.662044,296154980.787234,-2100088013.906237,791697649.502304,0.0,0.261179,844136686.371016,5618903.176993,,714518763.683742,2172374013.547168,,590693051.45718,,-925330680.395079,779998002.657112,1578404986.029644,19185513509.19858,145691470.65507,14820191565.53654,8257857.870155,1321303162.235154,,,,,,
2008-12-31,9384348728.4699,,,723247243.380713,556122213.977146,1072188519.091416,-45210381.96767,79322885.730212,0.0,31541430.74136,0.613712,16500653.567447,-5796360.85563,,636246358.765329,3493930625.487737,3067361435.130992,1970646464.32553,314938835.005574,4396965432.901338,373034519.230769,39101442.028986,,0.0,944505686.942586,,4585972759.127648,,3977249208.751394,,4890637868.102007,7839882271.5301,589166665.830546,1970630615.245262,4761936000,,-990818460.493311,,-4772520836.399108,-836007285.953177,4396965432.901338,1523300010.242475,2943782634.267001,3979550847.408027,4810754000,67967019.718506,0.0,1598357732.371795,2922510527.03456,4523047507.943144,,42538931.438127,5514727101.797659,2234604091.137124,0.60746,,12003036.789298,,1134639178.372352,1092042133.639911,,911087020.69398,,-1051546853.051839,875110488.991081,2922510527.03456,13045277590.719065,580705898.481048,8522230082.77592,0.0,735756570.234114,,,,,,
2009-12-31,12511655638.42339,73388971.216435,14947387.819918,848654517.933958,489850296.108893,-1415429669.660818,-1052460042.182455,213535369.497829,-84122528.671381,38364697.936331,0.235872,12434585.50867,-6825242.998174,,2004256554.634873,2588567615.13297,5087354934.372389,1359476235.995059,-174459268.524536,6521951104.913915,797213386.946946,43463379.850989,6497715.857395,1674115359.874509,2300011801.859933,2889221682.280867,4648935203.85887,-1878020374.894263,6494970616.467572,2355965235.525691,1633185913.118043,10729206274.489628,1674115359.874509,1183772892.605143,4493935000,533855152.281332,0.0,5585531639.541361,-5641851340.117239,-1368603853.921022,6494970616.467572,1404794722.527827,4183169598.438193,1288504098.115825,4560515000,118838644.695375,63650321.474071,2434150894.545797,1060015177.652957,7736118868.363094,,92859227.106737,2241874853.922312,4438407449.18067,0.232439,26980488.446343,3252581348.800534,191127934.732151,-9127617.925964,2060367588.7259,9578970576.291534,344681815.002218,143794099.744427,-588892038.22249,1578998660.754444,1060015177.652957,18856368776.811962,447723438.300117,11120249908.44887,0.0,429123946.77065,,,,,,
2010-12-31,13793261563.131607,,27271199.877678,870121721.09715,772968071.532924,-4385549830.329024,-451679247.974035,397989073.214857,-5113349.977065,42611249.808871,0.417761,36645674.835629,-5113349.977065,,6545087970.642617,4092384431.64399,11672925772.642178,1451339168.490153,-484063797.828777,6934554793.8957,-749105771.639956,42611249.808871,0.0,0.0,446565897.99697,,7727976265.336881,-1032896695.367038,6934554793.8957,,3743824408.207424,18068874368.953747,2636784138.17295,1904722866.456543,4949000000,,,,-6395948596.311568,-4861943603.192204,6934554793.8957,2187661565.187448,6474353295.959891,2878816037.087338,5031000000,142321574.36163,1617523042.744751,2989605286.590404,2067497840.726431,8725079510.864468,,597409722.320374,4659114054.101977,9534693257.23302,0.410943,,18748949.915903,,-3410604434.702051,3635591833.692891,11013303625.600851,865008371.120085,3688429783.455891,-295722073.673566,2111813540.527657,2067497840.726431,27463802726.813667,690302246.903713,18738723215.9492,0.0,755923571.609375,,,,,,
2011-12-31,24665086212.447044,,0.0,797188276.652459,3308533680.157616,-11549922737.164711,-2689397607.427534,585953616.544548,-6474625.597177,455651776.401355,0.634837,34801112.584828,-145679075.93649,,10123886449.386404,13394381704.160604,45818497366.62503,7756601465.418443,-1230178863.463693,9460237325.675728,0.0,58271630.374596,0.0,0.0,2637600602.650115,,20555317614.638733,-6389646136.214379,9460237325.675728,,8457479686.312889,63896461362.14378,7164982551.476364,6554749088.942401,7151000000,,,,-18077963995.518757,-10919456069.639568,9460237325.675728,6839632615.218203,6610592734.718055,6611402062.917702,7236000000,326159264.457808,1099067695.120852,21020681329.435852,4539521871.820956,13392763047.761309,,1250412068.454872,12092172630.928312,31144567778.822258,0.627391,,77695507.166128,,-3162854604.221126,7160935910.478128,14180239386.018002,1846077623.395187,2113155929.278751,-887023706.813294,20204069175.991863,4539521871.820956,68039412416.137634,1488354559.151139,54646649368.37632,0.0,2729864017.409892,,,,,,
2012-12-31,35768295913.02306,,25766184.980792,1029037012.670377,3570227006.400978,-10363642715.242893,-855920457.330681,1100699214.648204,-28986958.103391,577323582.225869,0.672658,57973916.206782,-123999765.220061,225454118.581929,14785764212.571304,12566651531.100601,57510124877.12753,8102659983.178404,-2628956061.321424,15775346754.489843,454129010.286457,65220655.73263,129636118.184609,10014994024.721554,6133157218.709123,,26533534177.251114,-3633032082.291659,15775346754.489843,,10713901792.325535,79486265085.90108,1558048998.057261,8838606641.692272,7802000000,,,,-21976140208.773544,-12392729782.480257,15775346754.489843,3728044889.408329,9435254862.653736,7982686184.361592,7841000000,532232758.509483,2616072968.831028,22546217051.473568,5248249803.275051,21942322090.986256,,12883092.490396,14816361557.235994,37331981264.04487,0.669357,,8539074741.290567,50727176.680934,-4290069799.301852,13966882646.150513,16151372016.553276,2731215607.963942,4115342857.400857,-2846358247.096856,21387543920.61858,5248249803.275051,87397289068.28484,1743243452.606702,65454966977.298584,53947949.803533,393739514.237726,,,,,,
2013-12-31,39387594360.16788,,0.0,1340112770.85442,3538210277.801059,-9948872185.725061,-271148181.624772,1479203192.55243,0.0,916590250.852615,0.664274,0.0,-357102936.606688,293027573.801987,21200349612.857887,13751979390.243116,67074402346.70655,10538052960.782923,-847045040.00361,11640618045.141867,-185974833.506328,63293955.941229,428992368.046109,0.0,-4171149837.21335,,33936500080.58745,-8221181610.588546,11640618045.141867,,11215532711.413116,92324783732.93964,1204929383.47377,9825409901.296492,8059000000,,-44540191.217902,,-25250381386.233086,-12037572731.785624,11640618045.141867,3926569488.946625,15309323269.142742,8211023321.363411,8076000000,486035069.079562,736866672.254063,15677365901.83804,5353418421.646434,17864523712.696068,,2344220.590416,15239778058.293737,36877715514.69593,0.662867,,67200990.258589,393047652.326399,-1499519771.002701,20184520690.344334,19167910360.967308,3004509390.049706,10588844406.908602,-1449509731.740496,13908260762.93751,5353418421.646434,93348426724.0879,2248888953.072316,75483903011.39185,82047720.664556,307874304.207954,,,,,,
2014-12-31,42291378359.87805,,,1130691442.309552,4311660719.188898,-6078066232.669662,-67169788.652053,1589684998.098577,-67169788.652053,925183874.647915,0.55591,,-5597482.387671,,19592787637.530857,13032538279.18039,71824495077.5716,10953473392.331144,-520565862.053407,8579341219.617524,180718717.087665,64770867.628765,485381687.045189,0.0,-3240142662.120441,,38417920547.60969,-12316060533.558496,8579341219.617524,,9560499918.142149,101358411435.60623,1496127078.190361,8951173978.2271,8070000000,,0.0,,-29533916358.034637,-7638964178.488788,8579341219.617524,4081364300.953289,11912242161.305084,7097607667.566888,8073000000,382228083.043823,2620421397.771146,15108404604.665253,4485982313.547797,15684945290.595371,0.0,15992806.821917,14254388720.37487,34701192242.19611,0.55567,,25588490.915068,397421249.524644,3314509213.842356,25385382268.429295,22202014070.52666,2462892250.575261,6768955487.376488,-1484932113.415019,12973364893.939297,4485982313.547797,94125664550.39413,2220601227.223214,78440719259.79877,144734901.738351,215103251.754787,,,,,,
2015-12-31,41134605414.48351,,3349518.996355,787974343.892453,4422202454.93735,-3951595035.949508,-8373797.490887,1538266599.075916,-3349518.996355,767039850.165236,0.014235,,154077873.832318,,16946891362.056824,11284529498.71913,70000760125.06868,11195767245.31573,1256069623.633029,9856797026.52292,47730645.698055,67827759.676184,497403570.958679,0.0,1549152535.814069,,34869330131.80196,-17412474502.550133,9856797026.52292,,4125770023.759955,104721874041.28195,1580135586.53035,7738226261.328545,8072000000,,,,-34721113916.213264,-4954775975.357754,9856797026.52292,3546303237.390584,8984247327.97251,1942721017.885751,8072000000,437949608.773383,28470911.469015,14670055824.284685,114721025.62515,15454680649.180784,,18422354.479951,8985922087.470688,31616947186.34151,0.014235,,0.0,354211633.864514,6240991269.957975,23584800633.082836,21503911956.59745,2183049005.874204,6465409042.713743,-1351530915.029139,12910720971.449356,114721025.62515,90504840661.25424,2131131461.430705,75050160012.07346,214369215.766704,294757671.679217,,,,,,
2016-12-31,36649758450.74236,,0.0,907939094.306339,5699242934.181309,-20707995497.06381,-16967895302.865011,2788286331.035443,-17012665.475168,1250878614.147885,0.073065,,32234524.058213,,42625681049.75667,16864923906.567942,87374363670.1251,14101708872.02222,1072693328.381651,19310270717.76184,3757112859.673963,72527679.13098,1795283909.353264,26908664361.039543,4370464220.226075,,73317424970.40596,-6026065191.993749,19310270717.76184,,6370795518.727418,137329817329.34103,3238674264.404367,10132385395.631687,8072000000,,,,-49955453659.215935,-8859121695.332266,19310270717.76184,6732538510.936255,15351692082.724045,3056907364.853887,8072000000,583803046.832084,299064750.984534,22260625072.53441,590070870.954514,28789011597.768646,,25071296.489721,12653841499.74081,64886306122.291084,0.073065,,,504112140.132612,5242587176.689955,56452501063.83802,24253793143.467262,3313888153.873531,14192144620.07443,-433375267.893755,19220730373.155693,590070870.954514,124254240806.50528,3043476313.162965,95465229208.73662,732440018.878289,300855557.876657,,,,,,
2017-12-31,40025000000.0,,,1075000000.0,5651000000.0,-13493000000.0,-2391000000.0,2846000000.0,0.0,1559000000.0,0.5897,,-317000000.0,,39451000000.0,18910000000.0,99517000000.0,13287000000.0,-44000000.0,21850000000.0,133000000.0,65000000.0,1688000000.0,,3071000000.0,,88706000000.0,-17182000000.0,21850000000.0,,11480000000.0,155626000000.0,2858000000.0,11148000000.0,8072000000,,,,-56109000000.0,-12330000000.0,21850000000.0,7762000000.0,19165000000.0,7949000000.0,8620000000,1124000000.0,1417000000.0,35482000000.0,4760000000.0,32895000000.0,,33000000.0,18255000000.0,74933000000.0,0.5621,,,458000000.0,957000000.0,69796000000.0,25280000000.0,3531000000.0,11805000000.0,-522000000.0,32526000000.0,4760000000.0,140558000000.0,3264000000.0,107663000000.0,282000000.0,934000000.0,,,,,,
2018-12-31,42704000000.0,,,1292000000.0,6189000000.0,-7000000000.0,-774000000.0,2459000000.0,,1865000000.0,0.5741,,-379000000.0,,39141000000.0,21032000000.0,99805000000.0,17018000000.0,1178000000.0,20474000000.0,612000000.0,65000000.0,1844000000.0,,-1337000000.0,,105470000000.0,-20348000000.0,20474000000.0,,11985000000.0,160925000000.0,2791000000.0,12374000000.0,8072000000,,,,-61120000000.0,-8458000000.0,20474000000.0,8658000000.0,21850000000.0,8213000000.0,8635000000,1117000000.0,1706000000.0,31352000000.0,4634000000.0,30657000000.0,,114000000.0,19291000000.0,70493000000.0,0.5468,,,323000000.0,8560000000.0,84438000000.0,25362000000.0,3772000000.0,10378000000.0,-1742000000.0,28163000000.0,4634000000.0,140587000000.0,3389000000.0,109930000000.0,360000000.0,835000000.0,,,,,,
