date,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualEndCashPosition,annualDilutedEPS,annualOperatingIncome,annualCurrentDebt,annualFreeCashFlow,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualBasicAverageShares,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualAccountsPayable,annualChangeInAccountPayable,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualBasicEPS,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualLongTermDebt,annualBeginningCashPosition,annualAccountsReceivable,annualCurrentAssets,annualNetIncome,annualCashDividendsPaid,annualSaleOfInvestment,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDepreciationAndAmortization,annualStockholdersEquity,annualDilutedAverageShares,annualTotalAssets,annualTaxProvision,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCapitalStock,annualInventory,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,annualGrossProfit,annualOperatingCashFlow,annualCurrentLiabilities,annualPurchaseOfBusiness,annualEbitda,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualPurchaseOfInvestment,annualPretaxIncome,annualChangesInAccountReceivables,annualInterestExpense,annualAccumulatedDepreciation,annualGoodwill,annualIncomeTaxPayable,annualDeferredIncomeTax,annualGrossPPE,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualCapitalExpenditure,annualNonCurrentDeferredRevenue,annualOtherShortTermInvestments
1994-12-31,500000,,10200000,18900000,0,0.035609,1500000,1200000,-900000,100000,0,22466441,3000000,600000,2100000,,800000,200000,0.035609,,,7200000,6400000,,-200000,,2300000,100000,,4400000,800000,-100000,,800000,0,5900000,100000,700000,5900000,22466441,12300000,400000,4000000,,,1300000,400000,0,7900000,7500000,8700000,1900000,3400000,,2200000,100000,,600000,-300000,,1200000,,300000,-5400000,,,100000,12900000,,1000000,-3000000,100000,-100000,,-2800000,,
1995-12-31,600000,,12700000,25000000,0,0.065844,2700000,800000,500000,100000,-100000,24300000,3500000,800000,2500000,,1600000,-1000000,0.065844,,,9600000,6900000,,-300000,200000,2700000,0,,5800000,1600000,-100000,,1600000,100000,8000000,100000,800000,7400000,24300000,14300000,800000,5500000,,,1900000,600000,0,8500000,7800000,12300000,1600000,3400000,,3500000,100000,200000,700000,-600000,,2400000,,300000,-6100000,,,100000,13900000,,-100000,-1400000,100000,100000,,-1100000,,
1996-12-31,600000,,13700000,26400000,100000,0.080329,3100000,700000,2600000,,100000,23652664,2200000,800000,2500000,,1900000,300000,0.080329,,,9600000,5700000,,-1300000,100000,1400000,200000,,5600000,1900000,-100000,,1900000,0,7400000,,1400000,9400000,23652664,15100000,1000000,7300000,,,1900000,2000000,-100000,9500000,7500000,12700000,3600000,3500000,,4500000,300000,100000,500000,,,2900000,,300000,-7200000,,,-100000,14700000,,-1400000,-2300000,300000,-100000,,-1000000,,
1997-12-31,1000000,,15300000,28600000,0,0.113251,4300000,800000,1900000,200000,0,24161932,1700000,1100000,2700000,,2800000,-1100000,0.115885,,,9000000,5300000,,0,700000,800000,100000,,7300000,2800000,-100000,,2800000,100000,6800000,100000,1100000,12300000,24723837,17600000,1500000,9900000,,,2500000,2900000,100000,10300000,7300000,13300000,3000000,3600000,,5400000,400000,700000,500000,-600000,-1200000,4300000,,100000,-5200000,,,,12500000,,-500000,-1800000,100000,600000,,-1100000,,
1998-12-31,900000,,15600000,28700000,0,0.118519,4800000,1200000,2300000,300000,100000,24897541,3300000,1000000,1100000,,3000000,-1000000,0.120494,,,8300000,6800000,,-4100000,1300000,2600000,700000,,8400000,3000000,-200000,,3000000,0,5600000,,1700000,15800000,25312500,22600000,1700000,12700000,,,2900000,6100000,100000,14200000,8100000,13100000,3900000,3500000,,6500000,200000,1300000,500000,-400000,,4700000,,200000,-6000000,,,100000,14100000,,2400000,-5700000,1200000,600000,,-1600000,,
1999-12-31,700000,,15600000,29700000,1700000,0.124444,5000000,600000,4100000,,0,24521484,1300000,1300000,600000,,3100000,-500000,0.12642,-900000,,9100000,4100000,,-100000,1700000,700000,1300000,,9100000,3100000,-200000,,3100000,0,5800000,,2000000,17900000,24910714,22000000,1800000,15500000,,300000,2700000,5100000,0,12900000,7800000,14100000,4700000,2800000,,7000000,200000,1700000,400000,100000,,4900000,,100000,-7000000,,,-100000,14800000,,-3600000,-700000,1600000,400000,,-600000,,
2000-12-31,0,,17142000,33198000,3068000,0.154074,7953000,,5072000,174000,-71000,23597578,362000,1069000,970000,,3729000,78000,0.158025,-2236000,,8103000,3642000,,-75000,3068000,,1699000,5044000,11368000,3729000,-245000,,3729000,0,7034000,,2015000,19580000,24202644,23222000,2267000,18968000,1789000,327000,2554000,4089000,0,11854000,7765000,16056000,5953000,3280000,,9968000,137000,3068000,225000,194000,,5996000,,,-7857000,,,-168000,15622000,,-3628000,-956000,521000,1369000,,-881000,,
2001-12-31,0,,28216000,46142000,3120000,0.207407,8155000,1745000,1272000,511000,-123000,23517614,12668000,1631000,2885000,,5110000,-5122000,0.217284,,,9771000,19145000,,-14396000,3120000,11323000,3068000,7130000,17024000,5110000,-277000,,5110000,0,8140000,,2621000,25332000,24637500,44477000,3259000,23773000,1542000,327000,5575000,9549000,491000,27453000,17904000,17926000,3222000,6477000,,10776000,994000,3120000,351000,-3021000,,8369000,,387000,-9186000,,,112000,27090000,,13176000,-16346000,305000,52000,,-1950000,,
2002-12-31,0,,36887000,60197000,1731000,0.296296,12185000,1742000,94000,515000,-20000,24066346,12102000,1907000,2778000,,7416000,-1694000,0.308148,,,11125000,20029000,,-170000,1731000,9581000,3120000,7159000,18811000,7416000,-305000,,7416000,0,9218000,,2917000,33269000,25029000,53298000,4429000,30807000,3025000,327000,7238000,2237000,7000,34487000,25852000,23310000,10114000,7927000,,15102000,964000,1731000,1557000,-1663000,,11845000,,389000,-11019000,6398000,,1017000,36871000,,-1552000,-9951000,382000,-1389000,,-10020000,,
2003-12-31,0,,40723000,61875000,9239000,0.22321,9015000,1742000,8883000,807000,-14000,24395192,11050000,2083000,1254000,,5638000,1083000,0.231111,,,12137000,17125000,,-85000,9239000,7839000,1731000,7233000,23630000,5638000,-382000,,5638000,0,10054000,,3525000,39781000,25258739,56906000,3125000,36056000,2690000,327000,5961000,1272000,0,33276000,25636000,21152000,11153000,6075000,,12540000,985000,9239000,2226000,1277000,,8763000,,272000,-12822000,6368000,,598000,38458000,,-1331000,-2314000,389000,7508000,,-2270000,,
2004-12-31,0,,43600000,67406000,12734000,0.305185,12797000,,10930000,2563000,-14000,25315654,4464000,1752000,1466000,,8026000,-1126000,0.317037,,,11009000,10171000,,-105000,12734000,,9239000,7996000,29212000,8026000,-389000,,8026000,0,9257000,,3271000,50234000,26298786,60405000,4689000,43397000,2704000,508000,6319000,637000,12000,31193000,24188000,23806000,12145000,5707000,,16068000,1003000,12734000,3461000,-358000,,12715000,,219000,-15349000,6368000,,1388000,39537000,,-7421000,-1229000,1537000,3495000,,-1215000,,
2005-12-31,0,,54415000,839095000,12996000,0.404444,772903000,,11929000,1409000,-19000,25943684,5058000,2053000,2562000,,10954000,-1134000,0.422222,-1198000,,11777000,14208000,,-144000,12996000,,12734000,11521000,35266000,10954000,-685000,,10954000,0,9724000,,2809000,60933000,27084066,75141000,6237000,53306000,4357000,776000,8540000,2148000,82000,39875000,24400000,784680000,13698000,9150000,,775712000,1043000,12996000,4015000,-1496000,,17191000,,8000,-17927000,13327000,,599000,42327000,,-493000,-12943000,2231000,262000,,-1769000,,
2006-12-31,0,,66899000,100905000,5189000,0.446667,19162000,,14010000,1239000,861000,26310000,7411000,2019000,3010000,,12278000,-897000,0.466667,,,14844000,16971000,193000,0,5189000,,12996000,11578000,28855000,12278000,-1045000,,12278000,0,12825000,1440000,3445000,75362000,27488060,92333000,6823000,63988000,3696000,788000,9918000,6912000,0,63478000,31313000,34006000,16370000,9560000,,22607000,784000,5189000,6627000,-827000,,19101000,,189000,-20769000,25253000,,104000,52082000,,1055000,-25232000,2854000,-7807000,,-2360000,,
2007-12-31,1871000,,129271000,176201000,2307000,0.58,25906000,10588000,10596000,1217000,677000,26568132,25014000,2514000,11190000,,16118000,-8075000,0.606667,,,21024000,61344000,150000,0,2307000,17398000,5189000,29640000,52469000,16118000,-1596000,,16118000,61000,18510000,2015000,6376000,93080000,27789655,154424000,8711000,77840000,10516000,804000,15680000,33451000,319000,101955000,42080000,46930000,15637000,36330000,,32282000,1529000,2307000,6087000,481000,,24829000,,1562000,-24258000,26363000,,-617000,66338000,,27089000,-45774000,4036000,-2882000,,-5041000,,
2008-12-31,1731000,,179472000,232050000,3422000,0.666667,29348000,4904000,17635000,1050000,672000,26950249,14283000,2877000,10336000,,19050000,-6552000,0.706667,,,23230000,39968000,-8000,0,3422000,6671000,2307000,30250000,55251000,19050000,-1975000,,19050000,59000,20353000,2820000,7786000,114506000,28521235,154474000,9381000,94882000,6449000,823000,16618000,29993000,-61000,99223000,42513000,52578000,22897000,25685000,,37134000,1609000,3422000,6003000,-974000,,28431000,,963000,-28374000,26658000,,-238000,70887000,,-16120000,-5558000,3996000,1115000,,-5262000,,
2009-12-31,529000,,152480000,219438000,46432000,0.93,40659000,6783000,44428000,,2289000,28874000,6855000,3298000,10876000,,26785000,10534000,0.98,,,26299000,40670000,153000,0,46432000,0,3422000,29149000,93012000,26785000,-2008000,,26785000,60000,23001000,297000,8130000,147143000,28874000,187813000,13817000,118576000,10012000,1873000,13965000,26504000,-57000,94801000,41579000,66958000,48072000,33815000,0,40659000,1825000,46432000,5030000,2656000,,40602000,862000,209000,-32870000,26658000,3053000,-1216000,74449000,3076000,-1531000,-3644000,0,43010000,-5501000,-3644000,,
2010-12-31,550000,,177034000,255071000,77253000,1.12,49770000,1482000,31473000,,4230000,27964348,11649000,3190000,9755000,,33277000,-5690000,1.19,-937000,,28267000,41157000,-549000,0,77253000,3432000,46432000,32050000,129652000,33277000,-3091000,,33277000,420000,25077000,-225000,8559000,187467000,29620665,228624000,16854000,147542000,13960000,1917000,15720000,26649000,162000,98972000,43388000,78037000,39030000,29508000,-4661000,58780000,2575000,77253000,5642000,-1863000,,50131000,-2744000,90000,-37955000,28515000,0,-669000,81343000,3992000,3184000,-11049000,0,30821000,-1458000,-7557000,,
2011-12-31,398000,40000,205866000,291867000,114781000,1.28,56225000,1387000,38265000,,2894000,28574623,8795000,2890000,11526000,,38765000,-7835000,1.36,-109000,,29776000,39708000,-938000,0,114781000,23000,77253000,34433000,175740000,38765000,-4311000,,38765000,474000,26886000,38708000,9291000,232009000,30244460,271717000,17973000,181070000,12723000,1944000,18637000,22706000,413000,95977000,44282000,86001000,44902000,30913000,0,66113000,2788000,114781000,5984000,-3009000,,56738000,-2697000,84000,-42585000,28515000,,307000,86867000,3692000,-632000,-6609000,0,37528000,-3557000,-6637000,,
2012-12-31,4480000,,220854000,310393000,144737000,1.32,59777000,0,39777000,,2862000,29454171,9299000,3422000,14276000,5775000,40005000,-134000,1.358212,-1699000,,29762000,39533000,-759000,0,144737000,9299000,114781000,41999000,211909000,40005000,-11703000,,40005000,47911000,26340000,3906000,9641000,273012000,30353000,312545000,19839000,214609000,11820000,1964000,20693000,18858000,67000,100636000,52725000,89539000,53781000,30234000,0,69418000,9299000,144737000,5868000,-1979000,,59844000,-7642000,10000,-48104000,28515000,,-92000,100829000,4216000,-9843000,-14004000,0,29956000,-1386000,-14004000,,
2013-12-31,445000,,239752000,337173000,208747000,1.45,65602000,,47275000,,9397000,29623952,9761000,3622000,12395000,-2770000,44874000,-3250000,1.51,-1925000,,31819000,45514000,198000,0,208747000,3877000,144737000,39386000,277774000,44874000,0,,44874000,541000,28197000,3817000,10474000,331358000,30847135,376872000,20944000,251627000,10732000,2016000,24824000,15126000,-37000,99098000,54916000,97421000,55692000,35753000,,76316000,3877000,208747000,5884000,-3942000,,65818000,2958000,24000,-54771000,28515000,,-315000,109687000,3817000,16465000,-8377000,0,64010000,-89000,-8417000,,
2014-12-31,9410000,,397211000,541383000,50287000,1.69,82143000,35000000,71983000,,3470000,30845586,373851000,4810000,24352000,7747000,52826000,8209000,1.712595,-1068000,,62029000,469373000,-2651000,0,50287000,297500000,208747000,71982000,181302000,52826000,-7856000,,52826000,4341000,57219000,493000,30524000,391898000,31172000,861271000,24226000,295202000,15614000,2058000,49623000,160394000,-5091000,679969000,131588000,144172000,85350000,95522000,-491057000,112667000,5950000,50287000,70401000,6698000,,77052000,-8395000,5145000,-63711000,383646000,2168000,-11259000,195299000,4557000,261670000,-504424000,60522000,-158460000,-143050000,-13367000,,
2015-12-31,3446000,,384395000,552492000,84795000,1.89,93956000,35000000,61515000,,7009000,31158142,336398000,5990000,14708000,-15718000,59722000,-105000,1.92,-1205000,,74141000,417518000,-5114000,0,84795000,262500000,50287000,60485000,198829000,59722000,-9251000,,59722000,5062000,68151000,6829000,39964000,463705000,31635638,881223000,27341000,344197000,12829000,2102000,46085000,134911000,-309000,682394000,158515000,168097000,103826000,81120000,0,133620000,6683000,84795000,67215000,3126000,,87063000,10809000,6593000,-70990000,383906000,2728000,-2857000,229505000,6829000,-25842000,-42277000,0,34508000,-35000000,-42311000,,
2016-12-31,131197000,,372343000,553204000,38643000,1.75,90838000,35000000,83619000,,958000,31757861,326585000,7325000,32514000,17841000,55972000,4733000,1.762461,-1588000,4553000,90023000,427593000,-6849000,1000000,38643000,245490000,84795000,83252000,188442000,55972000,-10720000,1000000,55972000,594430000,82698000,-6319000,46202000,521033000,31923000,948626000,26962000,388089000,14758000,2117000,57245000,147484000,-7904000,760184000,165754000,180861000,107612000,101008000,-110601000,137040000,6896000,38643000,74199000,4745000,,82934000,-15659000,7265000,-79387000,439811000,0,-6881000,245141000,7024000,-19454000,-133594000,66008000,-46152000,-89384000,-23993000,,
2017-12-31,6998000,,405781000,594790000,40416000,2.79,97255000,35000000,82523000,,-1905000,32019605,238359000,9305000,28451000,1511000,90071000,-1982000,2.812995,-1905000,4804000,91754000,346755000,-1642000,2792000,40416000,183964000,38643000,91226000,199336000,90071000,-12069000,2792000,90071000,5073000,82449000,-28114000,44379000,616881000,32230000,963636000,-1583000,464639000,22930000,2135000,60696000,128073000,-8767000,764300000,189793000,189009000,110618000,108396000,-17393000,141634000,5847000,40416000,48548000,-319000,,88488000,-3906000,7544000,-95894000,441361000,,-28777000,285687000,6264000,-68626000,-42696000,73396000,1773000,-89384000,-28095000,,
2018-12-31,5314000,,439427000,643679000,54268000,2.42,107751000,,98974000,,-2787000,32256209,207681000,11592000,33789000,5988000,78573000,-4011000,2.435903,-1394000,4902000,96501000,289737000,-3602000,5131000,54268000,156000000,40416000,99545000,226314000,78573000,-13432000,4165000,78573000,6722000,84909000,-6944000,44666000,691618000,32445000,981355000,20457000,528027000,22025000,2151000,67187000,105985000,-8721000,755041000,194339000,204252000,118697000,82056000,-17399000,152417000,7372000,54268000,44309000,-6016000,,99030000,-7773000,,-113407000,447995000,,-5403000,307746000,6413000,-71447000,-31991000,82056000,13852000,-274250000,-19723000,,
2019-12-31,2454000,,432338000,643705000,65672000,,102553000,,96048000,,,,319757000,11377000,37267000,1134000,79671000,-4959000,,-21321000,,108814000,412015000,-5564000,1727000,65672000,248569000,54268000,93444000,254946000,79671000,-15135000,,79671000,8617000,97437000,-3709000,45862000,743667000,,1155682000,16807000,590921000,24604000,2161000,83893000,143924000,-116000,900736000,224197000,211367000,124461000,92258000,-141062000,148415000,7827000,,56431000,-11401000,,96478000,11623000,,-126482000,523998000,0,-3563000,350679000,7596000,43385000,-156225000,,11404000,-93567000,-28413000,,
