date,annualOtherCurrentAssets,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,annualOperatingIncome,annualCommonStockIssuance,annualCurrentDebt,annualFreeCashFlow,annualEndCashPosition,annualDilutedEPS,annualOtherShortTermInvestments,annualChangeInAccountPayable,annualAccountsPayable,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualBasicAverageShares,annualInvestmentsAndAdvances,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualOperatingExpense,annualCashAndCashEquivalents,annualBeginningCashPosition,annualCurrentAssets,annualLongTermDebt,annualAccountsReceivable,annualCashDividendsPaid,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,annualDilutedAverageShares,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualCurrentAccruedExpenses,annualRetainedEarnings,annualCapitalStock,annualInventory,annualOtherIncomeExpense,annualCurrentLiabilities,annualNetPPE,annualGrossProfit,annualEbitda,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,annualPurchaseOfInvestment,annualPretaxIncome,annualChangesInAccountReceivables,annualInterestExpense,annualBasicEPS,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualGrossPPE,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualIncomeTaxPayable,annualGoodwill,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue,annualOtherIntangibleAssets,annualSellingGeneralAndAdministration,annualStockBasedCompensation
1997-12-31,9200000,264600000,,109900000,42800000,,33700000,19200000,2100000,0.933333,,,14500000,-9800000,22500000,24107143,,22500000,290900000,,-6500000,111900000,2100000,5300000,72400000,129900000,28400000,-20700000,,,22500000,-100000,29100000,,24107143,180900000,471800000,11900000,12400000,52300000,16100000,19100000,2200000,60600000,371400000,154700000,71900000,40800000,399400000,194700000,56300000,2100000,,,34400000,,10700000,0.933333,-407600000,-1400000,779000000,0,-15900000,-21600000,-28100000,33700000,-3200000,,,,,,,,,,
1998-12-31,7600000,249800000,,87400000,40400000,,200000,39700000,7300000,0.92,,,15400000,15400000,22200000,24130435,,22200000,284000000,,-10000000,122000000,7300000,2100000,73900000,159800000,26800000,-20900000,,,22200000,100000,34800000,,24130435,182300000,466300000,10700000,10800000,53600000,16100000,19100000,3200000,26300000,374000000,162400000,75200000,70500000,392400000,224000000,54200000,7300000,,,32900000,,10900000,0.92,-447000000,-1200000,821000000,-100000,-24500000,-30800000,-40800000,-100000,5100000,,,,,,,,,,
1999-12-31,7900000,274100000,,104000000,44800000,1700000,27000000,9300000,1900000,0.986667,,,19600000,2000000,23700000,24126000,,23700000,309800000,-1000000,-10800000,125300000,1900000,7300000,71100000,148600000,27900000,-21000000,,,23700000,3600000,33700000,,24220183,185700000,495500000,12300000,13700000,56300000,16200000,20200000,3200000,60300000,394800000,170100000,80000000,60300000,424400000,217500000,52200000,1900000,,,36000000,,12000000,0.986667,-484400000,-700000,879200000,-100000,-3800000,-51000000,-61800000,27000000,-5300000,,,,,,,,,,
2000-12-31,8760000,324108000,,132783000,55517000,8964000,44200000,-25832000,4307000,1.113333,,,28792000,-13887000,27355000,24573000,,27355000,371292000,-1080000,-11235000,135808000,4307000,1948000,100520000,183437000,38161000,-21588000,,,27355000,3988000,,,24573000,200312000,571604000,15416000,14245000,62112000,16619000,21392000,1383000,87237000,441654000,191325000,92065000,47774000,471084000,249066000,51793000,4307000,,,42771000,,14129000,1.113333,-510381000,-1074000,952035000,0,39426000,-73606000,-84841000,44200000,2359000,,,,,,,,,,
2001-12-31,10573000,333711000,,144644000,48507000,10879000,29500000,32718000,2421000,1.08,,,22156000,6926000,27362000,25228500,,27245000,325159000,-883000,2052000,140560000,2421000,4307000,83224000,157600000,25061000,-22341000,,,27245000,26237000,-2941000,,25228500,216292000,541451000,11731000,10123000,67016000,17072000,28683000,4158000,61779000,404859000,189067000,84966000,74684000,458227000,235017000,62125000,2421000,-8809000,,39093000,,13572000,1.08,-340660000,8978000,745519000,0,-52037000,-41966000,-24533000,29500000,-1886000,,,,,,,,,,
2002-12-31,12851000,347096000,,156229000,58130000,13597000,34298000,-21553000,2998000,1.126667,,,32039000,1047000,29193000,25966500,,29193000,401525000,-9425000,-8095000,132737000,2998000,2421000,96971000,192149000,36275000,-23170000,,,29193000,35493000,,,25966500,227370000,628895000,18727000,14210000,73039000,17575000,26308000,2335000,80547000,460328000,190867000,87492000,56729000,531924000,315571000,67857000,2998000,2375000,,47920000,,12545000,1.126667,-365243000,3629000,825571000,0,30225000,-78282000,-86377000,34298000,577000,,,,,,,,,,
2003-12-31,16219000,401547000,,195144000,59831000,23162000,51680000,-14368000,2020000,1.14,,,35043000,-1380000,30640000,26841000,,30640000,458617000,-3390000,-10504000,146572000,5384000,685000,112463000,202204000,37713000,-24137000,,,30640000,31293000,,,26841000,263070000,721687000,19901000,18842000,79542000,18344000,31503000,2486000,105565000,537511000,206403000,83175000,68602000,609224000,348161000,80416000,5384000,-5195000,,50541000,,11776000,1.14,-365243000,13075000,902754000,-200000,26207000,-82970000,-93474000,51680000,1335000,,,,,,,,,,
2004-12-31,20415000,424881000,,210111000,61953000,63154000,53275000,-36908000,3561000,1.18,,,42488000,-18491000,33840000,28678500,,33840000,489174000,686000,-2585000,152817000,3561000,2020000,142238000,202257000,57040000,-25943000,,,33840000,40557000,14682000,,28678500,338197000,827371000,20656000,19798000,87439000,20390000,36342000,3977000,115561000,607398000,214770000,86884000,62314000,685133000,340460000,94016000,3561000,-4839000,,54496000,,11434000,1.18,-374604000,8832000,982002000,636000,39442000,-99222000,-100215000,53275000,1541000,,,,,,,,,,
2005-12-31,19981000,513370000,,292802000,60472000,2259000,82500000,-35944000,3331000,1.046667,,,49502000,-21728000,32091000,30654000,,32091000,573024000,195000,13588000,160096000,3331000,3504000,160905000,222312000,58351000,-28054000,,-119000,32091000,43201000,3432000,,30654000,343883000,916907000,19871000,20978000,91476000,20454000,48810000,4938000,152980000,667657000,220568000,89780000,49827000,756002000,394367000,103258000,3331000,-12468000,,51962000,,13448000,1.046667,-294925000,10900000,962582000,-1128000,22183000,-85771000,-72183000,82500000,-173000,,,,,,,,,,
2006-12-31,29940000,507546000,,255722000,78994000,17169000,72000000,8464000,3003000,1.373333,,,45063000,8743000,42423000,30846000,,42423000,606884000,581000,-1866000,172830000,3003000,3331000,149413000,237284000,37905000,-28513000,,,42423000,47681000,18906000,,30846000,375348000,982232000,25899000,26798000,105386000,20975000,52527000,4329000,143861000,728423000,251824000,110499000,101039000,832819000,435319000,105197000,3003000,-3717000,,68322000,,15001000,1.373333,-405391000,5241000,1133814000,-82000,-6926000,-92575000,-94441000,72000000,-328000,,,,,,,,,,
2007-12-31,26023000,537594000,,275126000,83667000,32786000,133500000,-59672000,3789000,1.513333,,,58498000,-8494000,48825000,32280000,,48825000,683861000,1643000,743000,178801000,3789000,3003000,155675000,232346000,47065000,-30295000,,,48825000,52668000,5625000,,32280000,427726000,1111587000,27855000,28114000,123916000,21950000,48428000,6069000,220112000,843988000,262468000,115999000,76586000,955912000,439777000,110480000,3789000,4099000,,76680000,,13056000,1.513333,-430572000,750000,1274560000,0,58991000,-136258000,-134791000,133500000,786000,,,,,,,,,,
2008-12-31,41180000,595993000,,300969000,87783000,30997000,124500000,-31065000,4106000,1.586667,,,47229000,-31539000,52768000,33295500,,52768000,790073000,191000,1191000,207241000,4106000,3789000,193878000,272408000,52925000,-31780000,,,52768000,51369000,1216000,,33295500,478202000,1268275000,29056000,33512000,144904000,22905000,60966000,8044000,205241000,901243000,295024000,127056000,74712000,1074397000,563282000,120241000,4106000,-12538000,,81824000,,14002000,1.586667,-901243000,8583000,1802486000,-330000,29887000,-105777000,-104282000,124500000,317000,,,,,,,,,,
2009-12-31,8323000,533819000,652952000,245039000,84665000,6275000,66028000,39980000,4704000,1.473333,,-9037000,35839000,12639000,50997000,34605000,53455000,50997000,780090000,205000,1541000,204115000,4704000,4106000,165081000,320942000,38350000,-33693000,114000,,50997000,821000,6070000,41080000,34605000,501795000,1281885000,28170000,4028000,162208000,23114000,50994000,8096000,127138000,939764000,288780000,133841000,117909000,1116804000,0,142244000,4704000,10241000,-3701000,79167000,11188000,13594000,1.473333,-490354000,17710000,1430118000,50082000,-37336000,-77929000,-79975000,21243000,598000,-60000000,,,,,,,,,
2010-12-31,9501000,532591000,711601000,216970000,96602000,0,24167000,63951000,7110000,1.666667,,-2895000,32555000,-3845000,57718000,34671000,55845000,57718000,792813000,142000,-12000,219019000,7110000,4704000,162302000,334351000,44235000,-34370000,161000,,57718000,0,14303000,37960000,34671000,525080000,1317893000,33820000,12515000,185556000,23114000,47239000,11093000,81212000,968007000,315621000,145655000,124033000,1155591000,0,168855000,7110000,3755000,-810000,91538000,-8191000,16157000,1.666667,-520555000,25381000,1488562000,-1345000,-64242000,-60082000,-57385000,9577000,2406000,-16527000,,,,,,,,,
2011-12-31,8270000,546382000,844856000,214369000,107868000,0,2667000,65596000,41169000,1.76,0,2055000,34532000,7006000,60928000,34671000,60332000,60928000,907930000,112000,1873000,224145000,41169000,7110000,189131000,360903000,42062000,-35026000,,,60928000,0,-2148000,40942000,34671000,550952000,1458882000,35992000,4085000,211458000,23114000,39801000,9214000,63074000,995566000,332013000,158024000,130772000,1269751000,0,201630000,41169000,7438000,-3160000,96920000,-2436000,20162000,1.76,-551762000,33698000,1547328000,-336000,-30362000,-65176000,-66351000,8783000,34059000,-25000000,,,,,,,,,
2012-12-31,17021000,541323000,931698000,371493000,112763000,,3013000,47566000,46357000,1.86,,-272000,43518000,-282000,64446000,34671000,64595000,64446000,1007495000,94000,-697000,57067000,46357000,41169000,222937000,358491000,41386000,-35951000,,,64446000,0,-20381000,38707000,34671000,579429000,1586924000,38919000,14359000,239953000,23114000,38344000,10069000,75797000,1073464000,169830000,161539000,146004000,1363987000,0,271930000,46357000,1457000,-2419000,103365000,-6208000,19467000,1.86,-578030000,44797000,1651494000,-844000,-39463000,-98438000,-101353000,14907000,5188000,-30668000,,,,,,,,,
2013-12-31,14602000,590887000,864884000,405455000,127987000,,4102000,21210000,68813000,2.16,,858000,43684000,4998000,74905000,34668000,67952000,74905000,961550000,377000,-1205000,57445000,68813000,46357000,220601000,399414000,44890000,-37107000,,,74905000,2193000,-30560000,38838000,34668000,617510000,1579060000,44859000,16392000,266197000,34668000,35856000,10701000,96666000,1160224000,185432000,177526000,140267000,1358459000,0,286204000,68813000,2488000,-1660000,119764000,-3827000,18924000,2.16,-597917000,38365000,1758141000,-770000,4111000,-119057000,-121922000,30777000,22456000,-43012000,,,,,,,,,
2014-12-31,19071000,619852000,948269000,421407000,138098000,,11182000,36086000,65755000,2.316805,,2756000,41655000,-34500000,80319000,34668000,71760000,80319000,1038265000,458000,-1297000,60347000,65755000,68813000,253959000,395256000,41614000,-38429000,,,80319000,0,-7044000,40695000,34668000,659401000,1697666000,48185000,16327000,308007000,34668000,46255000,10079000,89996000,1208106000,198445000,188872000,128762000,1443707000,0,343268000,65755000,-10399000,-2185000,128504000,2115000,19673000,2.32,-605003000,49884000,1813109000,-130000,-35662000,-92676000,-96158000,20832000,-3058000,-4103000,,,,,,,,,
2015-12-31,20108000,564028000,956069000,375669000,124255000,,4266000,69155000,81384000,2.057892,,-3499000,40830000,8656000,71343000,34668000,73631000,71343000,1040215000,357000,-230000,64104000,81384000,65755000,254751000,391014000,37112000,-40043000,,,71343000,0,-7812000,44225000,34668000,690458000,1730673000,41363000,16282000,339165000,34668000,48410000,8613000,84146000,1243445000,188359000,177093000,141185000,1475922000,0,361835000,81384000,-2646000,-1053000,112706000,4508000,20162000,2.06,-630359000,21927000,1873804000,-1018000,-52243000,-72030000,-73313000,22768000,15629000,-4182000,,,,,,,,,
2016-12-31,18707000,544745000,973467000,351809000,128228000,,4333000,63854000,95959000,2.179532,,9881000,47799000,14228000,75560000,34668000,76290000,75560000,1076972000,202000,-209000,64708000,95959000,81384000,275515000,382791000,39887000,-41775000,,,75560000,5603000,-10331000,44646000,34668000,724088000,1801060000,42513000,17387000,372950000,34668000,41137000,9711000,103505000,1282059000,192936000,182585000,147513000,1525545000,0,384760000,95959000,7273000,-2958000,118073000,-5666000,19866000,2.18,-639335000,22421000,1921394000,-70000,-46112000,-83659000,-86826000,33986000,14575000,-4267000,,,,,,,,,
2017-12-31,20395000,563099000,950481000,361992000,128736000,,28452000,24860000,107952000,2.815449,,-5290000,47645000,-11140000,97606000,34668000,67772000,97606000,1076995000,377000,32000,72371000,107952000,95959000,290631000,398161000,42299000,-43682000,,,97606000,0,-1448000,53077000,34668000,778187000,1855182000,22094000,17846000,426874000,34668000,43793000,10288000,126514000,1341357000,201107000,192101000,132991000,1564551000,0,226048000,107952000,-2568000,-11081000,119700000,-4502000,19324000,2.82,-661176000,-4082000,2002533000,-597000,-4637000,-108131000,-116361000,32571000,11993000,-34358000,,,,,,,,,
2018-12-31,18070000,559768000,1051346000,369739000,114207000,,17553000,-59157000,84929000,2.43,,-4855000,46158000,21319000,84219000,34668000,78000000,84219000,1171974000,0,-205000,75822000,83102000,112094000,240560000,493343000,43593000,-45762000,,,84219000,,-10160000,56412000,34668000,816644000,1988618000,27434000,20428000,465708000,34668000,41995000,17055000,120628000,1509437000,190029000,187674000,153040000,1748058000,,232770000,83102000,2724000,-5926000,111653000,-2235000,19609000,2.43,-706091000,3749000,2215528000,-662000,38123000,-212197000,-218328000,36489000,-27165000,-24453000,,,,,,,,,
2019-12-31,21665000,568855000,1097168000,365643000,111792000,,19659000,-33561000,25814000,,,-7432000,55161000,-20704000,80779000,,88492000,58430000,1225988000,,-508000,91420000,23481000,84929000,181641000,523741000,40482000,-47842000,,,58430000,,-10135000,71562000,,855676000,2081664000,17418000,19996000,504740000,34668000,45282000,10703000,128820000,1642683000,203212000,183354000,130475000,1900023000,,244065000,,-3420000,-7813000,98197000,-1285000,24298000,,-745874000,7212000,2388557000,-1838000,-17233000,-164036000,-172357000,34004000,-59115000,-4553000,,,,,,,,,
