date,annualNetOtherFinancingCharges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentDebt,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,annualTotalRevenue,annualCostOfRevenue,annualBasicEPS,annualDeferredIncomeTax,annualOtherNonCurrentAssets,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualNetIncomeCommonStockholders,annualDilutedEPS,annualRetainedEarnings,annualCommonStockIssuance,annualAccountsReceivable,annualFreeCashFlow,annualNetIncome,annualBeginningCashPosition,annualCashDividendsPaid,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualTaxProvision,annualTotalAssets,annualOtherNonCashItems,annualOtherCurrentAssets,annualLongTermDebt,annualStockholdersEquity,annualCurrentLiabilities,annualDepreciationAndAmortization,annualChangeInInventory,annualInventory,annualSaleOfInvestment,annualCapitalStock,annualPurchaseOfBusiness,annualStockBasedCompensation,annualNetPPE,annualDilutedAverageShares,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualOtherIntangibleAssets,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualOtherCurrentLiabilities,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,annualPretaxIncome,annualInterestExpense,annualRepaymentOfDebt,annualPurchaseOfInvestment,annualGoodwill,annualOtherNonCurrentLiabilities,annualCapitalExpenditure,annualOperatingIncome,annualOtherIncomeExpense,annualInvestingCashFlow,annualAccountsPayable,annualBasicAverageShares,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualIncomeTaxPayable,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue
2002-12-31,4038000.0,66647000,90205000,,7722000,,,926691000,593723000,0.93,6150000.0,21684000,225895000,-46027000.0,,-520182000,285285000,,447973000,3117000,447196000,-5216000.0,,66647000,0.91,548258000.0,4075000.0,197881000.0,64674000,66647000,48013000,-8618000.0,600475000,148348000,31711000,1047671000,,0,219182000,594467000,162688000,72141000,2834000,127828000,,372000.0,,,434817000,73238462,154452000,90205000,332968000,143974000,179214000,37855000,0.0,954999000,42192000,-2326000,98358000,10695000,,,,28248000.0,-89778000,107073000,-5676000,-87737000,154966000.0,71663441,90205000,-34490000,,,
2003-12-31,0.0,79679000,164982000,,96710000,,,1114689000,732038000,1.105,4836000.0,27106000,257455000,65708000.0,,-651080000,191615000,,474835000,-24612000,602454000,-3156000.0,,79679000,1.08,618547000.0,9716000.0,231976000.0,62511000,79679000,90205000,-9390000.0,661889000,171604000,37591000,1264343000,,0,125196000,783051000,283220000,85851000,-18504000,165207000,,377000.0,,,483431000,73776852,139780000,164982000,382651000,151352000,211047000,39757000,0.0,1134511000,74777000,-156000,117270000,9846000,,,,26662000.0,-77269000,125196000,-775000,-73983000,186510000.0,72107692,164982000,-12832000,,,
2004-12-31,0.0,93287000,170368000,,63292000,,,1296608000,866865000,1.29,-2170000.0,23324000,288859000,120323000.0,,-747787000,216736000,,493597000,-6562000,661229000,-55536000.0,,93287000,1.255,695901000.0,13320000.0,266894000.0,63480000,93287000,164982000,-15933000.0,712797000,194366000,43890000,1374026000,,0,142581000,873197000,276861000,94493000,-14282000,189349000,,382000.0,,,534762000,74332271,183225000,170368000,429743000,154711000,235377000,45169000,0.0,1282549000,5386000,-2078000,137177000,10012000,,,,28986000.0,-119745000,140884000,2433000,-114971000,213569000.0,72315504,170368000,-74970000,,,
2005-12-31,0.0,100034000,117635000,,102103000,,,1380009000,927585000,1.42,-6244000.0,13518000,302631000,24289000.0,,-735659000,222469000,,543231000,-5364000,605291000,-61081000.0,,100034000,1.385,771304000.0,17544000.0,260175000.0,89627000,100034000,170368000,-24631000.0,752028000,203389000,41919000,1357319000,,0,144541000,809388000,320762000,99242000,-351000,184241000,11000.0,386000.0,,,536820000,72226715,194055000,117635000,452424000,16927000,249035000,45056000,0.0,1272479000,-52733000,-120000,141953000,12144000,,,184763000.0,32872000.0,-104428000,149793000,958000,-193566000,218659000.0,70446479,117635000,-34562000,,,
2006-12-31,2624000.0,102896000,170576000,,127424000,,,1601385000,1086269000,1.475,-10142000.0,10413000,353513000,109505000.0,,-872241000,244864000,,645049000,-29575000,762820000,-57682000.0,,102896000,1.435,844921000.0,19535000.0,320969000.0,85102000,102896000,117635000,-29279000.0,829192000,238907000,45410000,1592012000,21429000.0,0,168877000,946400000,400185000,114606000,-22801000,226455000,,392000.0,,,591077000,71704530,197461000,170576000,515116000,19820000,276209000,33741000,0.0,1463318000,52941000,355000,148306000,16985000,,,207882000.0,42246000.0,-112359000,161603000,-446000,-141843000,272761000.0,69760000,170576000,-17346000,,,
2007-12-31,4910000.0,139507000,313739000,,216159000,,,1892167000,1283773000,2.06,-11783000.0,11515000,397662000,214294000.0,,-1033544000,227190000,,792379000,4835000,1003445000,-76391000.0,,141739000,1.98,950566000.0,19050000.0,360736000.0,134324000,141739000,170576000,-34439000.0,908505000,274196000,60488000,1911950000,17514000.0,0,146711000,1119018000,565189000,123466000,-26261000,272556000,,794000.0,,,656508000,71585354,273463000,313739000,608394000,17814000,334198000,28613000,0.0,1690052000,143163000,162000,199995000,19492000,,,222668000.0,51866000.0,-139139000,210732000,-196000,-131243000,349030000.0,68805340,313739000,-22903000,,,
2008-12-31,3797000.0,153495000,192072000,,64619000,712000.0,,2071685000,1411275000,2.26,-1326000.0,24258000,431991000,139300000.0,,-1078063000,326344000,,701080000,-28677000,859749000,-57569000.0,,153495000,2.18,1065998000.0,,,65288000,153495000,313739000,-38063000.0,972181000,300846000,67473000,1831930000,3063000.0,78965000,226888000,1130850000,374736000,131145000,16800000,244775000,,801000.0,-19501000.0,11054000.0,720882000,70518000,270211000,192072000,660410000,23438000,370800000,24561000,0.0,1798945000,-121667000,-901000,220968000,18687000,-174350000.0,-801000.0,227041000.0,0.0,-204923000,228419000,310000,-225541000,,67851000,192072000,-151622000,,,
2009-12-31,1859000.0,124597000,332964000,,128355000,898000.0,,1841616000,1225670000,1.84,-1329000.0,13206000,417565000,186099000.0,,-1190576000,281710000,,697707000,13879000,943491000,-29623000.0,,124623000,1.79,1150017000.0,,,148357000,124623000,192072000,-40604000.0,1007852000,276989000,59461000,1951343000,5136000.0,59933000,209616000,1252845000,415997000,133013000,21768000,230807000,,806000.0,-7577000.0,9761000.0,764068000,69785000,293591000,332964000,615946000,17158000,333556000,20992000,0.0,1954644000,140892000,77000,184058000,16485000,-26993000.0,0.0,230578000.0,0.0,-145234000,198381000,-1171000,-151064000,,67643000,332964000,-13186000,,,
2010-12-31,5555000.0,173589000,376427000,,95566000,853000.0,,2076719000,1378792000,2.58,503000.0,19699000,429820000,123766000.0,,-1231557000,332599000,,755921000,-64999000,1063983000,-86473000.0,,173481000,2.48,1279013000.0,,357110000.0,142452000,173481000,332964000,-44485000.0,971712000,296861000,80796000,2035695000,93000.0,58191000,258773000,1278923000,423322000,132959000,-47388000,272255000,,817000.0,-3014000.0,11215000.0,724984000,69815000,261715000,376427000,697927000,5242000,401715000,22134000,0.0,1956541000,43463000,-120000,254385000,14371000,-84626000.0,0.0,227029000.0,0.0,-119263000,268107000,-2599000,-120999000,,67344000,376427000,-79591000,,,
2011-12-31,6433000.0,183630000,377616000,94323000.0,183668000,3812000.0,17164000.0,2337183000,1568286000,2.76,2004000.0,26941000,481872000,60318000.0,,-1295185000,349874000,,868723000,-85084000,1143950000,-102595000.0,-44997000.0,183683000,2.65,1409388000.0,,389020000.0,81350000,183683000,376427000,-53308000.0,1015345000,347629000,91312000,2159295000,-71000.0,92159000,254910000,1289776000,518849000,134243000,-22332000,285155000,,827000.0,-14883000.0,13753000.0,754715000,69274000,261042000,377616000,768897000,4374000,426485000,27390000,0.0,2049900000,1189000,59000,274942000,17300000,-50490000.0,-3145000.0,233689000.0,0.0,-179692000,287025000,-505000,-195823000,108973000.0,66553000,377616000,-28546000,,,
2012-12-31,6291000.0,162420000,229755000,80886000.0,74654000,3693000.0,42148000.0,2331036000,1590365000,2.45,-9015000.0,84554000,478656000,60683000.0,,-1397575000,488591000,-824000.0,943914000,-3703000,1040073000,-79793000.0,16689000.0,162612000,2.38,1513558000.0,,396788000.0,139839000,162612000,377616000,-58442000.0,1284339000,341634000,78953000,2324412000,13152000.0,91645000,352860000,1379890000,455323000,137022000,-19712000,321885000,,840000.0,-188119000.0,12695000.0,848233000,68395000,313892000,229755000,740671000,51960000,397345000,33451000,42148000.0,2245808000,-147861000,84000,241373000,18950000,-137076000.0,-279000.0,351552000.0,0.0,-174053000,262015000,-4688000,-359459000,136941000.0,66392000,229755000,-99383000,,,
2013-12-31,5606000.0,171926000,309861000,89000000.0,139770000,8243000.0,37084000.0,2520013000,1708936000,2.6,6844000.0,75824000,514703000,109751000.0,,-1518894000,474633000,1144000.0,1017454000,-76924000,1198411000,-118813000.0,-32806000.0,171994000,2.52,1619419000.0,,438221000.0,133201000,171994000,229755000,-66133000.0,1299351000,364747000,92457000,2497762000,13728000.0,97170000,354814000,1479757000,542821000,149956000,-29918000,353159000,,853000.0,-5256000.0,13728000.0,864662000,68208000,285436000,309861000,811077000,49951000,434853000,42072000,37084000.0,2383556000,80106000,-65000,264383000,20514000,-25326000.0,-5256000.0,358865000.0,0.0,-152235000,296374000,-14710000,-157120000,150122000.0,66090000,309861000,-67134000,,,
2014-12-31,6278000.0,191624000,399762000,68520000.0,251976000,5760000.0,42641000.0,2597809000,1755266000,2.95,-18973000.0,80531000,536127000,-110045000.0,,-1484546000,725004000,-24319000.0,1329742000,-47646000,1213938000,-340517000.0,-16322000.0,191658000,2.85,1740005000.0,,406976000.0,152602000,191658000,309861000,-71072000.0,1221927000,383909000,94677000,2435865000,17971000.0,96128000,588892000,1105614000,604738000,152218000,5205000,311072000,,862000.0,0.0,17971000.0,811655000,67292000,314551000,399762000,842543000,40045000,459548000,25521000,42641000.0,2296201000,89901000,-2357000,286301000,21029000,-778000.0,0.0,329741000.0,0.0,-161949000,306416000,-3883000,-159200000,116374000.0,65009000,399762000,-18960000,,,
2015-12-31,7172000.0,199295000,489901000,80890000.0,56972000,4590000.0,33253000.0,2317149000,1502650000,3.19,-7141000.0,68109000,490354000,-262347000.0,29816000.0,-1465873000,877120000,39330000.0,1274488000,-47734000,1280462000,-13887000.0,-27759000.0,199348000,3.09,1185681000.0,,377038000.0,175192000,199348000,399762000,-71247000.0,1143732000,351461000,95276000,2424194000,20612000.0,88795000,762524000,1149411000,397368000,138893000,-18925000,294912000,,667000.0,0.0,20612000.0,765383000,64492000,324515000,519717000,814499000,33210000,468079000,20486000,33253000.0,2231256000,90139000,5035000,294571000,34615000,-228343000.0,-32769000.0,310240000.0,0.0,-149323000,324145000,-555000,-176230000,115061000.0,62585000,489901000,-33066000,,,
2016-12-31,9171000.0,205604000,466287000,89790000.0,173816000,4241000.0,44068000.0,2330934000,1498070000,3.27,-11112000.0,144772000,522364000,-319709000.0,0.0,-1545384000,889588000,-12474000.0,1432543000,-57450000,1270170000,-131371000.0,-41721000.0,205590000,3.17,1197234000.0,,433127000.0,195715000,205590000,489901000,-76659000.0,1336615000,367562000,74893000,2606785000,19824000.0,73842000,772737000,1173950000,542955000,154802000,-834000,296914000,29485000.0,660000.0,-202985000.0,19824000.0,784321000,64849000,327193000,466287000,832864000,94489000,470536000,16803000,44068000.0,2329705000,-23614000,1579000,280497000,35237000,-55314000.0,0.0,407522000.0,0.0,-131478000,310500000,2591000,-300502000,115514000.0,62804000,466287000,-31609000,,,
2017-12-31,-8252000.0,220029000,714393000,118346000.0,66169000,9444000.0,45196000.0,2469283000,1604181000,3.52,2238000.0,155957000,541375000,-253302000.0,,-1811819000,1298027000,58245000.0,1827529000,-91930000,1671827000,-161534000.0,-44658000.0,220030000,3.41,1301147000.0,,510426000.0,168105000,220030000,466287000,-79944000.0,1467750000,388281000,74796000,3139577000,4710000.0,109792000,1191146000,1311738000,529502000,153094000,-12989000,337216000,0.0,667000.0,-5000000.0,18924000.0,867906000,64596000,324729000,714393000,865102000,95460000,488516000,20995000,45196000.0,2679725000,246353000,943000,294825000,40597000,-335011000.0,-66155000.0,443887000.0,0.0,-156624000,323727000,6225000,-224800000,153862000.0,62435000,712640000,114792000,,,
2018-12-31,,194766000,261823000,124547000.0,163971000,25448000.0,67775000.0,2764761000,1812961000,3.12,-23352000.0,343219000,601702000,-310504000.0,,-1855810000,1265694000,37155000.0,1954864000,-62477000,1330808000,-61691000.0,,194745000,3.0,1371826000.0,,569630000.0,101765000,194745000,712640000,-82346000.0,2046927000,429955000,71254000,3377735000,,118245000,1125993000,1422556000,689170000,171747000,-25183000,381110000,0.0,673000.0,-527916000.0,19561000.0,991613000,64958000,313628000,261823000,951800000,254904000,470393000,53917000,,2847423000,-445817000,9852000,266020000,32626000,-102284000.0,-10000000.0,712095000.0,,-211863000,350098000,-58508000,-735461000,164528000.0,62437000,266823000,-14872000,,,
