date,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualNetPPE,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualDilutedEPS,annualEbitda,annualRepaymentOfDebt,annualGrossProfit,annualOperatingCashFlow,annualBasicAverageShares,annualChangeInInventory,annualGrossPPE,annualBasicEPS,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualCapitalExpenditure,annualInvestingCashFlow,annualOperatingExpense,annualChangesInAccountReceivables,annualGoodwill,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualTotalRevenue,annualCapitalStock,annualPurchaseOfInvestment,annualDilutedAverageShares,annualNetOtherFinancingCharges,annualInterestExpense,annualStockBasedCompensation,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualResearchAndDevelopment,annualAccountsPayable,annualOtherCurrentAssets,annualOperatingIncome,annualEndCashPosition,annualNetIncome,annualCurrentDeferredRevenue,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualPretaxIncome,annualInvestmentsAndAdvances,annualFreeCashFlow,annualCurrentDebt,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualCurrentAssets,annualDepreciationAndAmortization,annualLongTermDebt,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualCurrentAccruedExpenses,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsReceivable,annualCommonStockIssuance,annualNonCurrentDeferredRevenue,annualCashDividendsPaid
1989-12-31,2900000,,50100000,900000,60400000,0.445,29000000,,141000000,9800000,22696629,-1600000.0,75000000,0.445,0,4000000,,,6200000.0,-24900000,-300000.0,-13400000.0,-16800000,119900000,,,53200000,6000000.0,32200000,-1000000.0,236300000,,,22696629,0.0,6100000,,,115500000,,,-6400000.0,,16600000.0,8700000,21100000,0,10100000,,-3600000.0,2900000,10100000,95300000,15800000.0,,-3600000,25500000,200000.0,,10300000,112000000,-1200000.0,124000000,7900000.0,35000000,68900000,184400000,5700000.0,,10100000,74300000,46700000,41200000,,800000.0,,
1990-12-31,2000000,,56400000,100000,66000000,0.455,34700000,,173400000,12100000,23516484,-6000000.0,91600000,0.455,100000,2900000,,,4700000.0,-35200000,-1700000.0,-13400000.0,-17600000,149000000,,,63200000,7400000.0,37800000,-900000.0,286700000,,-100000.0,23516484,100000.0,7100000,,,132100000,,,-11300000.0,,18600000.0,11500000,24400000,0,10700000,,-4300000.0,2000000,10700000,113300000,17200000.0,,-1300000,28200000,200000.0,-500000.0,9600000,138700000,100000.0,147200000,10300000.0,42700000,81100000,213200000,6500000.0,,10700000,84600000,57300000,47500000,,1600000.0,,
1991-12-31,4800000,,76500000,-800000,86300000,0.345,34200000,,188500000,4100000,23768116,-8600000.0,120800000,0.345,0,2000000,,,5300000.0,-44300000,600000.0,-31000000.0,-26600000,166400000,,,72100000,25400000.0,42900000,2800000.0,310700000,,-900000.0,23768116,0.0,7900000,,,162300000,,,-15100000.0,,17500000.0,13700000,22100000,0,8200000,,200000.0,4800000,8200000,122200000,13600000.0,,-26900000,31700000,5100000.0,,9800000,154300000,-200000.0,166800000,12100000.0,64900000,90800000,253100000,5400000.0,,8200000,92100000,64200000,70200000,,900000.0,,
1992-12-31,2700000,,82500000,22400000,91400000,0.655,28400000,,206000000,4000000,23816794,-15700000.0,134900000,0.655,-100000,4800000,,,9400000.0,-52400000,-2800000.0,-20400000.0,-12100000,191500000,,,82400000,1700000.0,43100000,-2100000.0,330300000,,-3300000.0,23816794,-100000.0,9400000,,,165600000,,,-13600000.0,,18900000.0,20000000,14500000,0,15600000,,-1300000.0,2700000,15600000,124300000,27600000.0,,-16400000,36400000,12000000.0,,8900000,177600000,-100000.0,181300000,13900000.0,57900000,107100000,272700000,12000000.0,,15600000,98400000,81300000,67200000,,900000.0,,
1993-12-31,3100000,,80900000,2800000,90300000,0.115,27000000,,194200000,22500000,24347826,9100000.0,143100000,0.115,0,2700000,,,14400000.0,-62200000,3400000.0,-14500000.0,-8800000,183800000,,,72100000,-15200000.0,41900000,400000.0,328600000,,-200000.0,24347826,0.0,8400000,,,149600000,,,4100000.0,,14700000.0,18600000,10400000,0,2800000,,800000.0,3100000,2800000,134400000,4700000.0,,8000000,30800000,5100000.0,,9400000,167200000,,169600000,16600000.0,47800000,110300000,259900000,1900000.0,,2800000,87400000,84100000,62200000,,800000.0,,
1994-12-31,3800000,,75600000,-6600000,85400000,0.643333,53500000,,216300000,48300000,24225000,1600000.0,150400000,0.643333,0,3100000,,,17700000.0,-74800000,3900000.0,-9800000.0,-13100000,179600000,,,73300000,-32900000.0,47200000,600000.0,355300000,,-1400000.0,24255319,0.0,6100000,,,133900000,,,8600000.0,30200000.0,21100000.0,19500000,36700000,0,15600000,,-3200000.0,3800000,15600000,139000000,24000000.0,,38500000,21600000,1300000.0,,9800000,132600000,800000.0,178300000,16800000.0,26300000,129800000,263700000,8400000.0,,15600000,89900000,99700000,44000000,,800000.0,,
1995-12-31,14800000,,73000000,-1700000,83500000,1.03,56400000,,241400000,38200000,24411000,-1000000.0,159400000,1.03,0,3800000,,,17300000.0,-86400000,-1300000.0,-12300000.0,-13900000,201700000,,,75400000,-13100000.0,55600000,11000000.0,396600000,,-3100000.0,24411000,0.0,4500000,,,128000000,,,-2000000.0,34700000.0,19900000.0,19300000,39700000,0,25200000,,-1500000.0,14800000,25200000,155200000,33600000.0,,25900000,14300000,3000000.0,,10500000,150300000,-100000.0,201600000,16700000.0,20900000,157100000,285100000,8400000.0,,25200000,89800000,124900000,38200000,,1100000.0,,
1996-12-31,9400000,,71900000,-2100000,86400000,1.065,59600000,,254700000,33200000,24546000,5300000.0,168000000,1.065,0,14800000,,,15600000.0,-96100000,-4900000.0,-15200000.0,-14800000,213000000,,,69700000,-25200000.0,52200000,-5400000.0,418800000,,-2700000.0,24947368,-100000.0,3000000,,,101400000,,,-2500000.0,39600000.0,21300000.0,21600000,41700000,9400000,26200000,,100000.0,9400000,27400000,164100000,36500000.0,,18000000,5600000,3000000.0,-1900000.0,14500000,155500000,-1100000.0,198500000,17900000.0,6700000,183500000,284900000,9100000.0,,26200000,79100000,151000000,22300000,,1500000.0,,
1997-12-31,10800000,27700000.0,78700000,-2700000,124500000,0.66,46100000,,257000000,21100000,24520000,-14800000.0,178700000,0.665,-100000,9400000,,,15500000.0,-100000000,-1300000.0,-54800000.0,-55900000,230400000,,,91400000,33500000.0,57600000,1500000.0,426900000,,-8400000.0,24788000,0.0,1200000,,,155200000,,,-7500000.0,46100000.0,32400000.0,28200000,26600000,0,16400000,,3900000.0,10800000,16400000,169900000,22800000.0,,-33700000,10800000,3400000.0,-5300000.0,18100000,164800000,-900000.0,227400000,19500000.0,39000000,196700000,351900000,6400000.0,,16400000,100800000,167200000,54400000,,2200000.0,,
1998-12-31,10100000,18600000.0,82100000,6800000,131900000,0.985,52000000,,260400000,27300000,24528000,-200000.0,198100000,0.99,100000,10800000,,,13400000.0,-116000000,-5300000.0,-21200000.0,-25300000,229400000,,,92400000,-900000.0,61100000,-800000.0,441900000,,-19100000.0,24716000,0.0,3700000,,,153000000,,,-5100000.0,41400000.0,26700000.0,26900000,31000000,0,24300000,,-1400000.0,10100000,24300000,181500000,34200000.0,,6100000,9400000,16400000.0,-4700000.0,31200000,167000000,-300000.0,235400000,21000000.0,42300000,214300000,367300000,9900000.0,,24300000,97200000,189800000,55800000,,2100000.0,,
1999-12-31,17100000,105400000.0,125900000,-20300000,290200000,0.48,76100000,,321800000,45000000,24220000,4100000.0,250500000,0.485,100000,10100000,,,7000000.0,-124600000,-16900000.0,-230100000.0,-223300000,273200000,,,126300000,182300000.0,115800000,7000000.0,549500000,12500000.0,-2200000.0,24330000,-4900000.0,12700000,,,448800000,-4700000.0,,24600000.0,51200000.0,64700000.0,41400000,48600000,17100000,11700000,,2400000.0,17100000,11700000,227700000,16400000.0,,-185100000,22000000,6600000.0,-2200000.0,58900000,194500000,1400000.0,378700000,27500000.0,239200000,220100000,668900000,4700000.0,,11700000,202500000,201000000,246300000,,1600000.0,,
2000-12-31,13954000,90970000.0,119032000,9288000,276610000,1.265,110076000,,425829000,24247000,24422000,-18915000.0,255203000,1.275,0,17087000,,,8992000.0,-136171000,3383000.0,-31406000.0,9296000,359062000,,,132519000,-41606000.0,108197000,-3133000.0,725884000,12478000.0,-326000.0,24568000,-4500000.0,30612000,,,401660000,-13386000.0,,-45360000.0,68140000.0,62965000.0,40953000,66767000,13954000,31100000,,6115000.0,13954000,31810000,300055000,45443000.0,,-7159000,18146000,795000.0,-378000.0,66608000,247613000,-1591000.0,369668000,43309000.0,203360000,244618000,646278000,13633000.0,,31100000,189308000,231821000,212352000,,2388000.0,,
2001-12-31,47129000,75873000.0,132974000,-22969000,253200000,1.74,153326000,,461179000,99495000,24648000,-14000000.0,276173000,1.79,0,13954000,,,12622000.0,-143199000,-1700000.0,-43228000.0,-47538000,349153000,,,139179000,-20162000.0,65838000,33175000.0,817509000,2000.0,-567000.0,25442000,0.0,24088000,,,400151000,-22987000.0,,-10100000.0,76543000.0,64903000.0,0,112026000,47129000,44179000,,410000.0,47129000,44179000,356330000,64969000.0,,56267000,9931000,497000.0,-261000.0,44353000,272610000,26395000.0,430828000,41300000.0,188423000,283877000,684028000,20790000.0,58434000.0,44179000,199106000,276554000,201045000,194400000.0,4942000.0,,
2002-12-31,27733000,69519000.0,142235000,-4763000,254907000,2.61,175375000,,509485000,104835000,25104000,-16200000.0,329507000,2.7,0,47129000,,,9839000.0,-187272000,12700000.0,-42224000.0,-54456000,372110000,,,166372000,-78204000.0,67077000,-19396000.0,892720000,3000.0,-1887000.0,26021000,0.0,28207000,,,337616000,2102000.0,,-22800000.0,82935000.0,75233000.0,0,137375000,27733000,67863000,,-2270000.0,27733000,67863000,383235000,104405000.0,,62611000,7486000,493000.0,,43153000,289175000,6835000.0,465796000,38000000.0,105768000,383087000,720703000,36542000.0,72213000.0,67863000,222009000,344841000,115607000,212282000.0,6257000.0,,
2003-12-31,148642000,69503000.0,179123000,-1068000,315980000,2.9,187762000,,565392000,127640000,25416000,-8200000.0,388966000,3.0,16899000,27733000,,,13991000.0,-209843000,-8000000.0,-69003000.0,-106994000,419630000,,,190258000,108169000.0,98258000,120909000.0,1003382000,3000.0,-8228000.0,26310000,0.0,31006000,,,491051000,32628000.0,,2700000.0,94270000.0,53995000.0,0,145762000,148642000,76171000,,-14998000.0,148642000,76171000,437990000,113688000.0,,58637000,10423000,1610000.0,,67354000,325360000,,670878000,42000000.0,225835000,495807000,986858000,37517000.0,71650000.0,76171000,234326000,421012000,256725000,234085000.0,5309000.0,,
2004-12-31,361633000,171914000.0,202324000,-5919000,480778000,2.58,179665000,,610073000,123093000,25724000,-5500000.0,450607000,2.65,28988000,65395000,,,24772000.0,-248283000,2500000.0,-60493000.0,-186318000,486608000,,,205512000,193227000.0,66346000,130339000.0,1090012000,3000.0,-2257694000.0,26489000,-2876000.0,20219000,,165899000.0,795114000,58003000.0,,-8100000.0,108344000.0,71194000.0,0,123465000,195734000,68242000,,-3461000.0,195734000,66292000,479939000,97327000.0,,62600000,9457000,2174538000.0,,79996000,378264000,14212000.0,911224000,56200000.0,425979000,596888000,1392002000,31035000.0,168378000.0,68242000,315375000,489254000,479739000,261243000.0,7464000.0,,
2005-12-31,413059000,141725000.0,180258000,10715000,418371000,3.06,176298000,,646486000,108284000,26063000,-18700000.0,452206000,3.13,23678000,195734000,,,,-271948000,-15000000.0,-36055000.0,-6172000,531188000,,,212342000,1290000.0,161876000,100982000.0,1180985000,3000.0,-873822000.0,26662000,-331000.0,32643000,,116343000.0,768608000,27052000.0,,-16400000.0,115104000.0,72950000.0,0,115298000,296716000,81553000,,-34741000.0,296716000,77579000,534499000,93371000.0,,72229000,3341000,942790000.0,,82385000,416084000,16784000.0,1008211000,61000000.0,425687000,657974000,1426582000,15792000.0,81076000.0,81553000,319243000,570807000,449365000,247192000.0,8915000.0,,
2006-12-31,488080000,44605000.0,189627000,23838000,466391000,3.83,205611000,,712536000,118229000,26376000,-22800000.0,489154000,3.92,23960000,296716000,,,7512000.0,-299527000,1200000.0,-52987000.0,-207748000,562325000,,119492000.0,253045000,10162000.0,97898000,-73109000.0,1273930000,3000.0,-334047000.0,26949000,1385000.0,32022000,,264473000.0,776630000,67235000.0,,-47800000.0,123376000.0,83411000.0,0,150211000,223607000,103263000,,33942000.0,223607000,103263000,561394000,142027000.0,,65242000,3042000,191415000.0,,103567000,438949000,4029000.0,1129777000,55400000.0,425625000,819538000,1596168000,38764000.0,132737000.0,103263000,319533000,674070000,457097000,292970000.0,9923000.0,,
2007-12-31,223741000,210304000.0,271561000,9600000,942620000,3.41,210149000,,791362000,191580000,26684000,4400000.0,614329000,3.49,58282000,223607000,,,51215000.0,-342768000,-5900000.0,-62670000.0,-254429000,648513000,,328439000.0,321015000,-7450000.0,129140000,-61843000.0,1461052000,3000.0,-270174000.0,27260000,2992000.0,31606000,,61977000.0,965470000,110991000.0,,11100000.0,140535000.0,96470000.0,0,142849000,161764000,92994000,,-4112000.0,161764000,92994000,669690000,120843000.0,,128910000,15627000,470200000.0,,111887000,507978000,21186000.0,1028974000,67300000.0,441805000,971690000,1971594000,26548000.0,170797000.0,92994000,414168000,762067000,551302000,358076000.0,11580000.0,,
2008-12-31,243474000,228590000.0,300732000,-36744000,943323000,3.25,272056000,-13231000.0,962522000,191371000,27001000,-51900000.0,675909000,3.32,89950000,161764000,-53014000.0,,42570000.0,-375177000,,-88809000.0,-146107000,750822000,11100000.0,321820000.0,375616000,6331000.0,98290000,42760000.0,1764365000,3000.0,-77800000.0,27527000,5050000.0,32113000,7300000.0,38950000.0,996533000,64750000.0,-3600000.0,-46600000.0,159518000.0,117982000.0,135198000,211700000,204524000,89510000,,-5390000.0,204524000,98264000,801843000,142843000.0,,102562000,9578000,78906000.0,,79820000,591304000,4311000.0,1093941000,97100000.0,445979000,1040731000,2037264000,44579000.0,30874000.0,89510000,418034000,851577000,578499000,339653000.0,12912000.0,,
2009-12-31,744814000,204779000.0,302417000,-1934000,973179000,5.2,232856000,-9126000.0,999843000,325074000,27404000,,728151000,5.28,55855000,204524000,-35990000.0,42322000.0,42894000.0,-425734000,,-76361000.0,-175952000,765053000,,327626000.0,351206000,293933000.0,100669000,445414000.0,1784244000,3000.0,-147554000.0,27828000,-1977000.0,47024000,,94876000.0,1256640000,133082000.0,,66707000.0,163585000.0,92988000.0,120920000,234790000,649938000,144620000,,-2520000.0,649938000,149165000,784401000,185832000.0,,248713000,5132000,86473000.0,,125085000,601468000,7520000.0,1562674000,101682000.0,737919000,1259726000,2535853000,36667000.0,46692000.0,144620000,419972000,996197000,836668000,345734000.0,10286000.0,,
2010-12-31,1025187000,203881000.0,333617000,-9000,1087418000,6.59,392900000,-207536000.0,1091488000,225909000,27665000,-15900000.0,812133000,6.7,64780000,649938000,-89307000.0,,59738000.0,-478516000,,-91344000.0,-216512000,807479000,-37000000.0,363981000.0,398100000,228745000.0,113746000,256613000.0,1927118000,3000.0,-240286000.0,28151000,-1082000.0,63717000,10200000.0,118636000.0,1522245000,198020000.0,,-78900000.0,172266000.0,113440000.0,157641000,284009000,906551000,185490000,,-3211000.0,906551000,186935000,835630000,220283000.0,,134565000,233181000,207636000.0,,172963000,635213000,5374000.0,1975346000,108900000.0,731100000,1536696000,3062764000,33348000.0,23944000.0,185490000,666627000,1181687000,855618000,387996000.0,12730000.0,,
2011-12-31,813115000,259497000.0,349501000,-6259000,1298648000,6.26,409897000,-230735000.0,1177889000,259816000,28031000,-44000000.0,881912000,6.36,76086000,906551000,-158538000.0,,85522000.0,-532411000,,-103324000.0,-383413000,882733000,-20100000.0,468933000.0,433510000,-213560000.0,114787000,-332320000.0,2073529000,3000.0,-509310000.0,28468000,2926000.0,53135000,10700000.0,238884000.0,1352421000,198690000.0,,-56200000.0,186439000.0,129124000.0,152856000,295156000,574231000,178223000,24322000.0,2919000.0,574231000,178023000,895640000,235762000.0,,156492000,814000,384606000.0,,209528000,696294000,10893000.0,1798155000,121000000.0,731698000,1743937000,3096803000,57739000.0,25219000.0,178223000,459115000,1359910000,893306000,398674000.0,14249000.0,,
2012-12-31,921073000,260900000.0,416938000,5460000,1506764000,5.91,404443000,-811000.0,1154138000,278898000,28290000,-2200000.0,1012034000,5.98,108095000,574231000,-39443000.0,32299000.0,115054000.0,-595096000,,-154197000.0,-412804000,896938000,4400000.0,495400000.0,448370000,12588000.0,113043000,-110843000.0,2069235000,3000.0,-683836000.0,28642000,2889000.0,51112000,13200000.0,457685000.0,1425483000,274901000.0,19000000.0,-13100000.0,214040000.0,130867000.0,156612000,257200000,463388000,163778000,26288000.0,-373361000.0,463388000,163847000,915097000,222931000.0,,124701000,1750000,458347000.0,-101000.0,318049000,682898000,-4002000.0,1929932000,130400000.0,732414000,2010735000,3436753000,59084000.0,165673000.0,163778000,469920000,1523688000,955563000,398739000.0,10611000.0,,
2013-12-31,608920000,266200000.0,429355000,-9166000,1640976000,2.69,320856000,-300228000.0,1178478000,175476000,28586000,-33400000.0,1087315000,2.72,116871000,463388000,-72054000.0,33555000.0,162110000.0,-657960000,,-113698000.0,-5421000,1009022000,-24200000.0,517800000.0,501291000,-311697000.0,127017000,-131837000.0,2132694000,3000.0,-386714000.0,28906000,-22754000.0,61271000,13700000.0,277369000.0,1202068000,340717000.0,33200000.0,-55800000.0,210952000.0,148510000.0,79016000,169456000,331551000,77790000,26390000.0,66633000.0,331551000,77811000,954216000,112385000.0,377870000.0,61778000,1786000,565831000.0,0.0,49751000,798070000,-5824000.0,1747856000,147200000.0,435615000,2186722000,3388790000,34574000.0,150214000.0,77790000,487472000,1606117000,714596000,422660000.0,11237000.0,,
2014-12-31,697635000,254200000.0,428836000,-9805000,1624842000,3.05,303588000,-1813000.0,1178517000,273312000,28876000,5800000.0,1089098000,3.08,118735000,331551000,-44627000.0,35165000.0,154917000.0,-660262000,,-136478000.0,-190511000,1028533000,11100000.0,500400000.0,470997000,11689000.0,102581000,81700000.0,2175044000,3000.0,-205746000.0,29133000,-1549000.0,22131000,14900000.0,284384000.0,1156123000,218945000.0,-9900000.0,21700000.0,220333000.0,128608000.0,61747000,149984000,413251000,88845000,26716000.0,-145884000.0,413251000,88845000,996527000,131557000.0,389309000.0,136834000,265000,196115000.0,0.0,52097000,808200000,-1388000.0,1716367000,149900000.0,435710000,2185155000,3341278000,42712000.0,153426000.0,88845000,446761000,1694962000,709362000,377640000.0,15051000.0,,
2015-12-31,786267000,214000000.0,437690000,-9249000,1933872000,3.85,299339000,-282000.0,1121670000,186210000,29186000,-54200000.0,1117086000,3.87,110506000,413251000,-4356000.0,,233475000.0,-679396000,,-113372000.0,-166869000,954962000,-39000000.0,495900000.0,490224000,8581000.0,101783000,44298000.0,2019441000,3000.0,-294497000.0,29409000,627000.0,21692000,17000000.0,328718000.0,1221039000,382138000.0,28600000.0,-65800000.0,192972000.0,122391000.0,11041000,166708000,457549000,113093000,29683000.0,-4210000.0,457549000,113093000,897771000,145847000.0,719840000.0,72838000,298000,249487000.0,,66442000,761990000,-5590000.0,1777596000,131800000.0,435707000,2490503000,3711542000,32754000.0,157857000.0,113093000,441351000,1808055000,779688000,391485000.0,8236000.0,,
2016-12-31,839440000,161600000.0,488614000,-66647000,2005956000,0.95,206402000,-303000.0,1138087000,216433000,29440000,-57100000.0,1227388000,0.96,135318000,457549000,-14165000.0,28124000.0,222919000.0,-738774000,,-141571000.0,-213880000,1022588000,12500000.0,477100000.0,524961000,9020000.0,115388000,-1285000.0,2068172000,3000.0,-278071000.0,29646000,-1994000.0,21942000,19700000.0,383176000.0,1263745000,417766000.0,30100000.0,-40800000.0,205864000.0,296473000.0,12201000,115499000,456264000,28125000,31003000.0,-350000.0,456264000,28125000,930085000,41560000.0,830790000.0,74862000,334000,219879000.0,,47852000,816724000,5333000.0,1844524000,142900000.0,434186000,2586759000,3850504000,13435000.0,296473000.0,28125000,471322000,1836180000,792423000,372348000.0,11280000.0,,
2017-12-31,754978000,174100000.0,493496000,-27534000,2296381000,3.82,268419000,-352000.0,1187399000,103885000,29655000,-47700000.0,1305150000,3.87,183276000,456264000,-76645000.0,,222209000.0,-811654000,,-115127000.0,-175572000,1059243000,-64100000.0,506100000.0,594804000,341000.0,127288000,-72440000.0,2160153000,3000.0,-282656000.0,30034000,-3681000.0,21914000,23400000.0,371154000.0,1342762000,738794000.0,7800000.0,-204000000.0,250301000.0,135182000.0,10325000,128156000,383824000,122249000,28233000.0,-1000000.0,383824000,122249000,972754000,97805000.0,1027736000.0,-11242000,420000,299770000.0,-2920000.0,94949000,808942000,-12915000.0,1976649000,148700000.0,434581000,2930250000,4273012000,-24444000.0,171632000.0,122249000,502696000,1830439000,840066000,464847000.0,7294000.0,,
