date,annualPurchaseOfBusiness,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCurrentLiabilities,annualInventory,annualStockBasedCompensation,annualOperatingCashFlow,annualNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualChangeInWorkingCapital,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualGrossPPE,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualGoodwill,annualInterestExpense,annualPretaxIncome,annualOtherNonCurrentLiabilities,annualAccountsPayable,annualCapitalStock,annualPurchaseOfInvestment,annualOtherIncomeExpense,annualTotalRevenue,annualDilutedAverageShares,annualInvestingCashFlow,annualCapitalExpenditure,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualOperatingIncome,annualEndCashPosition,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCurrentAccruedExpenses,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,annualNetOtherFinancingCharges,annualCurrentDebt,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,annualCurrentAssets,annualBasicEPS,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,annualChangesInAccountReceivables,annualEbitda,annualNetIncomeCommonStockholders,annualRetainedEarnings,annualNetIncome,annualBasicAverageShares,annualOtherShortTermInvestments,annualBeginningCashPosition,annualCommonStockIssuance,annualFreeCashFlow,annualCashDividendsPaid,annualAccountsReceivable,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualTotalAssets,annualTaxProvision,annualStockholdersEquity,annualLongTermDebt,annualResearchAndDevelopment,annualSaleOfInvestment,annualChangeInAccountPayable,annualChangeInInventory,annualIncomeTaxPayable
2008-12-31,,-36579000.0,72148000,165328000,,,219905000,1685394000,,303028000,98869000.0,13638000.0,1.19,11416000,,17511000,2317712000,-13952000,-3098000,354037000.0,42816000.0,172920000,98120000.0,65913000.0,0,,23488000,674883000,137648000,-183164000,-223976000,,-39839000,192248000,13638000,13638000.0,161793000,,,,0,81904000.0,1069651000.0,371855000,78778000,1.21,-10608000.0,110780000,0,11127000.0,-632318000,,1234979000,,264396000,161793000,-456856000,161793000,133380000,,16736000,22399000.0,-4071000,-197153000.0,65140000,0.0,2039431000,38632000,2118209000,11127000,883230000,872662000.0,,,,,
2009-12-31,,-4069000.0,69822000,272676000,13493000.0,464000.0,224615000,2051422000,91369000.0,338262000,95870000.0,53927000.0,1.07,-3706000,-281904000.0,0,2809460000,-333956000,40289000,287670000.0,51894000.0,158226000,0.0,,1660795000,,-6953000,811796000,154125000,-477786000,-143830000,,293460000,217073000,53927000,,162078000,,,,-229197000,194063000.0,1179077000.0,473534000,150664000,1.09,-4341000.0,121189000,0,-3852000.0,-758038000,,1451753000,,279942000,162078000,-527082000,162078000,149001000,,13638000,142621000.0,80785000,,83244000,53927000.0,2430461000,51367000,2581125000,-3852000,1129372000,1077726000.0,,,,,
2010-12-31,0.0,-5555000.0,66891000,128903000,26099000.0,449000.0,255121000,2172450000,89318000.0,359732000,91006000.0,125397000.0,1.14,968000,-157423000.0,0,2979412000,10933000,71470000,287670000.0,60168000.0,181708000,0.0,99228000.0,1782804000,,-7068000,1255102000,163802000,-187789000,-198722000,,4138000,248944000,125397000,,186700000,,,,287289000,7981000.0,1497345000.0,895370000,256970000,1.14,-7111000.0,110788000,0,,-806962000,,1626248000,,308767000,186700000,-595533000,186700000,163223000,,53927000,86267000.0,56399000,-254074000.0,105474000,125397000.0,2549438000,44086000,2806408000,-4992000,1180160000,1397692000.0,,,,,
2011-12-31,,60712000.0,70219000,517802000,22783000.0,,287086000,2745982000,21234000.0,344727000,106915000.0,0.0,0.99,-18749000,-88201000.0,4725000,3602402000,824000,-126073000,222670000.0,88125000.0,198769000,14060000.0,166646000.0,1811734000,,0,1676710000,168175000,-478883000,-479707000,2185000.0,65724000,281107000,-676000,0.0,165666000,,161002000.0,,-4195000,324603000.0,1859783000.0,1331983000,175693000,0.99,-15196000.0,63620000,10814000,,-856420000,-239408000.0,2377585000,-28840000.0,357113000,165666000,-834921000,165666000,167433000,,125397000,0.0,-192621000,-21694000.0,148267000,4643000.0,3163509000,59984000,3339202000,38869000,961617000,1301426000.0,,,,,
2012-12-31,-8182000.0,111202000.0,179386000,411910000,108096000.0,17028000.0,359807000,5014542000,647065000.0,507194000,584489000.0,27336000.0,0.866508,-109881000,-61332000.0,15932000,6012303000,37000000,28012000,1975612000.0,109730000.0,301347000,0.0,301936000.0,0,-8182000.0,6781000,3427402000,259483000,-546128000,-546820000,3099000.0,214333000,409706000,27336000,27336000.0,224952000,42804000.0,161205000.0,,-7343000,11652000.0,3589157000.0,2920208000,474652000,0.87,-26123000.0,97488000,3080000,75802000.0,-997761000,,4001067000,6043000.0,589092000,224844000,-1027678000,224844000,258869000,,-676000,0.0,-187013000,-181148000.0,321178000,7528000.0,7801847000,97488000,8276499000,75339000,4270257000,2542742000.0,,,,,
2013-12-31,-13000000.0,168000000.0,171000000,818000000,159000000.0,34000000.0,651000000,5750000000,598000000.0,787000000,699000000.0,51000000.0,1.12,-75000000,-649000000.0,13000000,6892000000,33000000,24000000,1966000000.0,97000000.0,494000000,0.0,359000000.0,391000000,-13000000.0,-157000000,5025000000,308081000,-860000000,-880000000,,233000000,655000000,51000000,51000000.0,351000000,102000000.0,165000000.0,,-29000000,262000000.0,3153000000.0,4238000000,648000000,1.12,-8000000.0,132000000,0,105000000.0,-1142000000,,3971000000,,826000000,351000000,-1189000000,351000000,307211000,0.0,27000000,345000000.0,-229000000,-221000000.0,419000000,4000000.0,8494000000,132000000,9142000000,143000000,5166000000,2013000000.0,,,,,
2014-12-31,-465000000.0,100000000.0,226000000,705000000,137000000.0,39000000.0,800000000,7560000000,751000000.0,852000000,793000000.0,53000000.0,1.06,-33000000,-304000000.0,44000000,8849000000,84000000,2000000,2090000000.0,90000000.0,572000000,0.0,444000000.0,880000000,-8000000.0,-102000000,6069000000,328000000,-1837000000,-1412000000,44000000.0,1039000000,678000000,53000000,53000000.0,383000000,106000000.0,153000000.0,,-21000000,4000000.0,4221000000.0,5217000000,688000000,1.07,-20000000.0,174000000,0,167000000.0,-1289000000,,4926000000,,904000000,383000000,-1400000000,383000000,326000000,0.0,51000000,0.0,-612000000,-269000000.0,429000000,51000000.0,10574000000,156000000,11262000000,167000000,6336000000,2857000000.0,,,,,
2015-12-31,-27000000.0,47000000.0,263000000,639000000,120000000.0,25000000.0,801000000,9254000000,725000000.0,832000000,965000000.0,28000000.0,1.02,-11000000,-1261000000.0,10000000,10728000000,8000000,-25000000,2097000000.0,103000000.0,614000000,0.0,373000000.0,1100000000,-27000000.0,-27000000,4635000000,348000000,-1898000000,-1811000000,84000000.0,1072000000,651000000,28000000,28000000.0,406000000,194000000.0,145000000.0,,-36000000,5000000.0,4873000000.0,3803000000,676000000,1.02,3000000.0,181000000,11000000,199000000.0,-1474000000,,5512000000,,914000000,355000000,-1670000000,406000000,347000000,0.0,53000000,460000000.0,-1010000000,-294000000.0,493000000,14000000.0,12260000000,157000000,12936000000,199000000,7424000000,3318000000.0,,,,,
2016-12-31,-568000000.0,128000000.0,293000000,785000000,181000000.0,46000000.0,1077000000,11331000000,737000000.0,1072000000,1111000000.0,35000000.0,1.01,-36000000,-333000000.0,65000000,13039000000,99000000,7000000,2097000000.0,102000000.0,654000000,0.0,475000000.0,1509000000,-2000000.0,-214000000,4265000000,389000000,-2286000000,-1745000000,86000000.0,1216000000,878000000,35000000,35000000.0,466000000,170000000.0,134000000.0,,-31000000,6000000.0,5936000000.0,3193000000,676000000,1.02,-11000000.0,194000000,11000000,189000000.0,-1708000000,,6721000000,,1171000000,394000000,-2010000000,466000000,388000000,0.0,28000000,345000000.0,-668000000,-351000000.0,435000000,9000000.0,14341000000,195000000,15017000000,189000000,8296000000,4145000000.0,,,,,
2017-12-31,-1345000000.0,147000000.0,382000000,1142000000,168000000.0,73000000.0,1513000000,13546000000,843000000.0,1437000000,2376000000.0,321000000.0,1.88,-18000000,-1279000000.0,79000000,15576000000,-85000000,286000000,3871000000.0,171000000.0,1033000000,129000000.0,465000000.0,2424000000,-7000000.0,-128000000,5408000000,432000000,-3332000000,-1839000000,136000000.0,2105000000,1173000000,321000000,321000000.0,891000000,248000000.0,6229000000.0,,-23000000,256000000.0,10575000000.0,3971000000,1022000000,1.89,-7000000.0,264000000,13000000,142000000.0,-2030000000,,11717000000,,1555000000,805000000,-2075000000,891000000,426000000,0.0,35000000,0.0,-326000000,-781000000.0,177000000,4000000.0,24544000000,236000000,25566000000,142000000,13789000000,7300000000.0,,,,,
2018-12-31,-58000000.0,234000000.0,417000000,1490000000,198000000.0,63000000.0,2256000000,14730000000,531000000.0,1894000000,2774000000.0,157000000.0,2.28,-72000000,-1998000000.0,6000000,17080000000,8000000,-181000000,3878000000.0,274000000.0,1742000000,150000000.0,519000000.0,2423000000,,166000000,7351000000,509000000,-1311000000,-1226000000,131000000.0,-1126000000,1588000000,157000000,157000000.0,1278000000,284000000.0,6368000000.0,37000000.0,-8000000,480000000.0,10770000000.0,5457000000,1013000000,2.28,317000000.0,306000000,9000000,464000000.0,-2350000000,,12260000000,,2005000000,1153000000,-2058000000,1278000000,505000000,,321000000,,1030000000,-1247000000.0,177000000,,25651000000,279000000,26664000000,464000000,14344000000,7057000000.0,,,,,
