date,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualInterestExpense,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,annualCostOfRevenue,annualCapitalStock,annualBasicEPS,annualTaxProvision,annualInventory,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualNetIncome,annualCurrentDebt,annualBeginningCashPosition,annualOperatingExpense,annualCurrentDeferredRevenue,annualPurchaseOfInvestment,annualLongTermDebt,annualCashDividendsPaid,annualPretaxIncome,annualInvestingCashFlow,annualTotalAssets,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualOtherNonCashItems,annualStockholdersEquity,annualDilutedEPS,annualDepreciationAndAmortization,annualGoodwill,annualSaleOfInvestment,annualCommonStockIssuance,annualStockBasedCompensation,annualRetainedEarnings,annualBasicAverageShares,annualAccountsReceivable,annualTotalRevenue,annualOperatingCashFlow,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentLiabilities,annualOtherIncomeExpense,annualNetPPE,annualOperatingIncome,annualEbitda,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances
2005-12-31,,,,-135501000,851644000,83076000,-24638000.0,308154000,74033000,0.0,0.0,112023000.0,45544000,-30884000,,206163000,91000.0,1.06,44918000,99399000,974767000,370712000,8701000,0,74033000,,-11925000,324238000,83216000,74033000,26757000.0,109865000,851644000,,-160380000.0,123483000.0,-25408000.0,118951000,-26202000,678866000,71356000,,,354628000,1.04,31366000,,170610000.0,6177000.0,,526537000,70047000,16683000.0,1180930000,114100000,,20276000,165182000.0,155409000,203583000.0,,-30943000,155409000,159056000,-4172000,84053000,123123000,154489000,41699000.0,-5548000.0,219554000,155409000,,-68701000.0,,,
2006-12-31,,,,-140947000,833548000,98212000,-67452000.0,276959000,32817000,0.0,1836000.0,120074000.0,-34056000,-37661000,,195203000,91000.0,0.47,19859000,92092000,920206000,387890000,-14439000,0,32817000,,163000,345869000,38134000,32817000,26652000.0,155409000,854388000,,-173925000.0,136173000.0,-27791000.0,52676000,-37661000,664849000,70506000,,28285000.0,318980000,0.47,29132000,112446000.0,173925000.0,5400000.0,,531563000,69418000,19421000.0,1115409000,75795000,,20815000,178328000.0,121353000,91349000.0,,-74618000,121353000,167541000,-33982000,85883000,65818000,94950000,42155000.0,0.0,226830000,121353000,,-65107000.0,,,
2007-12-31,,,,-152237000,857696000,69704000,-71100000.0,266344000,43872000,0.0,1770000.0,115620000.0,-34026000,-22736000,,209283000,91000.0,0.68,24606000,100792000,948384000,416899000,-36315000,0,43872000,,-12312000,408234000,25917000,43872000,31441000.0,121353000,857696000,,-136750000.0,169229000.0,-27145000.0,68478000,-27961000,683243000,65584000,,8129000.0,275009000,0.67,32967000,112446000.0,131525000.0,5731000.0,,546832000,64783000,23424000.0,1157667000,48653000,,24108000,237065000.0,87327000,86163000.0,5225000.0,-57632000,92552000,171169000,-22210000,88529000,90688000,123655000,67836000.0,0.0,240766000,87327000,,-67759000.0,,,
2008-12-31,7069000.0,,7800000.0,-160050000,893621000,136698000,-6094000.0,290404000,65347000,0.0,0.0,115794000.0,27259000,-16007000,-32711000.0,228597000,91000.0,1.03,35306000,114378000,1019049000,419368000,-18115000,0,65347000,,-14910000,393592000,87300000,65347000,30196000.0,87327000,893621000,,-13910000.0,158760000.0,-27940000.0,100653000,-10782000,709772000,64132000,,7273000.0,316180000,1.02,30393000,112446000.0,19135000.0,,7273000.0,584239000,63510000,16496000.0,1247646000,103307000,-6139000.0,20378000,227224000.0,114586000,87888000.0,0.0,-62694000,114586000,166368000,-24775000,82336000,125428000,125428000,68464000.0,0.0,242386000,114586000,,-70061000.0,,,
2009-12-31,-7043000.0,12350000.0,7800000.0,-155893000,928973000,136736000,-21144000.0,337943000,89845000,0.0,0.0,124520000.0,43459000,-20215000,-30188000.0,243648000,91000.0,1.42,51279000,105661000,1087410000,410506000,-4831000,0,89845000,,9740000,372762000,113729000,89845000,35400000.0,114586000,928973000,,0.0,121119000.0,-29006000.0,141124000,-20215000,748449000,64296000,,9989000.0,375687000,1.4,28557000,112446000.0,0.0,,9989000.0,645078000,63333000,22513000.0,1331058000,133944000,3602000.0,25292000,187550000.0,158045000,81968000.0,,-73010000,158045000,185212000,-17313000,79356000,158437000,158437000,66431000.0,0.0,235249000,158045000,,-68134000.0,,,
2010-12-31,-6649000.0,-13735000.0,6900000.0,-126790000,1047766000,145260000,-58516000.0,422526000,136051000,0.0,6908000.0,146108000.0,72292000,-53783000,-37401000.0,272431000,91000.0,2.18,71562000,114475000,1264828000,469698000,21435000,0,136051000,,-4293000,420975000,134100000,136051000,27865000.0,158045000,1047766000,,0.0,133013000.0,-31189000.0,207613000,-53783000,892224000,64547000,,10835000.0,471249000,2.11,29616000,112446000.0,0.0,,10835000.0,749940000,62370000,25701000.0,1537259000,187883000,-568000.0,25480000,204527000.0,230337000,78270000.0,,-69017000,230337000,216448000,-9449000,133722000,217062000,217062000,71514000.0,0.0,260512000,230337000,,-58539000.0,,,
2011-12-31,-5890000.0,108000.0,4800000.0,-144258000,1187625000,115585000,-67149000.0,530087000,153330000,0.0,-4936000.0,180382000.0,42637000,-41809000,-28001000.0,322624000,91000.0,2.47,73439000,112111000,1421367000,460869000,-14339000,0,153330000,-11663000.0,2415000,416720000,182506000,153330000,28608000.0,230337000,1187625000,22007000.0,-24361000.0,107944000.0,-36638000.0,226769000,-71199000,990956000,64546000,,153330000.0,574236000,2.38,32850000,112446000.0,6634000.0,,15450000.0,866632000,62066000,31615000.0,1743991000,224315000,6077000.0,32181000,175549000.0,272974000,83333000.0,17727000.0,-107011000,290701000,241171000,-6973000,149505000,233742000,233742000,67605000.0,0.0,293763000,272974000,,-62565000.0,,,
2012-12-31,-7884000.0,4692000.0,,-142343000,1475668000,118753000,-201471000.0,599403000,221645000,0.0,7750000.0,233202000.0,47051000,-96645000,-28279000.0,353152000,91000.0,3.66,123597000,135874000,1816512000,553504000,33743000,13632000,221645000,-12562000.0,-22605000,562295000,214331000,221645000,39019000.0,272974000,1475668000,4608000.0,-15737000.0,154963000.0,-48374000.0,345242000,-104858000,1152907000,63025000,,21358000.0,590612000,3.52,33412000,112446000.0,20086000.0,,21358000.0,1039903000,60600000,36850000.0,2169664000,310976000,15831000.0,47882000,242192000.0,320025000,92518000.0,13378000.0,-163887000,333403000,320103000,4398000,229787000,340844000,340844000,87229000.0,0.0,372130000,320025000,,-51822000.0,,,
2013-12-31,-34304000.0,-41748000.0,3000000.0,-153670000,2116800000,111072000,-140865000.0,1118334000,364888000,0.0,45187000.0,626284000.0,205128000,-185103000,-37903000.0,505806000,91000.0,6.23,192052000,339669000,2670912000,702728000,140570000,11253000,364888000,0.0,-207436000,962443000,345073000,364888000,67824000.0,320025000,2116800000,13596000.0,-21671000.0,113852000.0,-70514000.0,556940000,-193699000,1821062000,61448000,,32620000.0,858619000,5.94,34923000,112446000.0,13075000.0,,32620000.0,1334277000,58606000,68652000.0,3176718000,530176000,32643000.0,82684000,185651000.0,525153000,83168000.0,21974000.0,-120725000,547127000,776792000,2828000,396042000,554112000,554112000,71799000.0,0.0,549712000,525153000,,-46228000.0,,,
2014-12-31,30766000.0,10399000.0,,-171928000,1738873000,127476000,-45724000.0,834667000,189176000,0.0,6062000.0,300847000.0,-236738000,-101476000,-333803000.0,478434000,91000.0,3.2,109331000,338491000,2091061000,779767000,-382295000,13728000,189176000,0.0,-16518000,671996000,-157940000,189176000,82770000.0,525153000,1738873000,6160000.0,-17522000.0,164567000.0,-81371000.0,298507000,-91670000,1614434000,60887000,,17504000.0,942438000,3.11,54924000,112446000.0,27328000.0,,17504000.0,1442082000,59073000,35834000.0,2569495000,-56464000,-45953000.0,34712000,253667000.0,288415000,75062000.0,11793000.0,-41076000,300208000,418329000,-53681000,464783000,352188000,352188000,89100000.0,0.0,636711000,288415000,0.0,-51521000.0,,,
2015-12-31,-2246000.0,17362000.0,,-211593000,1512835000,165459000,-164094000.0,706392000,133046000,0.0,5337000.0,310916000.0,939000,-56622000,-35508000.0,489510000,91000.0,2.29,78913000,265256000,1757537000,799451000,65701000,13807000,133046000,,59652000,680222000,265487000,133046000,67849000.0,288415000,1512835000,6644000.0,-15750000.0,181745000.0,-81187000.0,211959000,-60846000,1505843000,59057000,16177000.0,7400000.0,825621000,2.25,71365000,112446000.0,11526000.0,,7400000.0,1493941000,57997000,35464000.0,2247047000,322109000,-4297000.0,28832000,272625000.0,289354000,67009000.0,14371000.0,-235920000,303725000,407597000,-32743000,454537000,244702000,244702000,90880000.0,0.0,666130000,289354000,,-71269000.0,,,
2016-12-31,3357000.0,-17652000.0,,-233725000,1476236000,136469000,-247208000.0,714337000,143086000,0.0,-945000.0,275023000.0,67892000,-50221000,-56151000.0,500457000,91000.0,2.58,69753000,249936000,1707340000,759708000,28324000,13349000,143086000,-8692000.0,9801000,809975000,225042000,143086000,82727000.0,289354000,1476236000,13494000.0,-17080000.0,334165000.0,-78438000.0,212839000,-57861000,1474045000,56097000,643000.0,31355000.0,664070000,2.55,72397000,114954000.0,18132000.0,,8890000.0,1558589000,55412000,31199000.0,2207797000,275263000,13443000.0,41261000,410964000.0,357246000,63553000.0,10880000.0,-134714000,368126000,399011000,-18265000,444732000,231104000,231104000,76799000.0,0.0,678457000,357246000,,-84122000.0,,,
2017-12-31,-103000.0,39213000.0,,-286239000,1502538000,164895000,-71731000.0,777789000,129437000,0.0,,319189000.0,69153000,-60156000,-103226000.0,502078000,91000.0,2.45,136130000,253454000,1777021000,812083000,47089000,14237000,129437000,-31745000.0,7537000,885276000,242399000,129437000,77840000.0,357246000,1502538000,12669000.0,-11332000.0,310790000.0,-76058000.0,265567000,-91964000,1589872000,54852000,,,704596000,2.36,71564000,114954000.0,11269000.0,,19314000.0,1609168000,52806000,33196000.0,2279099000,302555000,6834000.0,50341000,437906000.0,426399000,67647000.0,11847000.0,-159572000,438246000,447370000,-8916000,464587000,274483000,274483000,127116000.0,,750826000,426399000,13075000.0,-66318000.0,,,
2018-12-31,-10453000.0,-14929000.0,,-322999000,1733322000,144112000,-69565000.0,799237000,121887000,,-7243000.0,322583000.0,-39488000,-70371000,-552500000.0,634140000,91000.0,2.21,97779000,295821000,2044868000,895209000,-71884000,15810000,121887000,-38506000.0,-33371000,912579000,132367000,121887000,69455000.0,426399000,1733322000,20104000.0,-11420000.0,361008000.0,-80581000.0,219666000,-108761000,1694446000,56476000,18236000.0,-13644000.0,781867000,2.16,83003000,196573000.0,11536000.0,,26609000.0,1635751000,55170000,53282000.0,2679008000,202738000,-9164000.0,47617000,472924000.0,386911000,89989000.0,11346000.0,-116714000,398257000,439655000,-91880000,464535000,311546000,311546000,111916000.0,,787534000,386911000,6674000.0,-79934000.0,,,
