date,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualInterestExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualBasicEPS,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualTotalRevenue,annualCostOfRevenue,annualCapitalStock,annualCurrentDebt,annualOperatingExpense,annualFreeCashFlow,annualAccumulatedDepreciation,annualGrossProfit,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,annualNetIncome,annualNetOtherInvestingChanges,annualAccountsReceivable,annualPurchaseOfInvestment,annualCashDividendsPaid,annualGoodwill,annualPretaxIncome,annualDilutedAverageShares,annualCommonStockIssuance,annualOperatingIncome,annualInvestingCashFlow,annualAccountsPayable,annualDilutedEPS,annualOtherNonCashItems,annualStockholdersEquity,annualOtherCurrentAssets,annualLongTermDebt,annualBasicAverageShares,annualEndCashPosition,annualTaxProvision,annualNonCurrentDeferredRevenue,annualDepreciationAndAmortization,annualTotalAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualEbitda,annualNetPPE,annualOperatingCashFlow,annualCurrentAssets,annualChangeInInventory,annualInventory,annualResearchAndDevelopment
2008-12-31,395221000,430845000,0,654442000,14111000,339845000,,652021000,-169410000,-23648000,906441000,,44034000,,16993000,0.745,38123000,430845000,,2816304000,1572816000,2917000,,726818000,260295000,-199188000,1243488000,-5028000,-108876000,,408982000,7294000,1430405000,430845000,0,579639000,-135200000,,154035000,515210000,597880000,54876000,516670000,-55006000,39970000,0.72,37967000,1965578000,77586000,,580242000,735066000,84365000,,74797000,2374560000,309484000,387577000,735066000,,270560000,,27513000,762579000,47790000,-27835000,,21405000,-9479000,249362000,591467000,455254000,429705000,1468119000,,,
2009-12-31,365864000,534963000,0,756086000,38455000,735066000,,721359000,-76639000,2566000,1030672000,,76948000,13260000,31556000,0.91,51605000,534963000,-68613000,3278663000,1849443000,2972000,,810730000,595686000,-274570000,1429220000,-26589000,64074000,-98451000,685063000,0,1965368000,534963000,0,709240000,-348209000,,192372000,636951000,602230000,61651000,618490000,-394764000,54640000,0.89,-2754000,2653177000,125205000,,586608000,1100930000,101988000,,89371000,3338240000,540363000,646608000,1100930000,,98697000,151131000,298402000,1399332000,75757000,-16259000,6675000,38455000,,49278000,707861000,481516000,672325000,2307568000,,,
2010-12-31,440039000,733540000,0,922920000,62971000,1100930000,,972093000,-185512000,-9065000,1064840000,,120003000,-14935000,71919000,1.22,84590000,733540000,-33863000,4592389000,2654569000,3039000,,1075968000,579142000,-352472000,1937820000,-51909000,-10566000,-278418000,998643000,4946000,2698908000,733540000,0,1014268000,-934185000,,223963000,878580000,618274000,107084000,861852000,-446890000,75373000,1.185,-1648000,3584431000,181414000,,601562000,1540969000,145040000,,110172000,4583074000,770763000,930726000,1540969000,,706670000,0,685419000,2226388000,85136000,-59000000,18597000,67917000,35598000,75485000,972024000,570448000,764654000,3518234000,,,
2011-12-31,-230063000,883618000,126731000,1213540000,342003000,1540969000,,1328665000,-288221000,-6568000,1422427000,,-255455000,90232000,39141000,1.455,105713000,883618000,-82800000,6121156000,3538622000,3031000,,1446066000,586931000,-455506000,2582534000,-8599000,-225751000,-284167000,1555047000,3339000,3582526000,883618000,0,1179043000,-1338664000,,288772000,1169149000,620702000,79551000,1136468000,-850281000,72205000,1.425,929654000,3952886000,225530000,,606554000,1310906000,285531000,,124175000,5507933000,226443000,1209705000,1310906000,27676000,859404000,,1121358000,2432264000,97616000,-374147000,-8593000,345342000,-325394000,113813000,1260643000,758034000,875152000,4085506000,,,
2012-12-31,259171000,1051263000,130923000,1545278000,287081000,1310906000,,1557646000,-334465000,-18414000,1707277000,,-342988000,107355000,48373000,1.745,149696000,1051263000,-59894000,7346472000,4278241000,3017000,,1706735000,838118000,-573792000,3068231000,-117908000,16083000,-158603000,1667188000,2777000,4633789000,1051263000,0,1345661000,-1428508000,,309185000,1387596000,611722000,129484000,1361496000,-570046000,108707000,1.72,2499000,4854383000,219896000,,602582000,1570077000,336333000,,156588000,6521571000,296164000,1377330000,1570077000,29570000,1252821000,,1293681000,2863758000,87475000,-520845000,32773000,289858000,-239683000,160307000,1518084000,971486000,1172583000,4814294000,,,
2013-12-31,642929000,1228578000,191584000,1800500000,277445000,1570077000,,1727609000,-261626000,-38889000,2061032000,,-30867000,118800000,30581000,2.035,182893000,1228578000,-193805000,8843189000,5265469000,3039000,,1899810000,1162150000,-719336000,3577720000,-88194000,-40872000,-258469000,2073123000,21170000,5862367000,1228578000,0,1648785000,-1848744000,,444236000,1687917000,609662000,117556000,1677910000,-730763000,113394000,2.015,52544000,6135791000,268907000,,604014000,2213006000,459339000,,179930000,8208914000,367339000,1774508000,2213006000,24312000,1573412000,,1534467000,3747473000,131274000,-179004000,-12123000,298615000,-276259000,183013000,1857840000,1081164000,1423776000,6147882000,,,
2014-12-31,-202857000,1439267000,97302000,2099329000,116424000,2213006000,2468000,2037021000,-212203000,-20823000,4968619000,-14184000,1503410000,134825000,14456000,2.37,224114000,1439267000,-2691437000,10262681000,6141118000,6094000,700002000,2236685000,1260807000,-852124000,4121563000,-99580000,-220970000,-259332000,3978698000,251724000,7301634000,1439267000,0,1968680000,-2497299000,,2413564000,1924031000,612489000,101455000,1884878000,-3160694000,145687000,2.35,30275000,7740218000,352613000,937500000,608126000,2010149000,484764000,80956000,208067000,11718916000,494396000,2592094000,2010149000,23846000,2240245000,,1764577000,3774726000,953749000,-248317000,25681000,1386604000,-123068000,209663000,2134566000,1247205000,1473010000,6750297000,,,
2015-12-31,115100000,1623600000,10900000,2350500000,139800000,2010100000,17700000,2508600000,-272800000,-44400000,5156800000,-53400000,-648100000,192000000,33700000,2.67,323700000,1623600000,-1700000,12416000000,7440200000,6100000,406300000,2833800000,1880500000,-1079100000,4975800000,-126100000,108700000,-322400000,3787300000,3300000,8925200000,1623600000,0,2252600000,-3003700000,,2404700000,2163600000,613300000,131600000,2142000000,-1370600000,165300000,2.65,48600000,9278100000,337500000,881200000,609100000,2125200000,540000000,49300000,330000000,13065400000,518400000,2713700000,2125200000,17100000,1907600000,,2824300000,4949500000,864300000,-460000000,19400000,1073600000,-106200000,268600000,2511300000,1271400000,2153300000,7908600000,,,
2016-12-31,-91000000,1553000000,4000000,2624000000,162000000,2125000000,19000000,2731000000,-300000000,-28000000,5662000000,-57000000,-719000000,217000000,24000000,2.56,306000000,1553000000,-334000000,13487000000,8108000000,6000000,81000000,3090000000,1321000000,-1313000000,5379000000,-91000000,-471000000,-330000000,3534000000,6000000,10478000000,1553000000,0,2556000000,-5169000000,,2554000000,2357000000,610000000,176000000,2289000000,-963000000,175000000,2.55,46000000,10728000000,526000000,797000000,607000000,2034000000,805000000,151000000,379000000,14262000000,708000000,2418000000,2034000000,10000000,4840000000,62000000,3135000000,5169000000,951000000,-512000000,6000000,1116000000,-114000000,359000000,2755000000,1311000000,1621000000,8600000000,,,
2017-12-31,-109000000,1504000000,5000000,2840000000,181000000,2034000000,23000000,2769000000,-284000000,64000000,6110000000,-95000000,-1985000000,221000000,,2.54,383000000,1504000000,-216000000,14810000000,9152000000,6000000,175000000,3177000000,2123000000,-1516000000,5658000000,124000000,186000000,-249000000,4552000000,146000000,10544000000,1504000000,,2865000000,-4726000000,-265000000,2704000000,2655000000,595000000,189000000,2481000000,-582000000,210000000,2.53,-86000000,10669000000,833000000,698000000,593000000,1925000000,1153000000,104000000,443000000,15221000000,746000000,2839000000,1925000000,48000000,4644000000,235000000,3131000000,5056000000,981000000,-1889000000,16000000,1713000000,70000000,448000000,3121000000,1324000000,2407000000,9111000000,,,
2018-12-31,-764000000,2101000000,25000000,3184000000,253000000,1925000000,27000000,3026000000,-377000000,-154000000,7236000000,-91000000,-1693000000,267000000,-4000000,3.61,286000000,2101000000,-1111000000,16125000000,9838000000,6000000,9000000,3486000000,2215000000,-1790000000,6287000000,8000000,-407000000,-365000000,4489000000,183000000,11485000000,2101000000,,3257000000,-3506000000,-468000000,3481000000,2797000000,584000000,,2801000000,-1627000000,215000000,3.6,112000000,11424000000,909000000,736000000,582000000,1161000000,698000000,62000000,498000000,15913000000,864000000,2777000000,1161000000,162000000,3367000000,80000000,3350000000,4511000000,1150000000,-1261000000,-4000000,1712000000,-114000000,689000000,3322000000,1394000000,2592000000,8677000000,,,
2019-12-31,1484000000,1842000000,8000000,4277000000,218000000,1161000000,26000000,2972000000,-392000000,-277000000,8593000000,-28000000,-2569000000,217000000,,3.3,313000000,1842000000,-617000000,16783000000,10634000000,5000000,38000000,3479000000,2107000000,-2042000000,6149000000,-306000000,101000000,37000000,5182000000,35000000,11022000000,1842000000,,3256000000,-1509000000,-453000000,3979000000,2543000000,560000000,,2670000000,1588000000,239000000,3.29,119000000,11022000000,931000000,700000000,559000000,2645000000,643000000,23000000,526000000,16204000000,792000000,2983000000,2645000000,152000000,4106000000,17000000,779000000,,1041000000,-2247000000,8000000,2199000000,-38000000,736000000,3095000000,2235000000,2499000000,7611000000,,,
