date,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualDilutedEPS,annualIncomeTaxPayable,annualInvestingCashFlow,annualStockholdersEquity,annualOtherNonCashItems,annualBasicAverageShares,annualLongTermDebt,annualRetainedEarnings,annualCurrentLiabilities,annualStockBasedCompensation,annualGoodwill,annualTotalAssets,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualBasicEPS,annualPurchaseOfInvestment,annualAccountsReceivable,annualCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualNetPPE,annualCommonStockIssuance,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualOtherIntangibleAssets,annualEndCashPosition,annualEbitda,annualOperatingIncome,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualDilutedAverageShares,annualPretaxIncome,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualOperatingExpense,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangesInAccountReceivables,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualTaxProvision,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualInterestExpense,annualRepaymentOfDebt,annualTotalRevenue,annualGrossProfit,annualFreeCashFlow,annualTotalNonCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualChangeInInventory,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualCurrentDebt,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualPurchaseOfBusiness,annualNetIncome,annualBeginningCashPosition,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualDepreciationAndAmortization
1989-12-31,,,1.03,,,,,20485437,,,,,,,,,1.03,,,,,,,,,,,,,,,,120000000,120000000,,,,20485437,,,,,,,,,,,,,,,,,,21100000,,,120000000,,,,,,,,,,,22000000,,,21100000,,,,
1990-12-31,,,1.11,,,,,20630631,,,,,,,,,1.11,,,,,,,,,,,,,,,,127500000,127500000,,,,20630631,,,,,,,,,,,,,,,,,,22900000,,,127500000,,,,,,,,,,,22900000,,,22900000,,,,
1991-12-31,,,1.11,,,,,20450450,,,,,,,,,1.11,,,,,,,,,,,,,,,,133400000,133400000,,,,20450450,,,,,,,,,,,,,,,,,,22700000,,,133400000,,,,,,,,,,,22700000,,,22700000,,,,
1992-12-31,,,1.15,,,,,20521739,,,,,,,,,1.15,,,,,,,,,,,,,,,,135300000,135300000,,,,20521739,,,,,,,,,,,,,,,,,,23600000,,,135300000,,,,,,,,,,,23600000,,,23600000,,,,
1993-12-31,,,1.11,,,,,20630631,,,,,,,,,1.11,,,,,,,,,,,,,,,,139400000,139400000,,,,20630631,,,,,,,,,,,,,,,,,,22900000,,,139400000,,,,,,,,,,,22900000,,,22900000,,,,
1994-12-31,45500000,47000000,1.11,,-95600000,175400000,23300000,21441441,128900000,115300000,68400000,,,436900000,7100000,51000000,1.11,-41900000,16500000,14400000,,1800000,12200000,,363500000,2400000,48900000,,12000000,,,12200000,56500000,38800000,519500000,12200000,0,21441441,34200000,,180600000,-100700000,7900000,64700000,11900000,-156000000,2500000,,61500000,,0,4300000,17200000,10400000,100000,23800000,10300000,,145500000,103500000,-51800000,375400000,261500000,1700000,25700000,,,-18900000,39100000,23800000,42000000,,23800000,7900000,,,
1995-12-31,50300000,36900000,1.19,,-30600000,182300000,23300000,21512605,166100000,121600000,29900000,,,448800000,7400000,-18700000,1.19,-19300000,17100000,14400000,,2400000,8200000,,393300000,700000,45300000,,9700000,,,8200000,61900000,42200000,557700000,8200000,0,21512605,36300000,,224600000,-48200000,9200000,68400000,14700000,-164400000,2100000,,40800000,,-100000,-4000000,18100000,10700000,100000,25600000,14200000,,149900000,110600000,-2900000,408000000,266500000,-2100000,8100000,,,-19300000,2000000,25600000,39300000,,25600000,12200000,,,
1996-12-31,52800000,36200000,1.4,,-29100000,193200000,25200000,21642857,164700000,131900000,28100000,,,467400000,7900000,-21100000,1.4,-40900000,15700000,14500000,,3100000,13300000,,400400000,500000,55400000,,7300000,,,13300000,77100000,54300000,581500000,13300000,0,21642857,43900000,,234900000,-24400000,8500000,74100000,16000000,-181100000,1900000,,51000000,,0,5200000,19100000,13600000,1700000,30300000,13900000,,162600000,128400000,31000000,416400000,274200000,-1800000,14100000,,,-19900000,1700000,30300000,34200000,,30300000,8200000,,,
1997-12-31,57000000,29400000,1.49,,-30800000,205400000,22300000,21744966,163400000,143700000,53800000,,,508700000,8600000,-21800000,1.49,-31900000,43000000,21700000,,1700000,16800000,,401100000,400000,56000000,,32600000,,,16800000,81300000,59000000,598300000,16800000,0,21744966,46700000,,239400000,-28300000,11600000,77600000,23600000,-197200000,2500000,,84000000,,0,3400000,19800000,14300000,1400000,32400000,14100000,,313700000,136600000,27700000,424700000,303300000,-1100000,15600000,,,-20500000,1400000,32400000,177100000,,32400000,13300000,,,
1998-12-31,58600000,13700000,1.19,,-35900000,206700000,24000000,21680672,162000000,147800000,102600000,,,559400000,9700000,-20800000,1.19,-22400000,90000000,21700000,,3000000,14800000,,389600000,300000,54700000,,74100000,,,14800000,73300000,49300000,619500000,14800000,100000,21680672,37500000,,241000000,-27300000,15700000,98400000,29300000,-229900000,-2500000,,140500000,-3100000,-100000,-2000000,22200000,11700000,-100000,25800000,14700000,,679200000,147700000,27400000,418900000,352700000,-6100000,26000000,,,-21700000,6400000,25800000,531500000,,25800000,16800000,,,
1999-12-31,62100000,23000000,1.73,,-138000000,216600000,30300000,21445087,160700000,162200000,205400000,,,674800000,14300000,64000000,1.73,-7900000,140000000,21700000,,6400000,16500000,,464200000,400000,75700000,,80400000,,,16500000,86900000,61800000,710500000,16500000,-52400000,21445087,52900000,,244600000,-104200000,18300000,92800000,0,-246300000,2300000,,181200000,-5000000,0,1700000,26100000,15800000,98900000,37100000,15500000,,791900000,154600000,-28500000,493600000,458200000,8500000,10400000,,,-22600000,98900000,37100000,637300000,,37100000,14800000,,,
2000-12-31,65209000,4660000,2.37,,-167029000,282346000,2444000,22118000,307092000,191482000,588856000,,,1320320000,16545000,100990000,2.39,-13646000,299719000,27302000,-813000,2996000,24913000,,794281000,3854000,74470000,,247596000,,,24913000,147614000,114750000,1072129000,24913000,5500000,22281000,83206000,,386287000,-134855000,44423000,137245000,0,-277848000,1937000,,419010000,-1037000,0,8431000,115621000,30358000,225639000,52770000,30342000,,1623836000,251995000,-60385000,901310000,1000013000,-20750000,77833000,-3513000,,-34427000,225639000,52848000,1371841000,,52848000,16482000,,,
2001-12-31,75398000,,3.42,,-591727000,515164000,,25374000,415798000,250515000,583062000,,,1658767000,,419084000,3.45,-471000,117259000,32440000,-3742000,9876000,29666000,,1238224000,168843000,177396000,,102041000,,,29666000,224230000,170179000,1566624000,29666000,0,25771000,138621000,,541008000,-378479000,80635000,223235000,85111000,-328400000,9792000,,220351000,-28517000,0,4753000,83877000,50544000,397144000,87550000,39626000,,1558558000,393414000,-201083000,1438416000,1124070000,24002000,73426000,,,-1453000,397144000,88077000,1165144000,,88077000,24913000,,,
2002-12-31,132270000,,2.26,,-305153000,535163000,,26803000,618862000,280628000,671305000,,,2035169000,24720000,136234000,2.28,-33815000,209144000,32651000,-21192000,8609000,79811000,,1476263000,5084000,218774000,,207047000,,,79811000,197751000,128013000,1890266000,79811000,-1235000,27167000,92855000,,822247000,-233074000,67864000,230474000,46822000,-414003000,33071000,,400310000,,-9397000,49855000,440810000,29662000,23448000,61229000,41234000,,423919000,358487000,-14300000,1634859000,1493552000,54099000,86635000,,,-31116000,23448000,63193000,65432000,,61452000,29956000,,,
2003-12-31,125041000,,1.97,,77843000,709747000,5631000,30496000,868459000,304567000,286260000,,,2063225000,44895000,-150686000,2,,201992000,40591000,-11122000,7408000,172771000,,1442422000,123073000,170569000,,162722000,,,172771000,211801000,131010000,1882697000,172771000,-17730000,31015000,86915000,,1062529000,-90353000,73690000,400592000,66837000,-440275000,-3680000,,483752000,,-8924000,97726000,105879000,29920000,17659000,60964000,52579000,,1250052000,531602000,80216000,1579473000,1348789000,-85967000,64094000,,,-37025000,17659000,56995000,718450000,,61222000,75045000,,,
2004-12-31,159623000,,1.76,,-92866000,735765000,,32387000,733581000,322009000,357747000,,,2056163000,89732000,-152069000,1.78,,256505000,39762000,-7607000,304000,64506000,,1445732000,4031000,136682000,,196619000,,,64506000,221752000,133919000,6704119000,64506000,-1892000,32912000,83953000,,957816000,-90974000,68859000,284521000,66894000,-5258387000,29186000,,480307000,,-3519000,-108253000,120962000,26704000,40166000,57652000,51842000,,1121701000,418440000,45708000,1575856000,1315563000,-31544000,69564000,,,-40210000,40166000,57249000,703261000,,57973000,172759000,,,
2005-12-31,137584000,,1,,-109707000,738879000,,32765000,670193000,313217000,470623000,,,2119960000,126753000,-95450000,1.02,,352445000,33223000,-9830000,15178000,34198000,,1435398000,12212000,174849000,,287517000,,,34198000,175242000,85936000,1958059000,34198000,-8971000,33288000,54059000,,905533000,-138628000,95751000,350740000,83232000,-522661000,-8385000,,541968000,,-2279000,-30308000,116335000,18299000,66771000,33261000,48634000,,1391644000,436676000,36221000,1577992000,1376156000,7462000,28572000,,,-42212000,66771000,35760000,954968000,,33420000,64506000,,,
2006-12-31,174332000,,2.42,,-268097000,790041000,14271000,33179000,628340000,348245000,528978000,,,2244676000,92560000,11734000,2.44,,263109000,33405000,-515000,2284000,36939000,,1646367000,4059000,259695000,,224009000,,,37530000,246755000,152672000,2242396000,36939000,-382000,33549000,107848000,,920499000,-308450000,91883000,300737000,68816000,-596029000,33233000,,474501000,,-2347000,3332000,142363000,33802000,162606000,81019000,51026000,,656882000,453409000,-48755000,1770175000,1449477000,46624000,81893000,-8300000,,-43960000,162606000,74046000,203473000,,81019000,34198000,,,
2007-12-31,207735000,,2.64,,-260272000,969855000,7900000,37024000,564372000,397393000,580957000,,,2472866000,95968000,51918000,2.66,,291189000,37842000,-24508000,-868000,86403000,,1823534000,150787000,252079000,,242813000,,,81255000,279251000,179551000,2490565000,86403000,1099000,37414000,145765000,,916887000,-261371000,115568000,340444000,50603000,-667031000,31409000,,530901000,,-2178000,43725000,157961000,45641000,180183000,98772000,40953000,,695914000,519995000,-9292000,1941965000,1497844000,28214000,57341000,18331000,,-50300000,180183000,100124000,175919000,,98772000,37530000,,,
2008-12-31,223607000,,2.75,,-457052000,1050536000,152032000,38193000,501252000,447453000,1253673000,,,3379889000,118021000,398688000,2.75,,357404000,38676000,-18783000,9078000,168491000,,2022160000,2683000,145641000,,288907000,,,168532000,163140000,55877000,2705492000,168491000,-25299000,38193000,-81562000,,,-328922000,138568000,500171000,364174000,-683332000,2058000,,799513000,,-86835000,87277000,258888000,-29395000,705878000,105080000,148563000,,1005790000,556048000,-183281000,2580376000,2329353000,-81598000,155597000,14525000,,-53663000,705878000,-52167000,449742000,,105080000,81255000,,,
2009-12-31,262034000,,2.11,,-269823000,1084837000,-22876000,38614000,1015912000,473857000,644859000,3983000,353734000,3317698000,123322000,-56310000,2.11,,274489000,38978000,-19164000,23673000,150648000,37747000,2160730000,4819000,270502000,1588002000,229352000,-53157000,4309000,112901000,316715000,170133000,2975993000,112901000,77049000,38684000,110728000,18524000,0,-346872000,154187000,446695000,16176000,-815263000,39743000,78886000,624870000,,-7574000,-55631000,151504000,33315000,64258000,81555000,84690000,-1127473000,1269578000,616828000,-76370000,2692828000,2232861000,30696000,52355000,,,-55151000,199745000,78756000,652750000,,81555000,168532000,,,
2010-12-31,277136000,,1.76,779000,-389168000,1100270000,-11575000,38916000,1186050000,486075000,787440000,5849000,354831000,3711509000,139677000,160953000,1.76,,328811000,39280000,-23581000,-9452000,89010000,56572000,2495433000,3246000,147752000,1823799000,279069000,30772000,4069000,32438000,312038000,193902000,3359762000,32438000,83513000,39091000,92424000,17780000,0,-472681000,,486821000,20860000,-864329000,19206000,-51443000,670871000,,-10400000,-80463000,170301000,25298000,83110000,68685000,92720000,-829926000,1307251000,680723000,-324929000,3040638000,2611239000,-67169000,92000000,-25265000,,-56467000,254181000,68685000,626528000,,68685000,112901000,,,
2011-12-31,,583000,1.24,,-447007000,1209336000,20819000,39864000,1280409000,476603000,878067000,5643000,353396000,4127083000,84064000,249791000,1.25,,156774000,43958000,-32878000,-25364000,21628000,0,2789575000,123041000,223704000,2039680000,104748000,-31091000,3843000,58768000,298483000,186239000,3724016000,21628000,-4533000,40081000,57468000,17261000,0,-440698000,,510960000,19941000,-934441000,33600000,-4202000,758921000,,-1666000,26330000,151319000,18224000,274527000,49730000,105424000,-829682000,1272188000,697199000,-216994000,3368162000,2917747000,-32789000,81221000,-21385000,,-59202000,347473000,40365000,574989000,,49730000,32438000,,,
2012-12-31,385908000,253791000,1.85,4936000,11169000,1232509000,-24316000,43820000,938877000,492869000,734889000,8271000,353396000,3729471000,77643000,-371446000,1.86,,100661000,44278000,-35488000,7098000,15462000,,2742749000,4726000,316971000,1762073000,84422000,-10713000,3620000,15462000,405137000,241450000,3930772000,15462000,253611000,44073000,136895000,16402000,0,-349129000,,197171000,19420000,-1188023000,39716000,-2257000,405106000,,-2833000,-43306000,154389000,48400000,110169000,81528000,113610000,-511830000,1173884000,438621000,-32158000,3324365000,2496962000,9431000,59920000,6343000,,-65262000,380973000,88505000,735263000,,81528000,58768000,,,
2013-12-31,432287000,0,2.59,0,-349278000,1307748000,4401000,44163000,1396948000,540244000,378394000,12595000,353396000,3875178000,88478000,17028000,2.6,,113792000,44550000,-17422000,32053000,7841000,,2990297000,4354000,324629000,2189036000,130416000,15336000,3397000,7841000,430545000,255552000,4259445000,7841000,5471000,44419000,177540000,16697000,0,-354749000,,182472000,27906000,-1269148000,63784000,-13921000,345288000,,-79333000,-7621000,151277000,61608000,14201000,114962000,111788000,-978056000,1275852000,438024000,-30120000,3529890000,2567430000,-4355000,50328000,-5770000,,-67587000,82500000,115846000,837828000,,114962000,15462000,,,
2014-12-31,523716000,0,2.89,,-401147000,1376024000,7075000,44394000,1267589000,599389000,651281000,9329000,353396000,4279806000,91191000,91067000,2.9,,119488000,44714000,-15044000,2682000,21218000,,3239375000,3251000,323457000,2252501000,124139000,16027000,3176000,21218000,413220000,260530000,4563400000,21218000,-2653000,44598000,194177000,17294000,0,-398494000,,192163000,29086000,-1324025000,69002000,-65091000,454036000,,17152000,13377000,170115000,65395000,7027000,128781000,70960000,-415950000,1393570000,452693000,-75037000,3825770000,2903782000,-53627000,99238000,-4563000,,-69636000,350000000,128781000,940877000,,128781000,7841000,,,
2015-12-31,450579000,,-0.71,,-476389000,1465867000,-17742000,51192141,1866866000,472534000,422029000,4076000,359759000,4655501000,86943000,483702000,-0.627049,,80484000,51232000,-9055000,-251232000,456535000,,3259094000,538789000,428004000,2767605000,105468000,-1070000,3380000,456535000,185162000,279403000,4976778000,456535000,-20908000,51192141,-53927000,11985000,0,-455481000,,207206000,20566000,-1717684000,-26028000,40125000,822151000,,-9283000,435317000,102830000,-22160000,7700000,-32111000,83719000,-670510000,1304605000,486609000,-27477000,3833350000,3189634000,69810000,129122000,7197000,53496000,-72604000,76800000,-32111000,817996000,,-32111000,21218000,,,
2016-12-31,535606000,,1.37,12552000,-1588742000,1614639000,-41583000,51900000,3211189000,457934000,527932000,10885000,1299454000,6515444000,107210000,840998000,1.41,,140889000,53397000,-34883000,-102454000,13580000,,4468989000,121619000,320463000,4257378000,153477000,-40195000,8392000,13580000,417561000,329543000,6412223000,13580000,-1113959000,53300000,93106000,12561000,4295000,-474783000,,287900000,12130000,-1943234000,36217000,-28414000,466814000,,183849000,-427281000,95476000,10475000,15526000,72970000,135412000,-1569908000,1572974000,617443000,-154320000,6048630000,4785310000,-77978000,76323000,1099000,51628000,-87570000,102343000,82631000,955531000,-1124238000,72970000,440861000,,,
2017-12-31,336520000,,3.21,1022000,-317664000,1708974000,-32630000,53221000,3109400000,548617000,649101000,7626000,1299454000,6658902000,113283000,-108695000,3.33,,126060000,53580000,-41202000,2108000,15420000,,4541430000,4408000,428261000,4189595000,160887000,-28222000,7559000,15420000,608106000,416736000,5567518000,15420000,465000,55120000,281742000,13090000,-111232000,-326010000,,245637000,10149000,-1026088000,80992000,4534000,570782000,,-25316000,1902000,80546000,73367000,50687000,177034000,138118000,-105743000,1680266000,662373000,102251000,6088120000,4838696000,-53720000,106383000,-10089000,44420000,-96744000,217043000,208375000,1017893000,0,177034000,13518000,,,
2018-12-31,311331000,,4.66,0,-465849000,2181588000,7670000,54420000,2950835000,700396000,648230000,12390000,1299454000,6963327000,117299000,-17057000,4.75,-24429000,146716000,60049000,-26916000,-1180000,20776000,,4854879000,300834000,488811000,4027674000,210609000,5305000,14337000,24145000,593826000,397037000,6000015000,20776000,-4281000,55486000,255882000,41013000,,-457524000,,249915000,14352000,-1145136000,-24239000,-45966000,503833000,,-30877000,5905000,65675000,-23667000,30757000,258442000,141616000,-880423000,1754268000,646952000,31287000,6459494000,4675904000,8561000,78758000,-2919000,43574000,-106591000,191363000,279549000,1107316000,,258442000,18240000,,,
2019-12-31,360719000,,3.28,,-816210000,2362123000,17624000,60662000,3140096000,778776000,811294000,12095000,1299454000,7558457000,117172000,300210000,3.29,0,144747000,61481000,-30655000,-25481000,,,5503186000,101358000,505513000,4283094000,193523000,-34906000,13266000,13658000,591313000,406042000,6784679000,9777000,2166000,60798000,242902000,21929000,,-818376000,,262035000,19376000,-1281493000,38020000,,473184000,,-34638000,-10487000,64655000,29580000,35761000,199310000,139291000,-905743000,1734900000,668077000,-312863000,7085273000,5094388000,-16815000,69761000,2052000,54728000,-124647000,355243000,213322000,1066823000,,199310000,24145000,,,
